outcome,attack,contrast,mean_difference,sd_across_blocks,ci95_low,ci95_high,n_independent_fresh_blocks,inference_unit
auc,label_only_correctness,utility_regularized - utility_only,-0.002100000000000024,0.0076620003915426685,-0.008950000000000036,0.0027999999999999805,5,fresh paired split/init block
auc,label_only_hsj_l2,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,label_only_hsj_l2,privacy_aware - utility_regularized,0.0021574999999999676,0.029450194449697594,-0.023265000000000015,0.019744999999999947,5,fresh paired split/init block
auc,label_only_hsj_l2,utility_regularized - utility_only,-0.0021574999999999676,0.029450194449697594,-0.019744999999999947,0.023265000000000015,5,fresh paired split/init block
auc,learned_prediction_vector_stats,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,learned_prediction_vector_stats,privacy_aware - utility_regularized,-0.02888125000000006,0.06141030679983621,-0.07415000000000012,0.022268750000000025,5,fresh paired split/init block
auc,learned_prediction_vector_stats,utility_regularized - utility_only,0.02888125000000006,0.06141030679983621,-0.022268750000000025,0.07415000000000012,5,fresh paired split/init block
auc,lira_offline,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,lira_offline,privacy_aware - utility_regularized,0.003464999999999996,0.030502953750415774,-0.016125000000000056,0.03120000000000004,5,fresh paired split/init block
auc,lira_offline,utility_regularized - utility_only,-0.003464999999999996,0.030502953750415774,-0.03120000000000004,0.016125000000000056,5,fresh paired split/init block
auc,lira_offline_fixed_variance,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,lira_offline_fixed_variance,privacy_aware - utility_regularized,-0.0062450000000000006,0.03322319596306172,-0.029935000000000055,0.021640000000000003,5,fresh paired split/init block
auc,lira_offline_fixed_variance,utility_regularized - utility_only,0.0062450000000000006,0.03322319596306172,-0.019750000000000024,0.030844999999999977,5,fresh paired split/init block
auc,lira_online,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,lira_online,privacy_aware - utility_regularized,0.03550000000000003,0.06952126697996808,-0.013329999999999976,0.09769000000000003,5,fresh paired split/init block
auc,lira_online,utility_regularized - utility_only,-0.03550000000000003,0.06952126697996808,-0.09769000000000003,0.013329999999999976,5,fresh paired split/init block
auc,lira_online_fixed_variance,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,lira_online_fixed_variance,privacy_aware - utility_regularized,0.03700500000000005,0.0979630261884554,-0.03948499999999995,0.11349500000000005,5,fresh paired split/init block
auc,lira_online_fixed_variance,utility_regularized - utility_only,-0.03700500000000005,0.0979630261884554,-0.11349500000000005,0.03948499999999995,5,fresh paired split/init block
auc,loss,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,loss,privacy_aware - utility_regularized,0.005360999999999982,0.006764383194349699,-0.000270000000000048,0.009914500000000003,5,fresh paired split/init block
auc,loss,utility_regularized - utility_only,-0.005360999999999982,0.006764383194349699,-0.009914500000000003,0.000270000000000048,5,fresh paired split/init block
auc,margin,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,margin,privacy_aware - utility_regularized,0.003868750000000032,0.009694190189876587,-0.0038319999999999687,0.01159100000000004,5,fresh paired split/init block
auc,margin,utility_regularized - utility_only,-0.003868750000000032,0.009694190189876587,-0.011508000000000029,0.0038427499999999725,5,fresh paired split/init block
auc,max_probability,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
auc,max_probability,privacy_aware - utility_regularized,0.0038690000000000113,0.009693768230156908,-0.00375899999999999,0.011591000000000008,5,fresh paired split/init block
auc,max_probability,utility_regularized - utility_only,-0.0038690000000000113,0.009693768230156908,-0.011591000000000008,0.00375899999999999,5,fresh paired split/init block
gap,target_model,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
gap,target_model,privacy_aware - utility_regularized,0.004199993610382059,0.015323987472009859,-0.0055999994277954,0.01729998588562008,5,fresh paired split/init block
gap,target_model,utility_regularized - utility_only,-0.004199993610382059,0.015323987472009859,-0.017299985885620078,0.0055999994277954,5,fresh paired split/init block
test_acc,target_model,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
test_acc,target_model,privacy_aware - utility_regularized,-0.0031999945640563965,0.004367493284726129,-0.006999993324279785,-9.999275207519531e-05,5,fresh paired split/init block
test_acc,target_model,utility_regularized - utility_only,0.0031999945640563965,0.004367493284726129,9.999275207519531e-05,0.006899988651275635,5,fresh paired split/init block
valid_acc,target_model,privacy_aware - utility_only,0.0,0.0,0.0,0.0,5,fresh paired split/init block
valid_acc,target_model,privacy_aware - utility_regularized,-0.00699998140335083,0.010368228035125281,-0.014999985694885254,0.0010000228881835937,5,fresh paired split/init block
valid_acc,target_model,utility_regularized - utility_only,0.00699998140335083,0.010368228035125281,-0.0010000228881835937,0.014999985694885254,5,fresh paired split/init block
