effective_defense,structural_role,attack,outcome,blocks,mean,sd_across_blocks
dp_qml,low,lira_offline_density_surprise_fixed_variance,tpr_at_1_fpr,8,0.02875,0.021671244937540093
dp_qml,low,lira_offline_density_surprise_fixed_variance,tpr_at_5_fpr,8,0.07875,0.033567628964311945
dp_qml,low,lira_offline_density_surprise_fixed_variance,tpr_at_10_fpr,8,0.1275,0.055226805085936304
dp_qml,low,lira_offline_fixed_variance,auc,8,0.5296500000000001,0.02398154052003925
dp_qml,low,lira_offline_fixed_variance,balanced_accuracy,8,0.524375,0.031217840595220116
dp_qml,low,lira_offline_fixed_variance,tpr_at_0_1_fpr,8,0.021249999999999998,0.01807721533549109
dp_qml,low,lira_offline_fixed_variance,tpr_at_1_fpr,8,0.03125,0.021671244937540097
dp_qml,low,lira_offline_fixed_variance,tpr_at_5_fpr,8,0.08,0.019999999999999997
dp_qml,low,lira_offline_fixed_variance,tpr_at_10_fpr,8,0.13874999999999998,0.02850438562747845
dp_qml,low,lira_offline_one_sided_z,auc,8,0.5239875,0.029076619841869013
dp_qml,low,lira_offline_one_sided_z,balanced_accuracy,8,0.51,0.03891382420536069
dp_qml,low,lira_offline_one_sided_z,tpr_at_0_1_fpr,8,0.0125,0.010350983390135314
dp_qml,low,lira_offline_one_sided_z,tpr_at_1_fpr,8,0.018750000000000003,0.014577379737113252
dp_qml,low,lira_offline_one_sided_z,tpr_at_5_fpr,8,0.07,0.029277002188455997
dp_qml,low,lira_offline_one_sided_z,tpr_at_10_fpr,8,0.135,0.020701966780270628
dp_qml,low,lira_offline_one_sided_z_fixed_variance,auc,8,0.5296500000000001,0.02398154052003925
dp_qml,low,lira_offline_one_sided_z_fixed_variance,balanced_accuracy,8,0.524375,0.031217840595220116
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_0_1_fpr,8,0.021249999999999998,0.01807721533549109
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_1_fpr,8,0.03125,0.021671244937540097
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_5_fpr,8,0.08,0.019999999999999997
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_10_fpr,8,0.13874999999999998,0.02850438562747845
dp_qml,low,lira_online,auc,8,0.49069999999999997,0.041388024492944486
dp_qml,low,lira_online,balanced_accuracy,8,0.504375,0.021619683491802436
dp_qml,low,lira_online,tpr_at_0_1_fpr,8,0.00875,0.009910312089651149
dp_qml,low,lira_online,tpr_at_1_fpr,8,0.0125,0.010350983390135314
dp_qml,low,lira_online,tpr_at_5_fpr,8,0.06875,0.02748376143938713
dp_qml,low,lira_online,tpr_at_10_fpr,8,0.11249999999999999,0.04590362575159894
dp_qml,low,lira_online_fixed_variance,auc,8,0.493625,0.03003805919163223
dp_qml,low,lira_online_fixed_variance,balanced_accuracy,8,0.5081249999999999,0.021536928418748255
dp_qml,low,lira_online_fixed_variance,tpr_at_0_1_fpr,8,0.015,0.01511857892036909
dp_qml,low,lira_online_fixed_variance,tpr_at_1_fpr,8,0.0325,0.021876275473019364
dp_qml,low,lira_online_fixed_variance,tpr_at_5_fpr,8,0.07500000000000001,0.02563479777846623
dp_qml,low,lira_online_fixed_variance,tpr_at_10_fpr,8,0.1225,0.01669045920792561
dp_qml,low,loss,auc,8,0.511649375,0.0122133838874467
dp_qml,low,loss,balanced_accuracy,8,0.5194375,0.012178545245049362
dp_qml,low,loss,tpr_at_0_1_fpr,8,0.005,0.007559289460184545
dp_qml,low,loss,tpr_at_1_fpr,8,0.00875,0.0064086994446165575
dp_qml,low,loss,tpr_at_5_fpr,8,0.0475,0.0198206241793023
dp_qml,low,loss,tpr_at_10_fpr,8,0.09375,0.0238671920665766
dp_qml,low,margin,auc,8,0.500068125,0.030044092352205596
dp_qml,low,margin,balanced_accuracy,8,0.5064374999999999,0.01792930063969512
dp_qml,low,margin,tpr_at_0_1_fpr,8,0.005,0.007559289460184545
dp_qml,low,margin,tpr_at_1_fpr,8,0.00875,0.0064086994446165575
dp_qml,low,margin,tpr_at_5_fpr,8,0.04125,0.019594095320493148
dp_qml,low,margin,tpr_at_10_fpr,8,0.0875,0.024928469095164496
dp_qml,low,maximum_probability,auc,8,0.50006875,0.03004508811175061
dp_qml,low,maximum_probability,balanced_accuracy,8,0.5064374999999999,0.01792930063969512
dp_qml,low,maximum_probability,tpr_at_0_1_fpr,8,0.005,0.007559289460184545
dp_qml,low,maximum_probability,tpr_at_1_fpr,8,0.00875,0.0064086994446165575
dp_qml,low,maximum_probability,tpr_at_5_fpr,8,0.04125,0.019594095320493148
dp_qml,low,maximum_probability,tpr_at_10_fpr,8,0.0875,0.024928469095164496
dp_qml,repetition,artifact_confidence_tau0.9,auc,8,0.49460625,0.03114402152557879
dp_qml,repetition,artifact_confidence_tau0.9,balanced_accuracy,8,0.49987499999999996,0.02268692197217218
dp_qml,repetition,artifact_confidence_tau0.9,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,repetition,artifact_confidence_tau0.9,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,artifact_confidence_tau0.9,tpr_at_5_fpr,8,0.051250000000000004,0.02587745847533828
dp_qml,repetition,artifact_confidence_tau0.9,tpr_at_10_fpr,8,0.09125,0.028504385627478455
dp_qml,repetition,artifact_loss_tau0.5,auc,8,0.5153568749999999,0.024288951182658575
dp_qml,repetition,artifact_loss_tau0.5,balanced_accuracy,8,0.5006875000000001,0.0035850632590553708
dp_qml,repetition,artifact_loss_tau0.5,tpr_at_0_1_fpr,8,0.00125,0.0035355339059327385
dp_qml,repetition,artifact_loss_tau0.5,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,artifact_loss_tau0.5,tpr_at_5_fpr,8,0.05500000000000001,0.024494897427831782
dp_qml,repetition,artifact_loss_tau0.5,tpr_at_10_fpr,8,0.09875,0.03440826312717007
dp_qml,repetition,confidence,auc,8,0.5153568749999999,0.024288951182658575
dp_qml,repetition,confidence,balanced_accuracy,8,0.5085625,0.017222156617898634
dp_qml,repetition,confidence,tpr_at_0_1_fpr,8,0.00125,0.0035355339059327385
dp_qml,repetition,confidence,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,confidence,tpr_at_5_fpr,8,0.05500000000000001,0.024494897427831782
dp_qml,repetition,confidence,tpr_at_10_fpr,8,0.09875,0.03440826312717007
dp_qml,repetition,correctness,auc,8,0.522125,0.02448724157597178
dp_qml,repetition,correctness,balanced_accuracy,8,0.5055625,0.01974559173226122
dp_qml,repetition,correctness,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,repetition,correctness,tpr_at_1_fpr,8,0.0,0.0
dp_qml,repetition,correctness,tpr_at_5_fpr,8,0.0,0.0
dp_qml,repetition,correctness,tpr_at_10_fpr,8,0.0,0.0
dp_qml,repetition,entropy,auc,8,0.4946075,0.03114533478021111
dp_qml,repetition,entropy,balanced_accuracy,8,0.49375,0.014743037097462086
dp_qml,repetition,entropy,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,repetition,entropy,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,entropy,tpr_at_5_fpr,8,0.051250000000000004,0.02587745847533828
dp_qml,repetition,entropy,tpr_at_10_fpr,8,0.09125,0.028504385627478455
dp_qml,repetition,global_true_class_log_odds,auc,8,0.5084124999999999,0.03494327801697245
dp_qml,repetition,global_true_class_log_odds,balanced_accuracy,8,0.514375,0.03570089034504002
dp_qml,repetition,global_true_class_log_odds,tpr_at_0_1_fpr,8,0.01375,0.015059406173077154
dp_qml,repetition,global_true_class_log_odds,tpr_at_1_fpr,8,0.02,0.016035674514745465
dp_qml,repetition,global_true_class_log_odds,tpr_at_5_fpr,8,0.05375,0.019955307206712847
dp_qml,repetition,global_true_class_log_odds,tpr_at_10_fpr,8,0.07250000000000001,0.030589447293376936
dp_qml,repetition,label_only_hsj,auc,8,0.5553125000000001,0.08909703277887542
dp_qml,repetition,label_only_hsj,balanced_accuracy,8,0.53125,0.08425090080061035
dp_qml,repetition,label_only_hsj,tpr_at_0_1_fpr,8,0.0125,0.03535533905932738
dp_qml,repetition,label_only_hsj,tpr_at_1_fpr,8,0.0125,0.03535533905932738
dp_qml,repetition,label_only_hsj,tpr_at_5_fpr,8,0.0375,0.035355339059327376
dp_qml,repetition,label_only_hsj,tpr_at_10_fpr,8,0.1,0.09636241116594316
dp_qml,repetition,learned_pv_stats_logistic,auc,8,0.5053875,0.0260804868217053
dp_qml,repetition,learned_pv_stats_logistic,balanced_accuracy,8,0.5015000000000001,0.025506301742342582
dp_qml,repetition,learned_pv_stats_logistic,tpr_at_0_1_fpr,8,0.00125,0.003535533905932738
dp_qml,repetition,learned_pv_stats_logistic,tpr_at_1_fpr,8,0.0075,0.007071067811865476
dp_qml,repetition,learned_pv_stats_logistic,tpr_at_5_fpr,8,0.04375,0.01767766952966369
dp_qml,repetition,learned_pv_stats_logistic,tpr_at_10_fpr,8,0.10625,0.02875388172552907
dp_qml,repetition,lira_offline,auc,8,0.53805,0.03460747235579544
dp_qml,repetition,lira_offline,balanced_accuracy,8,0.520625,0.021286732957408003
dp_qml,repetition,lira_offline,tpr_at_0_1_fpr,8,0.0075,0.011649647450214351
dp_qml,repetition,lira_offline,tpr_at_1_fpr,8,0.026250000000000002,0.018468119248354137
dp_qml,repetition,lira_offline,tpr_at_5_fpr,8,0.07875,0.03681517544243328
dp_qml,repetition,lira_offline,tpr_at_10_fpr,8,0.12125,0.037961446607992014
dp_qml,repetition,lira_offline_density_surprise,auc,8,0.5089375,0.05324688958051918
dp_qml,repetition,lira_offline_density_surprise,balanced_accuracy,8,0.5075000000000001,0.0356570970695677
dp_qml,repetition,lira_offline_density_surprise,tpr_at_0_1_fpr,8,0.01125,0.016420805617960926
dp_qml,repetition,lira_offline_density_surprise,tpr_at_1_fpr,8,0.02875,0.019594095320493145
dp_qml,repetition,lira_offline_density_surprise,tpr_at_5_fpr,8,0.07125,0.040155946010522525
dp_qml,repetition,lira_offline_density_surprise,tpr_at_10_fpr,8,0.12125000000000001,0.04189698250300543
dp_qml,repetition,lira_offline_density_surprise_fixed_variance,auc,8,0.503625,0.039906596304012554
