effective_defense,attack,contrast,mean_auc_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks,p_exact_sign_flip,p_holm_all_secondary
dp_qml,artifact_confidence_tau0.9,repetition-low,-0.005462499999999981,0.031593073947125995,-0.026387859374999975,0.013855625000000045,8,0.671875,1.0
dp_qml,artifact_confidence_tau0.9,stress-low,-0.00835937500000001,0.022286006089264013,-0.02398625,0.005035124999999955,8,0.3359375,1.0
dp_qml,artifact_confidence_tau0.9,stress-repetition,-0.002896875000000028,0.02776263083683069,-0.02050562500000002,0.015273124999999957,8,0.75,1.0
dp_qml,artifact_loss_tau0.5,repetition-low,0.0037074999999999886,0.0198334292114529,-0.009165093749999992,0.016141874999999986,8,0.59375,1.0
dp_qml,artifact_loss_tau0.5,stress-low,0.005161875000000003,0.01643671542125389,-0.005849656250000045,0.015449375000000015,8,0.390625,1.0
dp_qml,artifact_loss_tau0.5,stress-repetition,0.0014543750000000147,0.02489271830382474,-0.014854312499999973,0.01694937500000001,8,0.90625,1.0
dp_qml,confidence,repetition-low,0.0037074999999999886,0.0198334292114529,-0.009139124999999968,0.015888124999999954,8,0.59375,1.0
dp_qml,confidence,stress-low,0.005161875000000003,0.01643671542125389,-0.005846250000000046,0.015337687500000015,8,0.390625,1.0
dp_qml,confidence,stress-repetition,0.0014543750000000147,0.02489271830382474,-0.01511128124999996,0.017339374999999997,8,0.90625,1.0
dp_qml,correctness,repetition-low,0.011687499999999976,0.02858813127855686,-0.008062500000000035,0.02831249999999999,8,0.265625,1.0
dp_qml,correctness,stress-low,0.0072499999999999926,0.02156551479959216,-0.005250000000000005,0.022187499999999992,8,0.3984375,1.0
dp_qml,correctness,stress-repetition,-0.004437499999999983,0.03166277388353711,-0.02174999999999997,0.018000000000000002,8,0.7265625,1.0
dp_qml,entropy,repetition-low,-0.00546,0.031591776506824425,-0.02682728125,0.013803031249999974,8,0.671875,1.0
dp_qml,entropy,stress-low,-0.008358749999999991,0.022283990689987012,-0.023522812500000028,0.005188749999999992,8,0.3359375,1.0
dp_qml,entropy,stress-repetition,-0.0028987499999999916,0.02776360229689223,-0.02085874999999999,0.01489906249999999,8,0.75,1.0
dp_qml,global_true_class_log_odds,repetition-low,-0.003993750000000032,0.04638808681347276,-0.029556250000000027,0.02923124999999998,8,0.8203125,1.0
dp_qml,global_true_class_log_odds,stress-low,-0.00011875000000004243,0.02564786175298052,-0.016025156250000103,0.016924999999999968,8,0.9921875,1.0
dp_qml,global_true_class_log_odds,stress-repetition,0.0038749999999999896,0.036348933959608795,-0.021887500000000025,0.025288125000000022,8,0.78125,1.0
dp_qml,label_only_hsj,repetition-low,0.03953125000000002,0.07679093109354962,-0.011249999999999982,0.08906250000000002,8,0.1953125,1.0
dp_qml,label_only_hsj,stress-low,0.019687499999999976,0.08850885246282271,-0.03359375000000001,0.07859765624999994,8,0.609375,1.0
dp_qml,label_only_hsj,stress-repetition,-0.019843750000000042,0.11435462835751649,-0.09312500000000005,0.05219531249999985,8,0.640625,1.0
dp_qml,learned_pv_stats_logistic,repetition-low,-0.001497499999999992,0.029707880508136504,-0.01987125000000007,0.01820250000000003,8,0.9140625,1.0
dp_qml,learned_pv_stats_logistic,stress-low,0.00040125000000000577,0.026058656602529866,-0.016028749999999994,0.016771250000000036,8,0.9921875,1.0
dp_qml,learned_pv_stats_logistic,stress-repetition,0.0018987499999999977,0.02060208341579634,-0.011455000000000035,0.014902093750000006,8,0.7890625,1.0
dp_qml,lira_offline,repetition-low,0.01406250000000002,0.03906254828568445,-0.014363124999999992,0.03590125000000001,8,0.3515625,1.0
dp_qml,lira_offline,stress-low,0.009937499999999967,0.05269624376692189,-0.022950000000000033,0.04530093749999994,8,0.609375,1.0
dp_qml,lira_offline,stress-repetition,-0.004125000000000052,0.05150253114445655,-0.03715156250000002,0.028514374999999915,8,0.828125,1.0
dp_qml,lira_offline_density_surprise,repetition-low,0.021574999999999955,0.04469451068883386,-0.005475000000000042,0.05198937499999993,8,0.21875,1.0
dp_qml,lira_offline_density_surprise,stress-low,0.005062499999999984,0.04216386189617833,-0.020563437500000017,0.033250312499999955,8,0.75,1.0
dp_qml,lira_offline_density_surprise,stress-repetition,-0.01651249999999997,0.06347963537342395,-0.058487499999999984,0.023639062500000023,8,0.5234375,1.0
dp_qml,lira_offline_density_surprise_fixed_variance,repetition-low,0.009424999999999996,0.0440162551142838,-0.018200000000000015,0.03805,8,0.5625,1.0
