attack,structural_role,effective_defense,contrast,mean_auc_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks,p_exact_sign_flip,p_holm_all_secondary
artifact_confidence_tau0.9,low,dp_qml,defense-none,0.010676874999999975,0.01056399070207711,0.0035043749999999416,0.017062499999999987,8,0.046875,1.0
artifact_confidence_tau0.9,low,dynanoise,defense-none,0.031226249999999997,0.018791433981243374,0.01792809374999999,0.042069062499999976,8,0.015625,1.0
artifact_confidence_tau0.9,low,hamp_train,defense-none,0.010276874999999977,0.012098890426546202,0.002291874999999992,0.017861249999999974,8,0.0625,1.0
artifact_confidence_tau0.9,low,l2,defense-none,0.0034193749999999745,0.009088629645842429,-0.0025354062500000307,0.009103749999999987,8,0.296875,1.0
artifact_confidence_tau0.9,repetition,dp_qml,defense-none,-0.01813750000000002,0.0215670300624422,-0.03272687500000004,-0.004996250000000015,8,0.015625,1.0
artifact_confidence_tau0.9,repetition,dynanoise,defense-none,0.017870000000000004,0.011902870002050528,0.010199968749999988,0.025607500000000005,8,0.015625,1.0
artifact_confidence_tau0.9,repetition,hamp_train,defense-none,0.01750187500000002,0.008287537087829103,0.011917500000000053,0.02251639062500006,8,0.0078125,1.0
artifact_confidence_tau0.9,repetition,l2,defense-none,-0.004308750000000028,0.009662029419330134,-0.01053250000000009,0.002030000000000004,8,0.2421875,1.0
artifact_confidence_tau0.9,stress,dp_qml,defense-none,-0.025469375000000044,0.01866698430719324,-0.035820640625000066,-0.012311250000000086,8,0.0234375,1.0
artifact_confidence_tau0.9,stress,dynanoise,defense-none,0.00894812499999998,0.01571007773407608,-0.0010662500000000047,0.01946815624999997,8,0.171875,1.0
artifact_confidence_tau0.9,stress,hamp_train,defense-none,0.010829374999999995,0.01899107655819663,-0.0013475000000000292,0.023303124999999973,8,0.15625,1.0
artifact_confidence_tau0.9,stress,l2,defense-none,-0.011121250000000013,0.01945472211315288,-0.022883906250000034,0.0019799999999999957,8,0.1484375,1.0
artifact_loss_tau0.5,low,dp_qml,defense-none,0.0005850000000000091,0.009356028995862973,-0.005407499999999996,0.006593125000000033,8,0.9296875,1.0
artifact_loss_tau0.5,low,dynanoise,defense-none,0.017555000000000022,0.009634830786563608,0.011110625000000027,0.023449656249999944,8,0.0078125,1.0
artifact_loss_tau0.5,low,hamp_train,defense-none,0.009545625000000016,0.009161139759682094,0.0034700000000000356,0.015241328124999978,8,0.0390625,1.0
artifact_loss_tau0.5,low,l2,defense-none,-0.003355625000000022,0.00427549615959533,-0.006080000000000037,-0.0005686562500000356,8,0.0546875,1.0
artifact_loss_tau0.5,repetition,dp_qml,defense-none,-0.03449062500000001,0.01622760224289378,-0.04550812500000001,-0.024543125000000034,8,0.0078125,1.0
artifact_loss_tau0.5,repetition,dynanoise,defense-none,0.011978749999999955,0.005503792036924564,0.008197499999999983,0.015271249999999917,8,0.0078125,1.0
