target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,threshold,score_direction,n_evaluation_nonmember,empirical_fpr_resolution,tpr_at_0_1_fpr,attained_fpr_at_0_1_fpr,target_0_1_fpr_resolvable,tpr_at_1_fpr,attained_fpr_at_1_fpr,target_1_fpr_resolvable,tpr_at_5_fpr,attained_fpr_at_5_fpr,target_5_fpr_resolvable,tpr_at_10_fpr,attained_fpr_at_10_fpr,target_10_fpr_resolvable,source_protocol,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,memguard,maximum_probability,adaptive_defended_calibration,0.4771199999999999,0.5045,0.687586635351181,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.02,0.033,True,0.06,0.099,True,pets_defense_evaluation_v5,,,memguard
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,memguard,entropy,adaptive_defended_calibration,0.4771199999999999,0.5045,-0.6210167407989502,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.02,0.033,True,0.06,0.099,True,pets_defense_evaluation_v5,,,memguard
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,memguard,margin,adaptive_defended_calibration,0.4771199999999999,0.5045,0.375173270702362,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.02,0.033,True,0.06,0.099,True,pets_defense_evaluation_v5,,,memguard
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,memguard,correctness,adaptive_defended_calibration,0.5145,0.5,-inf,as_defined_fixed,1000,0.001,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,pets_defense_evaluation_v5,,,memguard
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,memguard,learned_pv_stats_logistic,adaptive_defended_calibration,0.51896,0.5085,0.5111334440769356,,1000,0.001,0.0,0.001,True,0.02,0.009,True,0.04,0.041,True,0.1,0.078,True,pets_defense_evaluation_v5,,,memguard
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,logitguard_continuous,loss,adaptive_defended_calibration,0.51217,0.514,-2.2389965057373047,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.03,0.043,True,0.08,0.097,True,pets_defense_evaluation_v5,,,logitguard_continuous
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,logitguard_continuous,confidence,adaptive_defended_calibration,0.51217,0.514,0.1065656058490276,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.03,0.043,True,0.08,0.097,True,pets_defense_evaluation_v5,,,logitguard_continuous
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,logitguard_continuous,maximum_probability,adaptive_defended_calibration,0.47935,0.497,0.7649623155593872,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.03,0.047,True,0.04,0.087,True,pets_defense_evaluation_v5,,,logitguard_continuous
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,logitguard_continuous,entropy,adaptive_defended_calibration,0.47935,0.497,-0.5452886819839478,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.03,0.047,True,0.04,0.087,True,pets_defense_evaluation_v5,,,logitguard_continuous
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,eff_su2_r1_d6,low,none,logitguard_continuous,margin,adaptive_defended_calibration,0.47935,0.497,0.5299246311187744,as_defined_fixed,1000,0.001,0.0,0.001,True,0.0,0.001,True,0.03,0.047,True,0.04,0.087,True,pets_defense_evaluation_v5,,,logitguard_continuous
