target_id,block_id,structural_role,training_defense,defense,effective_defense,accuracy,balanced_accuracy,mean_entropy,minimum_class_recall,minority_class_label,minority_class_recall,minority_prevalence,nll,predicted_class_0_fraction,predicted_class_1_fraction,predicted_minority_fraction,prediction_collapse,task_average_precision,task_roc_auc
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b03__none,petsv2_b03,repetition,none,memgq_lattice_sticky,memgq_lattice_sticky,0.7695,0.6616340127440331,0.39066773653030396,0.4683257918552036,1.0,0.4683257918552036,0.221,0.5429551601409912,0.7835,0.2165,0.2165,0.0,0.40552415905659916,0.6706961297405305
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b03__none,petsv2_b03,repetition,none,memguard,memguard,0.768,0.6582403475856621,0.4010069966316223,0.46153846153846156,1.0,0.46153846153846156,0.221,0.5216405391693115,0.785,0.215,0.215,0.0,0.4300249866008504,0.692909606816954
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b03__none,petsv2_b03,repetition,none,none,none,0.768,0.6582403475856621,0.325022429227829,0.46153846153846156,1.0,0.46153846153846156,0.221,0.5674446821212769,0.785,0.215,0.215,0.0,0.4182302185598612,0.7055251250297689
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__dp_qml,petsv2_b04,repetition,dp_qml,none,dp_qml,0.601,0.6207372254718022,0.2857513427734375,0.5853658536585366,1.0,0.6561085972850679,0.221,0.5895234942436218,0.532,0.468,0.468,0.0,0.3373550498987806,0.6675471511800138
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__hamp_train,petsv2_b04,repetition,hamp_train,hamp_output,hamp_full,0.6575,0.6432266102846786,0.6750932931900024,0.6176470588235294,1.0,0.6176470588235294,0.221,0.605443000793457,0.6055,0.3945,0.3945,0.0,0.3617209737894876,0.6648519682386631
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__hamp_train,petsv2_b04,repetition,hamp_train,none,hamp_train,0.6575,0.6432266102846786,0.6784899234771729,0.6176470588235294,1.0,0.6176470588235294,0.221,0.604810357093811,0.6055,0.3945,0.3945,0.0,0.3801336617245327,0.6970082888492614
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__l2,petsv2_b04,repetition,l2,none,l2,0.644,0.6515779018233145,0.47347474098205566,0.637997432605905,1.0,0.665158371040724,0.221,0.48542454838752747,0.571,0.429,0.429,0.0,0.38927992159086733,0.7019238029960677
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,dynanoise,dynanoise,0.221,0.5,0.6879702210426331,0.0,1.0,1.0,0.221,0.6451646089553833,0.0,1.0,1.0,1.0,0.31695456568161645,0.6414789525961465
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,hamp_output,hamp_output,0.5925,0.641211031662591,0.4312798082828522,0.5539152759948652,1.0,0.7285067873303167,0.221,0.5335982441902161,0.4915,0.5085,0.5085,0.0,0.36899277365268157,0.67572418520089
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,lattice_round,lattice_round,0.592,0.6433209997734652,0.4572923481464386,0.5513478818998716,1.0,0.7352941176470589,0.221,0.4951403737068176,0.488,0.512,0.512,0.0,0.38019533156037955,0.6930562735610686
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,logitguard_continuous,logitguard_continuous,0.5925,0.641211031662591,0.43014469742774963,0.5539152759948652,1.0,0.7285067873303167,0.221,0.5002005100250244,0.4915,0.5085,0.5085,0.0,0.3843486929621326,0.6854564675677717
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,logitguard_quantized,logitguard_quantized,0.5925,0.641211031662591,0.4301896095275879,0.5539152759948652,1.0,0.7285067873303167,0.221,0.5001152753829956,0.4915,0.5085,0.5085,0.0,0.3792207046064958,0.6875279538101406
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,measurementguard_continuous,measurementguard_continuous,0.5925,0.641211031662591,0.4285183846950531,0.5539152759948652,1.0,0.7285067873303167,0.221,0.5312851667404175,0.4915,0.5085,0.5085,0.0,0.360379949791945,0.6759812150395854
PETSV2_CREDIT_repetition_eff_su2_r5_d6_b04__none,petsv2_b04,repetition,none,memgq_lattice,memgq_lattice,0.5925,0.641211031662591,0.4266008734703064,0.5539152759948652,1.0,0.7285067873303167,0.221,0.5174803733825684,0.4915,0.5085,0.5085,0.0,0.3770340641998958,0.6817593038993023
