attack,effective_defense,structural_contrast,contrast,mean_auc_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks,p_exact_sign_flip,p_holm_all_secondary
confidence,dynanoise,repetition-low,structural_difference_in_differences,-0.005576250000000067,0.007779835083635854,-0.010493750000000052,-0.0004387500000000849,8,0.09375,1.0
confidence,hamp_full,repetition-low,structural_difference_in_differences,-0.004019374999999999,0.015088136881456613,-0.013763562499999995,0.005696875000000011,8,0.46875,1.0
confidence,hamp_output,repetition-low,structural_difference_in_differences,-0.0027268749999999897,0.027846485664070605,-0.021542515625000022,0.01388750000000008,8,0.7734375,1.0
confidence,hamp_train,repetition-low,structural_difference_in_differences,0.006626250000000028,0.012310272931290209,-0.000856875,0.01478610937499999,8,0.21875,1.0
confidence,l2,repetition-low,structural_difference_in_differences,-0.010923124999999999,0.00847901735272769,-0.016094375,-0.005212171875000006,8,0.0234375,1.0
confidence,lattice_round,repetition-low,structural_difference_in_differences,-0.0011656250000000243,0.0011442509636688124,-0.0019818749999999663,-0.0005025000000000446,8,0.0234375,1.0
confidence,logitguard_continuous,repetition-low,structural_difference_in_differences,0.003235624999999992,0.01636017713785948,-0.007648124999999978,0.012838765624999941,8,0.5859375,1.0
confidence,logitguard_quantized,repetition-low,structural_difference_in_differences,0.0031337500000000046,0.016176823312999352,-0.007377499999999995,0.013117593749999988,8,0.6171875,1.0
confidence,measurementguard_continuous,repetition-low,structural_difference_in_differences,-0.012667499999999991,0.01917862556523355,-0.025304187500000033,-0.00023625000000004892,8,0.1015625,1.0
confidence,memgq_lattice,repetition-low,structural_difference_in_differences,-0.019638124999999992,0.017930868224039165,-0.030783124999999995,-0.007737281249999991,8,0.0234375,1.0
confidence,memgq_lattice_sticky,repetition-low,structural_difference_in_differences,-0.009610000000000028,0.01863090059934993,-0.021085000000000027,0.002882109374999996,8,0.1875,1.0
confidence,memguard,repetition-low,structural_difference_in_differences,0.000708124999999997,0.004916236901112137,-0.0025437656249999497,0.0037968749999999774,8,0.7265625,1.0
confidence,dp_qml,stress-low,structural_difference_in_differences,-0.05767875,0.014095627171472105,-0.06498815625000008,-0.04752096875000001,8,0.0078125,1.0
confidence,dynanoise,stress-low,structural_difference_in_differences,-0.010178125000000003,0.010597664816060686,-0.017476937500000022,-0.003869921875000068,8,0.0078125,1.0
confidence,hamp_full,stress-low,structural_difference_in_differences,-0.0017649999999999819,0.024499354656223774,-0.01718145312500001,0.013886250000000072,8,0.828125,1.0
confidence,hamp_output,stress-low,structural_difference_in_differences,0.006286250000000007,0.020594657550997472,-0.007641234375000031,0.018859374999999998,8,0.390625,1.0
