All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/pilot_credit_training_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b01__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='1'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.552801
epoch=2/100 objective=0.536027
epoch=3/100 objective=0.561064
epoch=4/100 objective=0.536246
epoch=5/100 objective=0.534312
epoch=6/100 objective=0.537895
epoch=7/100 objective=0.541675
epoch=8/100 objective=0.534866
epoch=9/100 objective=0.526465
epoch=10/100 objective=0.532796
epoch=11/100 objective=0.529078
epoch=12/100 objective=0.535738
epoch=13/100 objective=0.533444
epoch=14/100 objective=0.529568
epoch=15/100 objective=0.539196
epoch=16/100 objective=0.534233
epoch=17/100 objective=0.533849
epoch=18/100 objective=0.530710
epoch=19/100 objective=0.534144
epoch=20/100 objective=0.528386
epoch=21/100 objective=0.529844
epoch=22/100 objective=0.529907
epoch=23/100 objective=0.526689
epoch=24/100 objective=0.526135
epoch=25/100 objective=0.530639
epoch=26/100 objective=0.558275
epoch=27/100 objective=0.538484
epoch=28/100 objective=0.538721
epoch=29/100 objective=0.541979
epoch=30/100 objective=0.535120
epoch=31/100 objective=0.533491
epoch=32/100 objective=0.540421
epoch=33/100 objective=0.532564
epoch=34/100 objective=0.531185
epoch=35/100 objective=0.532076
epoch=36/100 objective=0.527684
epoch=37/100 objective=0.526454
epoch=38/100 objective=0.524001
epoch=39/100 objective=0.530878
epoch=40/100 objective=0.526598
epoch=41/100 objective=0.528648
epoch=42/100 objective=0.531056
epoch=43/100 objective=0.526528
epoch=44/100 objective=0.537528
epoch=45/100 objective=0.522546
epoch=46/100 objective=0.527069
epoch=47/100 objective=0.531455
epoch=48/100 objective=0.523836
epoch=49/100 objective=0.538239
epoch=50/100 objective=0.526104
epoch=51/100 objective=0.532702
epoch=52/100 objective=0.528069
epoch=53/100 objective=0.526017
epoch=54/100 objective=0.527554
epoch=55/100 objective=0.544593
epoch=56/100 objective=0.524706
epoch=57/100 objective=0.526225
epoch=58/100 objective=0.523431
epoch=59/100 objective=0.524750
epoch=60/100 objective=0.524191
epoch=61/100 objective=0.522684
epoch=62/100 objective=0.529638
epoch=63/100 objective=0.522754
epoch=64/100 objective=0.524077
epoch=65/100 objective=0.524352
epoch=66/100 objective=0.522119
epoch=67/100 objective=0.521881
epoch=68/100 objective=0.522609
epoch=69/100 objective=0.520985
epoch=70/100 objective=0.523714
epoch=71/100 objective=0.523199
epoch=72/100 objective=0.529240
epoch=73/100 objective=0.521555
epoch=74/100 objective=0.522805
epoch=75/100 objective=0.522997
epoch=76/100 objective=0.521552
epoch=77/100 objective=0.521236
epoch=78/100 objective=0.520480
epoch=79/100 objective=0.521422
epoch=80/100 objective=0.521070
epoch=81/100 objective=0.522846
epoch=82/100 objective=0.521795
epoch=83/100 objective=0.521213
epoch=84/100 objective=0.521137
epoch=85/100 objective=0.520515
epoch=86/100 objective=0.521201
epoch=87/100 objective=0.520190
epoch=88/100 objective=0.520238
epoch=89/100 objective=0.520508
epoch=90/100 objective=0.520310
epoch=91/100 objective=0.520159
epoch=92/100 objective=0.520050
epoch=93/100 objective=0.520007
epoch=94/100 objective=0.519992
epoch=95/100 objective=0.520007
epoch=96/100 objective=0.520008
epoch=97/100 objective=0.519968
epoch=98/100 objective=0.519963
epoch=99/100 objective=0.519942
epoch=100/100 objective=0.519933
[DONE] target=PETS_CREDIT_low_eff_su2_r1_d6_b01__l2 model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_low_eff_su2_r1_d6_b01__l2/target_model.pt
