All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b04__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='1'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.573652
epoch=2/100 objective=0.507898
epoch=3/100 objective=0.511543
epoch=4/100 objective=0.494792
epoch=5/100 objective=0.526942
epoch=6/100 objective=0.560617
epoch=7/100 objective=0.502595
epoch=8/100 objective=0.491342
epoch=9/100 objective=0.497705
epoch=10/100 objective=0.494056
epoch=11/100 objective=0.501042
epoch=12/100 objective=0.493201
epoch=13/100 objective=0.482381
epoch=14/100 objective=0.480493
epoch=15/100 objective=0.487985
epoch=16/100 objective=0.473687
epoch=17/100 objective=0.492521
epoch=18/100 objective=0.496493
epoch=19/100 objective=0.465037
epoch=20/100 objective=0.466932
epoch=21/100 objective=0.467696
epoch=22/100 objective=0.476089
epoch=23/100 objective=0.478624
epoch=24/100 objective=0.470523
epoch=25/100 objective=0.468690
epoch=26/100 objective=0.460568
epoch=27/100 objective=0.464898
epoch=28/100 objective=0.453849
epoch=29/100 objective=0.456262
epoch=30/100 objective=0.449175
epoch=31/100 objective=0.445814
epoch=32/100 objective=0.439955
epoch=33/100 objective=0.439395
epoch=34/100 objective=0.472535
epoch=35/100 objective=0.470208
epoch=36/100 objective=0.486162
epoch=37/100 objective=0.453545
epoch=38/100 objective=0.450722
epoch=39/100 objective=0.456388
epoch=40/100 objective=0.442562
epoch=41/100 objective=0.448516
epoch=42/100 objective=0.445868
epoch=43/100 objective=0.441663
epoch=44/100 objective=0.432234
epoch=45/100 objective=0.431910
epoch=46/100 objective=0.474886
epoch=47/100 objective=0.444530
epoch=48/100 objective=0.433829
epoch=49/100 objective=0.439059
epoch=50/100 objective=0.438586
epoch=51/100 objective=0.429297
epoch=52/100 objective=0.434890
epoch=53/100 objective=0.428721
epoch=54/100 objective=0.426079
epoch=55/100 objective=0.431733
epoch=56/100 objective=0.436753
epoch=57/100 objective=0.446428
epoch=58/100 objective=0.423150
epoch=59/100 objective=0.446469
epoch=60/100 objective=0.439527
epoch=61/100 objective=0.429342
epoch=62/100 objective=0.429315
epoch=63/100 objective=0.423933
epoch=64/100 objective=0.417935
epoch=65/100 objective=0.423692
epoch=66/100 objective=0.432606
epoch=67/100 objective=0.420286
epoch=68/100 objective=0.416772
epoch=69/100 objective=0.421782
epoch=70/100 objective=0.418768
epoch=71/100 objective=0.417206
epoch=72/100 objective=0.426563
epoch=73/100 objective=0.412564
epoch=74/100 objective=0.411431
epoch=75/100 objective=0.413906
epoch=76/100 objective=0.409483
epoch=77/100 objective=0.410451
epoch=78/100 objective=0.410725
epoch=79/100 objective=0.410705
epoch=80/100 objective=0.407260
epoch=81/100 objective=0.409637
epoch=82/100 objective=0.408998
epoch=83/100 objective=0.406418
epoch=84/100 objective=0.407357
epoch=85/100 objective=0.407443
epoch=86/100 objective=0.405942
epoch=87/100 objective=0.406390
epoch=88/100 objective=0.405688
epoch=89/100 objective=0.404945
epoch=90/100 objective=0.404843
epoch=91/100 objective=0.404877
epoch=92/100 objective=0.404258
epoch=93/100 objective=0.404109
epoch=94/100 objective=0.403866
epoch=95/100 objective=0.403774
epoch=96/100 objective=0.403801
epoch=97/100 objective=0.403679
epoch=98/100 objective=0.403616
epoch=99/100 objective=0.403600
epoch=100/100 objective=0.403573
[DONE] target=PETS_CREDIT_high_eff_su2_r5_d6_b04__l2 model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_high_eff_su2_r5_d6_b04__l2/target_model.pt
