All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b03__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='5'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.554482
epoch=2/100 objective=0.546628
epoch=3/100 objective=0.521839
epoch=4/100 objective=0.514298
epoch=5/100 objective=0.510672
epoch=6/100 objective=0.497857
epoch=7/100 objective=0.521279
epoch=8/100 objective=0.497594
epoch=9/100 objective=0.483397
epoch=10/100 objective=0.517712
epoch=11/100 objective=0.502775
epoch=12/100 objective=0.508536
epoch=13/100 objective=0.503395
epoch=14/100 objective=0.491203
epoch=15/100 objective=0.479653
epoch=16/100 objective=0.506013
epoch=17/100 objective=0.498905
epoch=18/100 objective=0.479393
epoch=19/100 objective=0.501062
epoch=20/100 objective=0.482835
epoch=21/100 objective=0.485957
epoch=22/100 objective=0.489914
epoch=23/100 objective=0.531709
epoch=24/100 objective=0.504793
epoch=25/100 objective=0.508503
epoch=26/100 objective=0.490537
epoch=27/100 objective=0.488033
epoch=28/100 objective=0.471897
epoch=29/100 objective=0.530147
epoch=30/100 objective=0.490487
epoch=31/100 objective=0.486665
epoch=32/100 objective=0.494227
epoch=33/100 objective=0.502840
epoch=34/100 objective=0.470156
epoch=35/100 objective=0.470618
epoch=36/100 objective=0.461990
epoch=37/100 objective=0.457110
epoch=38/100 objective=0.455525
epoch=39/100 objective=0.478374
epoch=40/100 objective=0.477367
epoch=41/100 objective=0.474171
epoch=42/100 objective=0.480457
epoch=43/100 objective=0.493383
epoch=44/100 objective=0.464175
epoch=45/100 objective=0.480113
epoch=46/100 objective=0.460446
epoch=47/100 objective=0.465613
epoch=48/100 objective=0.454931
epoch=49/100 objective=0.457161
epoch=50/100 objective=0.448913
epoch=51/100 objective=0.455882
epoch=52/100 objective=0.451305
epoch=53/100 objective=0.452406
epoch=54/100 objective=0.451480
epoch=55/100 objective=0.454138
epoch=56/100 objective=0.464859
epoch=57/100 objective=0.450189
epoch=58/100 objective=0.448373
epoch=59/100 objective=0.446580
epoch=60/100 objective=0.442663
epoch=61/100 objective=0.446930
epoch=62/100 objective=0.449967
epoch=63/100 objective=0.443013
epoch=64/100 objective=0.445156
epoch=65/100 objective=0.442824
epoch=66/100 objective=0.441642
epoch=67/100 objective=0.450263
epoch=68/100 objective=0.445414
epoch=69/100 objective=0.438219
epoch=70/100 objective=0.443364
epoch=71/100 objective=0.450067
epoch=72/100 objective=0.453492
epoch=73/100 objective=0.448761
epoch=74/100 objective=0.443341
epoch=75/100 objective=0.442033
epoch=76/100 objective=0.439483
epoch=77/100 objective=0.440846
epoch=78/100 objective=0.439748
epoch=79/100 objective=0.442277
epoch=80/100 objective=0.438691
epoch=81/100 objective=0.439416
epoch=82/100 objective=0.438278
epoch=83/100 objective=0.438230
epoch=84/100 objective=0.438091
epoch=85/100 objective=0.438254
epoch=86/100 objective=0.438117
epoch=87/100 objective=0.437747
epoch=88/100 objective=0.438934
epoch=89/100 objective=0.437916
epoch=90/100 objective=0.437111
epoch=91/100 objective=0.436812
epoch=92/100 objective=0.436848
epoch=93/100 objective=0.437005
epoch=94/100 objective=0.436311
epoch=95/100 objective=0.436335
epoch=96/100 objective=0.436318
epoch=97/100 objective=0.436246
epoch=98/100 objective=0.436269
epoch=99/100 objective=0.436212
epoch=100/100 objective=0.436197
[DONE] target=PETS_CREDIT_low_eff_su2_r1_d6_b03__l2 model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_low_eff_su2_r1_d6_b03__l2/target_model.pt
