effective_defense,attack,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
dp_qml,confidence,auc,high-low,-0.025075000000000056,0.08949902699657312,-0.09415000000000001,0.04832499999999991,4
dp_qml,correctness,auc,high-low,-0.023749999999999924,0.0900347155268456,-0.08499999999999996,0.06000000000000011,4
dp_qml,entropy,auc,high-low,-0.032225000000000004,0.023325004465880254,-0.04644999999999999,-0.008775000000000005,4
dp_qml,label_only_hsj,auc,high-low,-0.00906249999999996,0.1511979076960613,-0.13062499999999996,0.11250000000000004,4
dp_qml,learned_pv_stats_logistic,auc,high-low,-0.062075000000000005,0.053531384875292305,-0.09905000000000003,-0.012524999999999925,4
dp_qml,loss,auc,high-low,-0.025075000000000056,0.08949902699657312,-0.09415000000000001,0.04832499999999991,4
dp_qml,margin,auc,high-low,-0.032225000000000004,0.023325004465880254,-0.04644999999999999,-0.008775000000000005,4
dp_qml,maximum_probability,auc,high-low,-0.032225000000000004,0.023325004465880254,-0.04644999999999999,-0.008775000000000005,4
dynanoise,confidence,auc,high-low,0.05697500000000001,0.09859751095573697,-0.021800000000000014,0.13575000000000004,4
dynanoise,correctness,auc,high-low,0.033750000000000044,0.04714781719938543,8.326672684688674e-17,0.07875000000000003,4
dynanoise,entropy,auc,high-low,0.012125000000000066,0.04089935818567332,-0.01732499999999998,0.04877500000000008,4
dynanoise,global_true_class_log_odds,auc,high-low,0.011525000000000007,0.03156161962468554,-0.013650000000000023,0.03630000000000003,4
dynanoise,label_only_hsj,auc,high-low,0.005625000000000005,0.09215306560283276,-0.04281249999999995,0.09781249999999998,4
dynanoise,learned_pv_stats_logistic,auc,high-low,0.026675000000000004,0.04423312295855524,-0.01547500000000003,0.05594999999999997,4
dynanoise,lira_offline,auc,high-low,0.0011250000000000426,0.0758439351563459,-0.06712499999999996,0.05560000000000004,4
dynanoise,lira_offline_fixed_variance,auc,high-low,0.02037500000000006,0.0892664690687382,-0.03632499999999994,0.10820000000000005,4
dynanoise,lira_online,auc,high-low,0.022849999999999995,0.1237905893030646,-0.09962500000000003,0.104575,4
dynanoise,lira_online_fixed_variance,auc,high-low,0.08037500000000003,0.05423709523932855,0.03175000000000004,0.11987499999999997,4
dynanoise,loss,auc,high-low,0.05697500000000001,0.09859751095573697,-0.021800000000000014,0.13575000000000004,4
dynanoise,margin,auc,high-low,0.012125000000000066,0.04092931915713563,-0.017349999999999977,0.04880000000000008,4
dynanoise,maximum_probability,auc,high-low,0.012125000000000066,0.04092931915713563,-0.017349999999999977,0.04880000000000008,4
hamp_full,confidence,auc,high-low,0.021425000000000027,0.051023025847813715,-0.019149999999999973,0.069025,4
hamp_full,correctness,auc,high-low,-0.006250000000000047,0.04679298380455491,-0.05375000000000009,0.024999999999999994,4
hamp_full,entropy,auc,high-low,0.034600000000000034,0.07648612074531337,-0.00902499999999995,0.11132499999999997,4
hamp_full,learned_pv_stats_logistic,auc,high-low,0.006425,0.07707560681997044,-0.053425000000000084,0.07875000000000006,4
hamp_full,loss,auc,high-low,0.021425000000000027,0.051023025847813715,-0.019149999999999973,0.069025,4
hamp_full,margin,auc,high-low,0.034600000000000034,0.07648612074531337,-0.00902499999999995,0.11132499999999997,4
hamp_full,maximum_probability,auc,high-low,0.034600000000000034,0.07648612074531337,-0.00902499999999995,0.11132499999999997,4
hamp_output,confidence,auc,high-low,0.04199999999999998,0.04619285659060288,0.004299999999999943,0.07970000000000002,4
hamp_output,correctness,auc,high-low,-0.005000000000000018,0.03763863263545411,-0.04250000000000008,0.020000000000000018,4
hamp_output,entropy,auc,high-low,0.037200000000000025,0.06418099407145397,0.003399999999999931,0.10100000000000006,4
hamp_output,global_true_class_log_odds,auc,high-low,0.03505000000000001,0.05046137136463889,-0.011699999999999974,0.07829999999999998,4
hamp_output,learned_pv_stats_logistic,auc,high-low,0.006099999999999994,0.08292120758085154,-0.059600000000000056,0.07475000000000002,4
hamp_output,lira_offline,auc,high-low,-0.03217499999999998,0.04665850226200289,-0.06959999999999994,0.005249999999999977,4
hamp_output,lira_offline_fixed_variance,auc,high-low,0.021199999999999983,0.046725938549518016,-0.020375000000000046,0.06452499999999997,4
hamp_output,lira_online,auc,high-low,0.009925000000000003,0.05437930825844215,-0.038200000000000095,0.05947500000000004,4
hamp_output,lira_online_fixed_variance,auc,high-low,0.04500000000000004,0.033956540852487706,0.01662500000000007,0.07080000000000006,4
hamp_output,loss,auc,high-low,0.04199999999999998,0.04619285659060288,0.004299999999999943,0.07970000000000002,4
hamp_output,margin,auc,high-low,0.037200000000000025,0.06418099407145397,0.003399999999999931,0.10100000000000006,4
hamp_output,maximum_probability,auc,high-low,0.037200000000000025,0.06418099407145397,0.003399999999999931,0.10100000000000006,4
hamp_train,confidence,auc,high-low,0.030625,0.07216875478118405,-0.031350000000000044,0.09717500000000003,4
hamp_train,correctness,auc,high-low,-0.006250000000000047,0.04679298380455491,-0.05375000000000009,0.024999999999999994,4
hamp_train,entropy,auc,high-low,0.0027500000000000163,0.04109521464436789,-0.02880000000000002,0.03567500000000001,4
hamp_train,label_only_hsj,auc,high-low,-0.013749999999999984,0.07801575695545951,-0.06937499999999999,0.0625,4
hamp_train,learned_pv_stats_logistic,auc,high-low,0.048350000000000046,0.03783195298509809,0.01629999999999998,0.08040000000000011,4
hamp_train,loss,auc,high-low,0.030625,0.07216875478118405,-0.031350000000000044,0.09717500000000003,4
hamp_train,margin,auc,high-low,0.0027500000000000163,0.04109521464436789,-0.02880000000000002,0.03567500000000001,4
hamp_train,maximum_probability,auc,high-low,0.0027500000000000163,0.04109521464436789,-0.02880000000000002,0.03567500000000001,4
