attack,effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
confidence,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.052925000000000055,0.11650609068485067,-0.16747499999999998,0.04144999999999992,4
confidence,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.029125000000000012,0.06410129353869028,-0.009200000000000014,0.09142500000000002,4
confidence,hamp_full,none,auc,(high-low)_defense-(high-low)_none,-0.006424999999999972,0.10777827161971623,-0.0812,0.093375,4
confidence,hamp_output,none,auc,(high-low)_defense-(high-low)_none,0.014149999999999982,0.10159726046175327,-0.06550000000000006,0.09542499999999991,4
confidence,hamp_train,none,auc,(high-low)_defense-(high-low)_none,0.0027749999999999997,0.009578578530589353,-0.005824999999999997,0.010050000000000003,4
confidence,l2,none,auc,(high-low)_defense-(high-low)_none,-0.008900000000000005,0.03256296464799645,-0.0363,0.01849999999999999,4
confidence,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.0021750000000000796,0.0016199279819382702,0.0007625000000001103,0.0033750000000000724,4
confidence,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.07074999999999998,0.0659133522133414,-0.11729999999999993,-0.010549999999999962,4
confidence,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.08473750000000004,0.03890386388265306,-0.11557499999999998,-0.05390000000000009,4
confidence,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.031375000000000014,0.12526817566059356,-0.14054999999999995,0.08267499999999996,4
confidence,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.02375000000000005,0.11430801225927549,-0.1298375000000001,0.07931249999999998,4
confidence,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.04077500000000003,0.08373060471934181,-0.12085000000000001,0.022749999999999937,4
confidence,memguard,none,auc,(high-low)_defense-(high-low)_none,-0.03312499999999996,0.02629149101895895,-0.05729999999999996,-0.014949999999999991,4
correctness,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.018749999999999906,0.09095557523685216,-0.09374999999999993,0.06500000000000013,4
correctness,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.03875000000000006,0.051538820320220766,-0.004999999999999949,0.08250000000000007,4
correctness,hamp_full,none,auc,(high-low)_defense-(high-low)_none,-0.0012500000000000289,0.00946484724300044,-0.010000000000000037,0.004999999999999949,4
correctness,hamp_output,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
correctness,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.0012500000000000289,0.00946484724300044,-0.010000000000000037,0.004999999999999949,4
correctness,l2,none,auc,(high-low)_defense-(high-low)_none,-0.04125000000000001,0.0919578707887476,-0.10750000000000001,0.041249999999999995,4
correctness,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.0037500000000000033,0.010307764064044161,-0.0062500000000000056,0.012500000000000011,4
correctness,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
correctness,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
correctness,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
correctness,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
correctness,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.0012500000000000289,0.006291528696058956,-0.0037499999999999756,0.007500000000000007,4
correctness,memguard,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
entropy,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.04270000000000007,0.06050173551229754,-0.1022250000000001,-0.0067500000000000615,4
entropy,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.0016499999999999987,0.053913742836744924,-0.048187499999999994,0.047512499999999944,4
entropy,hamp_full,none,auc,(high-low)_defense-(high-low)_none,0.024124999999999966,0.1030941762015036,-0.056050000000000016,0.12332499999999995,4
entropy,hamp_output,none,auc,(high-low)_defense-(high-low)_none,0.026724999999999957,0.09537687962324361,-0.05217500000000021,0.11420000000000011,4
entropy,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.007725000000000051,0.0696195554424187,-0.07022500000000015,0.048350000000000046,4
entropy,l2,none,auc,(high-low)_defense-(high-low)_none,-0.006475000000000036,0.03700093467287908,-0.042200000000000015,0.016799999999999926,4
entropy,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.008037499999999947,0.015078095315169465,-0.0008500000000001284,0.022712500000000024,4
entropy,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.010074999999999959,0.030057874730814355,-0.01817499999999994,0.030399999999999927,4
entropy,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.021212500000000065,0.05716842623628302,-0.06695000000000015,0.0235999999999999,4
entropy,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.03550000000000007,0.04335281613305734,-0.06950000000000017,-0.0012999999999999817,4
entropy,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,0.005962499999999954,0.062294881745346295,-0.045900000000000135,0.05367500000000003,4
entropy,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.01550000000000007,0.05647092172082909,-0.06947500000000016,0.02645000000000007,4
entropy,memguard,none,auc,(high-low)_defense-(high-low)_none,0.011874999999999941,0.050498077521162504,-0.026250000000000176,0.06057500000000003,4
global_true_class_log_odds,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.012675000000000006,0.02393329271120049,-0.0015500000000000236,0.036250000000000046,4
global_true_class_log_odds,hamp_output,none,auc,(high-low)_defense-(high-low)_none,0.03620000000000001,0.022077892411490083,0.016075000000000048,0.05169999999999997,4
global_true_class_log_odds,l2,none,auc,(high-low)_defense-(high-low)_none,0.029674999999999993,0.07390071605426661,-0.013000000000000095,0.1017,4
global_true_class_log_odds,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.000800000000000009,0.0019663841605003633,-0.0007999999999999952,0.0024000000000000132,4
global_true_class_log_odds,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.0009375000000000078,0.04657161823471457,-0.025525000000000006,0.045612499999999986,4
global_true_class_log_odds,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.0030625000000000097,0.03678098183844475,-0.022625000000000006,0.03345000000000001,4
global_true_class_log_odds,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.026199999999999987,0.07899987341762013,-0.08775000000000002,0.03750000000000003,4
global_true_class_log_odds,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.0021625000000000116,0.046081257487905807,-0.040600000000000094,0.04281250000000007,4
global_true_class_log_odds,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.03451250000000006,0.07173556039371273,-0.09442500000000009,0.025399999999999978,4
global_true_class_log_odds,memguard,none,auc,(high-low)_defense-(high-low)_none,0.058075,0.09829518045153592,0.003850000000000048,0.15580000000000005,4
label_only_hsj,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.012187499999999907,0.12751787047965735,-0.11624999999999991,0.0918750000000001,4
label_only_hsj,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.0025000000000000577,0.12134231880647955,-0.0906249999999999,0.11750000000000002,4
label_only_hsj,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.01687499999999993,0.10330224666805002,-0.10031249999999983,0.0815625,4
label_only_hsj,l2,none,auc,(high-low)_defense-(high-low)_none,-0.013124999999999956,0.1340339664662158,-0.08562499999999995,0.12031250000000002,4
label_only_hsj,lattice_round,none,auc,(high-low)_defense-(high-low)_none,-0.009687499999999932,0.023282123865031402,-0.027499999999999858,0.010312500000000058,4
label_only_hsj,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.003124999999999961,0.00965552518854705,-0.01249999999999997,0.0025000000000000022,4
learned_pv_stats_logistic,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.05829999999999998,0.10917472234908591,-0.14520000000000002,0.02860000000000007,4
learned_pv_stats_logistic,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.030450000000000033,0.051879957594431376,-0.00019999999999997797,0.08164999999999997,4
learned_pv_stats_logistic,hamp_full,none,auc,(high-low)_defense-(high-low)_none,0.010200000000000028,0.10449153075728203,-0.07360000000000005,0.09400000000000011,4
learned_pv_stats_logistic,hamp_output,none,auc,(high-low)_defense-(high-low)_none,0.009875000000000023,0.10595453034202931,-0.07967499999999997,0.08970000000000009,4
learned_pv_stats_logistic,hamp_train,none,auc,(high-low)_defense-(high-low)_none,0.052125000000000074,0.08363541414974882,-0.015750000000000056,0.1345250000000001,4
learned_pv_stats_logistic,l2,none,auc,(high-low)_defense-(high-low)_none,-0.01875000000000006,0.10590138494530342,-0.10980000000000009,0.07229999999999998,4
learned_pv_stats_logistic,lattice_round,none,auc,(high-low)_defense-(high-low)_none,-0.013550000000000034,0.02869137501061943,-0.04202500000000002,0.00309999999999995,4
learned_pv_stats_logistic,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.008900000000000102,0.03578100054498184,-0.016899999999999804,0.04389999999999997,4
learned_pv_stats_logistic,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.016687500000000036,0.03380656679305575,-0.04325000000000012,0.009924999999999976,4
learned_pv_stats_logistic,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.025974999999999956,0.09459955514342197,-0.10494999999999996,0.05300000000000005,4
learned_pv_stats_logistic,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.025149999999999978,0.08733333651399484,-0.09589999999999999,0.04560000000000003,4
learned_pv_stats_logistic,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.023524999999999963,0.055201124686610016,-0.06994999999999998,0.02290000000000006,4
learned_pv_stats_logistic,memguard,none,auc,(high-low)_defense-(high-low)_none,-0.03874999999999999,0.03353977737950373,-0.06230000000000005,-0.006749999999999964,4
lira_offline,dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.03059999999999996,0.0764182787907012,-0.10044999999999998,0.03610000000000002,4
lira_offline,hamp_output,none,auc,(high-low)_defense-(high-low)_none,-0.06389999999999998,0.05282821215979203,-0.10584999999999994,-0.021950000000000025,4
lira_offline,l2,none,auc,(high-low)_defense-(high-low)_none,-0.019474999999999992,0.012015926930536863,-0.028499999999999984,-0.00747499999999994,4
lira_offline,lattice_round,none,auc,(high-low)_defense-(high-low)_none,-0.0023500000000000465,0.013984157703153463,-0.013900000000000037,0.009249999999999967,4
lira_offline,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.018450000000000064,0.03981996986437832,-0.056900000000000034,0.0069499999999999285,4
lira_offline,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,-0.012324999999999989,0.042736801081347524,-0.05053749999999997,0.018937500000000024,4
lira_offline,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,-0.024275000000000033,0.070491624798033,-0.07307499999999997,0.04244999999999989,4
lira_offline,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.0052500000000000185,0.04468888750759705,-0.043149999999999994,0.03264999999999996,4
lira_offline,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.03019999999999999,0.06011561084000284,-0.07474999999999998,0.02137500000000002,4
lira_offline,memguard,none,auc,(high-low)_defense-(high-low)_none,-0.052075000000000024,0.023007444447395678,-0.0708,-0.033350000000000046,4
