effective_defense,structural_role,outcome,count,mean,std
dp_qml,high,accuracy,4,0.626625,0.13567262988532358
dp_qml,high,balanced_accuracy,4,0.5751968383877695,0.013018291045433316
dp_qml,high,task_roc_auc,4,0.631241141909514,0.022788972861929022
dp_qml,high,task_average_precision,4,0.33522582100476517,0.038419709343813516
dp_qml,high,minority_class_recall,4,0.48303167420814475,0.20891800121078438
dp_qml,high,minimum_class_recall,4,0.37407207871792936,0.07749635683826639
dp_qml,high,predicted_minority_fraction,4,0.365875,0.22793324132298037
dp_qml,high,prediction_collapse,4,0.0,0.0
dp_qml,high,nll,4,0.6163854151964188,0.056781971064407605
dp_qml,high,mean_entropy,4,0.271661140024662,0.06609083715642543
dp_qml,high,runtime_seconds,4,9.017983956000535,0.7609664316157342
dp_qml,high,attack_runtime_seconds,4,1.4096783440036234,0.06714036062092056
dp_qml,high,utility_runtime_seconds,4,7.6083056119969115,0.6944675479668856
dp_qml,high,records_per_second,4,264.42150415161666,22.68290002341066
dp_qml,high,mean_l1_probability_distortion,4,0.0,0.0
dp_qml,low,accuracy,4,0.619,0.06356230539137697
dp_qml,low,balanced_accuracy,4,0.5666564048350653,0.020400357482790676
dp_qml,low,task_roc_auc,4,0.6031940313895876,0.03793855887422668
dp_qml,low,task_average_precision,4,0.2873753637370762,0.028148552519573537
dp_qml,low,minority_class_recall,4,0.47285067873303166,0.0992041245997306
dp_qml,low,minimum_class_recall,4,0.4722894243112471,0.09866286815341012
dp_qml,low,predicted_minority_fraction,4,0.369,0.10387572703315565
dp_qml,low,prediction_collapse,4,0.0,0.0
dp_qml,low,nll,4,0.6373482495546341,0.09377968121380768
dp_qml,low,mean_entropy,4,0.27531348913908005,0.11093597450120314
dp_qml,low,runtime_seconds,4,6.403789669304388,0.11428284445830864
dp_qml,low,attack_runtime_seconds,4,0.9568428047932684,0.016022421928063132
dp_qml,low,utility_runtime_seconds,4,5.446946864511119,0.09842793959038579
dp_qml,low,records_per_second,4,367.26962462887957,6.7479494697549445
dp_qml,low,mean_l1_probability_distortion,4,0.0,0.0
dynanoise,high,accuracy,4,0.726,0.018142950880897693
dynanoise,high,balanced_accuracy,4,0.552886430567092,0.016506120295535526
dynanoise,high,task_roc_auc,4,0.6177574219181106,0.017081750936877547
dynanoise,high,task_average_precision,4,0.31300940160955354,0.02884098164329782
dynanoise,high,minority_class_recall,4,0.24264705882352944,0.020013355218273896
dynanoise,high,minimum_class_recall,4,0.24264705882352944,0.020013355218273896
dynanoise,high,predicted_minority_fraction,4,0.16025,0.015591129956912466
dynanoise,high,prediction_collapse,4,0.0,0.0
dynanoise,high,nll,4,0.6411334723234177,0.003628777351463405
dynanoise,high,mean_entropy,4,0.6854846179485321,0.0009411668239703226
dynanoise,high,runtime_seconds,4,9.618825443059905,0.32845571428819614
dynanoise,high,attack_runtime_seconds,4,1.4775679452868644,0.08296445601265381
dynanoise,high,utility_runtime_seconds,4,8.14125749777304,0.26044161522126363
dynanoise,high,records_per_second,4,245.846694234974,7.686903065142727
dynanoise,high,mean_l1_probability_distortion,4,0.5200330317020416,0.03493321279232324
dynanoise,low,accuracy,4,0.726125,0.009040418500637394
dynanoise,low,balanced_accuracy,4,0.5229856557019964,0.015693764070973778
dynanoise,low,task_roc_auc,4,0.5811658844440314,0.024815766660363028
dynanoise,low,task_average_precision,4,0.2707508317700864,0.02303963782619958
dynanoise,low,minority_class_recall,4,0.1589366515837104,0.02815962081636288
dynanoise,low,minimum_class_recall,4,0.1589366515837104,0.02815962081636288
dynanoise,low,predicted_minority_fraction,4,0.123125,0.004836923953643821
dynanoise,low,prediction_collapse,4,0.0,0.0
dynanoise,low,nll,4,0.6514950841665268,0.003588383475049121
dynanoise,low,mean_entropy,4,0.6883926540613174,0.0006815495991203386
dynanoise,low,runtime_seconds,4,6.731703841738636,0.07291024908209555
dynanoise,low,attack_runtime_seconds,4,1.0184260562236886,0.020771087195789927
dynanoise,low,utility_runtime_seconds,4,5.713277785514947,0.06048584386986612
dynanoise,low,records_per_second,4,350.09113174504296,3.7009643346955667
dynanoise,low,mean_l1_probability_distortion,4,0.5005689561367035,0.016310726837602943
hamp_full,high,accuracy,4,0.762125,0.009437293044088428
hamp_full,high,balanced_accuracy,4,0.5539926027683711,0.020352072177772837
hamp_full,high,task_roc_auc,4,0.5513168422795207,0.025103963879413462
hamp_full,high,task_average_precision,4,0.2851132787840237,0.026796310875306352
hamp_full,high,minority_class_recall,4,0.18099547511312217,0.04551205511195961
hamp_full,high,minimum_class_recall,4,0.18099547511312217,0.04551205511195961
hamp_full,high,predicted_minority_fraction,4,0.096875,0.016695183936293323
hamp_full,high,prediction_collapse,4,0.0,0.0
hamp_full,high,nll,4,0.623138502240181,0.00470393135850846
hamp_full,high,mean_entropy,4,0.672303318977356,0.0028705399408504506
hamp_full,high,runtime_seconds,4,17.76129531042534,0.6904221403804319
hamp_full,high,attack_runtime_seconds,4,2.8153253339696676,0.1241151973714598
hamp_full,high,utility_runtime_seconds,4,14.945969976455672,0.6188502752813558
hamp_full,high,records_per_second,4,133.98480133183932,5.4586418919469235
hamp_full,high,mean_l1_probability_distortion,4,0.11336768977344036,0.010322419672294435
hamp_full,low,accuracy,4,0.7766249999999999,0.0041104541517128544
hamp_full,low,balanced_accuracy,4,0.5100223485266527,0.015505855238314558
hamp_full,low,task_roc_auc,4,0.5100818865118872,0.033502326431401386
hamp_full,low,task_average_precision,4,0.24106085393814664,0.03175229690941861
hamp_full,low,minority_class_recall,4,0.03223981900452489,0.04832581303912631
hamp_full,low,minimum_class_recall,4,0.03223981900452489,0.04832581303912631
hamp_full,low,predicted_minority_fraction,4,0.016625,0.024499574826242737
hamp_full,low,prediction_collapse,4,0.25,0.5
hamp_full,low,nll,4,0.6234976649284363,0.0023526200987324815
hamp_full,low,mean_entropy,4,0.6787159591913223,0.0006889759723505385
hamp_full,low,runtime_seconds,4,13.206183552276343,0.2937799383269142
hamp_full,low,attack_runtime_seconds,4,2.063132077746559,0.03840896604899794
hamp_full,low,utility_runtime_seconds,4,11.143051474529784,0.2620425401937105
hamp_full,low,records_per_second,4,179.55888901008652,4.243523907237414
hamp_full,low,mean_l1_probability_distortion,4,0.08190259523689747,0.010070736756910411
hamp_output,high,accuracy,4,0.7689999999999999,0.013372858083945036
hamp_output,high,balanced_accuracy,4,0.5608362037418897,0.016872714764975216
hamp_output,high,task_roc_auc,4,0.5666927084845985,0.02204730218672779
hamp_output,high,task_average_precision,4,0.29866441779230746,0.02714003770019332
hamp_output,high,minority_class_recall,4,0.18778280542986425,0.051954161839064365
hamp_output,high,minimum_class_recall,4,0.18778280542986425,0.051954161839064365
hamp_output,high,predicted_minority_fraction,4,0.093,0.031083221626251458
hamp_output,high,prediction_collapse,4,0.0,0.0
hamp_output,high,nll,4,0.7046390920877457,0.06459716981440076
hamp_output,high,mean_entropy,4,0.39044828712940216,0.01207233992186971
hamp_output,high,runtime_seconds,4,18.827207152789924,0.7538009266324235
hamp_output,high,attack_runtime_seconds,4,2.912928068486508,0.05599079145621757
hamp_output,high,utility_runtime_seconds,4,15.914279084303416,0.7059685826099241
hamp_output,high,records_per_second,4,125.86350130644101,5.7195462960992485
hamp_output,high,mean_l1_probability_distortion,4,0.32637695223093033,0.022944249929205098
hamp_output,low,accuracy,4,0.774625,0.0066253930701003225
hamp_output,low,balanced_accuracy,4,0.5081309283859687,0.014131027031717903
hamp_output,low,task_roc_auc,4,0.5079759118024616,0.02814575255306744
hamp_output,low,task_average_precision,4,0.23411873006239825,0.021168715642127762
