attack,dataset,architecture,fm_kind,reps,depth,auc_count,auc_mean,auc_std,tpr_at_0_05_fpr_count,tpr_at_0_05_fpr_mean,tpr_at_0_05_fpr_std,tpr_at_0_10_fpr_count,tpr_at_0_10_fpr_mean,tpr_at_0_10_fpr_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,error_bar_type
global_true_class_log_odds,MNIST,QNN,eff_su2,1,6,3,0.5364416666666667,0.005660462289719229,3,0.05333333333333334,0.0028867513459481246,3,0.11666666666666665,0.012583057392117916,3,0.49583333333333335,0.020207259421636963,3,-0.008333333333333302,0.0404145188432737,mean ± sample SD across target-model seeds
global_true_class_log_odds,MNIST,QNN,zz,5,6,3,0.6789916666666667,0.018371110699501376,3,0.045000000000000005,0.013228756555322947,3,0.11166666666666665,0.048045117684665246,3,0.6541666666666667,0.00381881307912987,3,0.3083333333333333,0.007637626158259681,mean ± sample SD across target-model seeds
lira_offline,MNIST,QNN,eff_su2,1,6,3,0.5245916666666667,0.030260683375187267,3,0.055,0.02783882181415011,3,0.08833333333333333,0.005773502691896256,3,0.4875,0.033634060117684265,3,-0.025000000000000033,0.0672681202353685,mean ± sample SD across target-model seeds
lira_offline,MNIST,QNN,zz,5,6,3,0.5434583333333333,0.028593807604677866,3,0.05333333333333334,0.0202072594216369,3,0.11833333333333333,0.03329164059239696,3,0.5533333333333333,0.030242078852706685,3,0.10666666666666667,0.06048415770541351,mean ± sample SD across target-model seeds
lira_offline_fixed_variance,MNIST,QNN,eff_su2,1,6,3,0.529125,0.046562679529855225,3,0.06333333333333334,0.022546248764114474,3,0.13833333333333334,0.01607275126832158,3,0.5241666666666667,0.038432841858667376,3,0.048333333333333305,0.07686568371733458,mean ± sample SD across target-model seeds
lira_offline_fixed_variance,MNIST,QNN,zz,5,6,3,0.547025,0.033191047362202845,3,0.06166666666666667,0.015275252316519472,3,0.135,0.02783882181415011,3,0.5341666666666667,0.03617089069035118,3,0.06833333333333326,0.07234178138070228,mean ± sample SD across target-model seeds
lira_online,MNIST,QNN,eff_su2,1,6,3,0.539375,0.01910476053239092,3,0.04666666666666667,0.023629078131263043,3,0.105,0.013228756555322949,3,0.525,0.022500000000000048,3,0.04999999999999997,0.04499999999999996,mean ± sample SD across target-model seeds
lira_online,MNIST,QNN,zz,5,6,3,0.74375,0.013420972393980986,3,0.16,0.0264575131106459,3,0.3,0.010000000000000009,3,0.6875,0.015612494995996014,3,0.375,0.03122498999199198,mean ± sample SD across target-model seeds
lira_online_fixed_variance,MNIST,QNN,eff_su2,1,6,3,0.5679500000000001,0.026191685226422602,3,0.09500000000000001,0.021794494717703363,3,0.145,0.047696960070847276,3,0.5416666666666666,0.046457866215887884,3,0.08333333333333333,0.09291573243177569,mean ± sample SD across target-model seeds
lira_online_fixed_variance,MNIST,QNN,zz,5,6,3,0.750825,0.013775612509068374,3,0.18833333333333332,0.018929694486000914,3,0.3,0.0050000000000000044,3,0.6750000000000002,0.043588989435406775,3,0.35000000000000003,0.08717797887081348,mean ± sample SD across target-model seeds
