outcome,attack,factor,contrast,block_id,block_effect,within_block_pairs
train_acc,target_model,repetitions,5 - 1,credit_b01,0.021666655937830608,6
train_acc,target_model,repetitions,5 - 1,credit_b02,0.02166666587193807,6
train_acc,target_model,repetitions,5 - 1,credit_b03,0.061666667461395264,6
train_acc,target_model,repetitions,5 - 1,credit_b04,0.06833333770434062,6
train_acc,target_model,repetitions,5 - 1,credit_b05,0.027500003576278687,6
train_acc,target_model,repetitions,5 - 1,credit_b06,0.015833367904027302,6
train_acc,target_model,repetitions,5 - 1,credit_b07,0.027499993642171223,6
train_acc,target_model,repetitions,5 - 1,credit_b08,0.026666661103566486,6
train_acc,target_model,depth,6 - 2,credit_b01,0.013333330551783243,6
train_acc,target_model,depth,6 - 2,credit_b02,0.013333340485890707,6
train_acc,target_model,depth,6 - 2,credit_b03,0.01500000556310018,6
train_acc,target_model,depth,6 - 2,credit_b04,0.025000005960464478,6
train_acc,target_model,depth,6 - 2,credit_b05,0.01083335280418396,6
train_acc,target_model,depth,6 - 2,credit_b06,-0.0008333424727121989,6
train_acc,target_model,depth,6 - 2,credit_b07,0.017500003178914387,6
train_acc,target_model,depth,6 - 2,credit_b08,0.009999990463256836,6
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b01,0.008749991655349731,4
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b02,-0.0012500137090682983,4
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b03,0.020000025629997253,4
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b04,0.0,4
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b05,0.02000001072883606,4
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b06,-0.002499997615814209,4
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b07,1.4901161193847656e-08,4
train_acc,target_model,feature_map,Z - EfficientSU2,credit_b08,0.007500022649765015,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b01,0.016249999403953552,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b02,0.0062499940395355225,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b03,0.01875002682209015,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b04,0.01874999701976776,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b05,0.025000005960464478,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b06,0.005000010132789612,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b07,0.018750011920928955,4
train_acc,target_model,feature_map,ZZ - EfficientSU2,credit_b08,0.007500022649765015,4
train_acc,target_model,feature_map,ZZ - Z,credit_b01,0.007500007748603821,4
train_acc,target_model,feature_map,ZZ - Z,credit_b02,0.007500007748603821,4
train_acc,target_model,feature_map,ZZ - Z,credit_b03,-0.0012499988079071045,4
train_acc,target_model,feature_map,ZZ - Z,credit_b04,0.01874999701976776,4
train_acc,target_model,feature_map,ZZ - Z,credit_b05,0.004999995231628418,4
train_acc,target_model,feature_map,ZZ - Z,credit_b06,0.007500007748603821,4
train_acc,target_model,feature_map,ZZ - Z,credit_b07,0.01874999701976776,4
train_acc,target_model,feature_map,ZZ - Z,credit_b08,0.0,4
valid_acc,target_model,repetitions,5 - 1,credit_b01,-0.01250000794728597,6
valid_acc,target_model,repetitions,5 - 1,credit_b02,0.002499997615814209,6
valid_acc,target_model,repetitions,5 - 1,credit_b03,-0.026666641235351562,6
valid_acc,target_model,repetitions,5 - 1,credit_b04,-0.006666650374730428,6
valid_acc,target_model,repetitions,5 - 1,credit_b05,-0.02166666587193807,6
valid_acc,target_model,repetitions,5 - 1,credit_b06,-0.013333320617675781,6
valid_acc,target_model,repetitions,5 - 1,credit_b07,-0.030833303928375244,6
valid_acc,target_model,repetitions,5 - 1,credit_b08,-0.014166643222173056,6
