effective_defense,structural_role,outcome,count,mean,std
dynanoise,high,utility_runtime_seconds,1,7.0654552601045,
dynanoise,high,records_per_second,1,283.0673928816895,
dynanoise,high,mean_l1_probability_distortion,1,0.5123616456985474,
dynanoise,low,accuracy,1,0.736,
dynanoise,low,balanced_accuracy,1,0.5412757973733584,
dynanoise,low,task_roc_auc,1,0.6326666047084382,
dynanoise,low,task_average_precision,1,0.30407583432060825,
dynanoise,low,minority_class_recall,1,0.19230769230769232,
dynanoise,low,minimum_class_recall,1,0.19230769230769232,
dynanoise,low,predicted_minority_fraction,1,0.128,
dynanoise,low,prediction_collapse,1,0.0,
dynanoise,low,nll,1,0.6504192352294922,
dynanoise,low,mean_entropy,1,0.6890637278556824,
dynanoise,low,runtime_seconds,1,5.653807292925194,
dynanoise,low,attack_runtime_seconds,1,0.8474492289824411,
dynanoise,low,utility_runtime_seconds,1,4.806358063942753,
dynanoise,low,records_per_second,1,416.1154814918969,
dynanoise,low,mean_l1_probability_distortion,1,0.49134179949760437,
hamp_full,high,accuracy,1,0.762,
hamp_full,high,balanced_accuracy,1,0.5822727827183011,
hamp_full,high,task_roc_auc,1,0.5787237379399276,
hamp_full,high,task_average_precision,1,0.3182202337088544,
hamp_full,high,minority_class_recall,1,0.26018099547511314,
hamp_full,high,minimum_class_recall,1,0.26018099547511314,
hamp_full,high,predicted_minority_fraction,1,0.132,
hamp_full,high,prediction_collapse,1,0.0,
hamp_full,high,nll,1,0.6262984275817871,
hamp_full,high,mean_entropy,1,0.6741361618041992,
hamp_full,high,runtime_seconds,1,16.502905006869696,
hamp_full,high,attack_runtime_seconds,1,2.5447850569617003,
hamp_full,high,utility_runtime_seconds,1,13.958119949907996,
hamp_full,high,records_per_second,1,143.28577252362578,
hamp_full,high,mean_l1_probability_distortion,1,0.11620011180639267,
hamp_full,low,accuracy,1,0.7785,
hamp_full,low,balanced_accuracy,1,0.5021099681108743,
hamp_full,low,task_roc_auc,1,0.48932600096422496,
hamp_full,low,task_average_precision,1,0.21659496446460874,
hamp_full,low,minority_class_recall,1,0.006787330316742082,
hamp_full,low,minimum_class_recall,1,0.006787330316742082,
hamp_full,low,predicted_minority_fraction,1,0.0035,
hamp_full,low,prediction_collapse,1,0.0,
hamp_full,low,nll,1,0.6258929967880249,
hamp_full,low,mean_entropy,1,0.6791060566902161,
hamp_full,low,runtime_seconds,1,11.554760143975727,
hamp_full,low,attack_runtime_seconds,1,1.8023042950080708,
hamp_full,low,utility_runtime_seconds,1,9.752455848967656,
hamp_full,low,records_per_second,1,205.07655004782302,
hamp_full,low,mean_l1_probability_distortion,1,0.08047846704721451,
hamp_output,high,accuracy,1,0.7685,
hamp_output,high,balanced_accuracy,1,0.6002198549015736,
hamp_output,high,task_roc_auc,1,0.5922417648801399,
hamp_output,high,task_average_precision,1,0.32844073122438966,
hamp_output,high,minority_class_recall,1,0.2986425339366516,
hamp_output,high,minimum_class_recall,1,0.2986425339366516,
hamp_output,high,predicted_minority_fraction,1,0.1425,
hamp_output,high,prediction_collapse,1,0.0,
hamp_output,high,nll,1,0.6450514793395996,
hamp_output,high,mean_entropy,1,0.45632246136665344,
hamp_output,high,runtime_seconds,1,16.601610162993893,
hamp_output,high,attack_runtime_seconds,1,2.562926986021921,
hamp_output,high,utility_runtime_seconds,1,14.038683176971972,
hamp_output,high,records_per_second,1,142.46350421816297,
hamp_output,high,mean_l1_probability_distortion,1,0.33557772636413574,
hamp_output,low,accuracy,1,0.7835,
hamp_output,low,balanced_accuracy,1,0.5158530776781929,
hamp_output,low,task_roc_auc,1,0.5071982876294587,
hamp_output,low,task_average_precision,1,0.2544429847370815,
hamp_output,low,minority_class_recall,1,0.03619909502262444,
hamp_output,low,minimum_class_recall,1,0.03619909502262444,
hamp_output,low,predicted_minority_fraction,1,0.0115,
hamp_output,low,prediction_collapse,1,0.0,
hamp_output,low,nll,1,0.5770105719566345,
hamp_output,low,mean_entropy,1,0.4791426658630371,
hamp_output,low,runtime_seconds,1,11.38546253205277,
hamp_output,low,attack_runtime_seconds,1,1.7764989490387961,
hamp_output,low,utility_runtime_seconds,1,9.608963583013974,
hamp_output,low,records_per_second,1,208.13899258973717,
hamp_output,low,mean_l1_probability_distortion,1,0.257912278175354,
hamp_train,high,accuracy,1,0.762,
hamp_train,high,balanced_accuracy,1,0.5822727827183011,
hamp_train,high,task_roc_auc,1,0.6835018790768997,
hamp_train,high,task_average_precision,1,0.3712610125847776,
hamp_train,high,minority_class_recall,1,0.26018099547511314,
hamp_train,high,minimum_class_recall,1,0.26018099547511314,
hamp_train,high,predicted_minority_fraction,1,0.132,
hamp_train,high,prediction_collapse,1,0.0,
hamp_train,high,nll,1,0.6047500967979431,
hamp_train,high,mean_entropy,1,0.6759454607963562,
hamp_train,high,runtime_seconds,1,8.151767730014399,
hamp_train,high,attack_runtime_seconds,1,1.2152541989926249,
hamp_train,high,utility_runtime_seconds,1,6.936513531021774,
hamp_train,high,records_per_second,1,288.3292869040786,
hamp_train,high,mean_l1_probability_distortion,1,0.0,
hamp_train,low,accuracy,1,0.7785,
hamp_train,low,balanced_accuracy,1,0.5021099681108743,
hamp_train,low,task_roc_auc,1,0.7138110699992448,
hamp_train,low,task_average_precision,1,0.43561623430918506,
hamp_train,low,minority_class_recall,1,0.006787330316742082,
hamp_train,low,minimum_class_recall,1,0.006787330316742082,
hamp_train,low,predicted_minority_fraction,1,0.0035,
hamp_train,low,prediction_collapse,1,0.0,
hamp_train,low,nll,1,0.6089398264884949,
hamp_train,low,mean_entropy,1,0.6808187365531921,
hamp_train,low,runtime_seconds,1,5.673815781017765,
hamp_train,low,attack_runtime_seconds,1,0.8465138550382107,
hamp_train,low,utility_runtime_seconds,1,4.827301925979555,
hamp_train,low,records_per_second,1,414.31011166639644,
hamp_train,low,mean_l1_probability_distortion,1,0.0,
l2,high,accuracy,1,0.779,
l2,high,balanced_accuracy,1,0.5,
l2,high,task_roc_auc,1,0.5957908096585134,
l2,high,task_average_precision,1,0.31134165749009945,
l2,high,minority_class_recall,1,0.0,
l2,high,minimum_class_recall,1,0.0,
l2,high,predicted_minority_fraction,1,0.0,
l2,high,prediction_collapse,1,1.0,
l2,high,nll,1,0.5179809331893921,
l2,high,mean_entropy,1,0.5385849475860596,
l2,high,runtime_seconds,1,9.376873709028587,
l2,high,attack_runtime_seconds,1,1.4651495330035686,
l2,high,utility_runtime_seconds,1,7.911724176025018,
l2,high,records_per_second,1,252.78939906179,
l2,high,mean_l1_probability_distortion,1,0.0,
l2,low,accuracy,1,0.779,
l2,low,balanced_accuracy,1,0.5,
l2,low,task_roc_auc,1,0.5715748232738341,
l2,low,task_average_precision,1,0.23972620582151516,
l2,low,minority_class_recall,1,0.0,
l2,low,minimum_class_recall,1,0.0,
l2,low,predicted_minority_fraction,1,0.0,
l2,low,prediction_collapse,1,1.0,
l2,low,nll,1,0.5261110663414001,
l2,low,mean_entropy,1,0.5327472686767578,
l2,low,runtime_seconds,1,5.65454557701014,
l2,low,attack_runtime_seconds,1,0.8443472139770165,
l2,low,utility_runtime_seconds,1,4.810198363033123,
l2,low,records_per_second,1,415.78326901655635,
l2,low,mean_l1_probability_distortion,1,0.0,
lattice_round,high,accuracy,1,0.7665,
lattice_round,high,balanced_accuracy,1,0.5940743731085798,
lattice_round,high,task_roc_auc,1,0.6952860437154025,
lattice_round,high,task_average_precision,1,0.39047775608418256,
