target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5034,0.51,0.05,0.11,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.4875,0.5,0.05,0.11,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5405,0.5,0.06,0.11,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5582999999999999,0.505,0.09,0.11,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__l2,pets_b01,eff_su2_r5_d6,high,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4972999999999999,0.5,0.07,0.12,0.9,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b01__l2,pets_b01,eff_su2_r5_d6,high,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5023,0.5,0.08,0.12,-0.5,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5253000000000001,0.505,0.13,0.16,0.9,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5468,0.535,0.14,0.17,-0.5,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5404,0.5,0.06,0.13,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5571,0.505,0.06,0.13,-0.5,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4811,0.505,0.05,0.07,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.486,0.5,0.05,0.05,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5118,0.5,0.13,0.15,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5126,0.525,0.13,0.16,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__l2,pets_b01,eff_su2_r1_d6,low,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5246,0.5,0.06,0.08,0.9,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b01__l2,pets_b01,eff_su2_r1_d6,low,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5178999999999999,0.5,0.05,0.1,-0.5,artifact_fixed,,,l2
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5026999999999999,0.52,0.11,0.18,0.9,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5032000000000001,0.485,0.12,0.16,-0.5,artifact_fixed,,,none
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5421,0.5,0.04,0.16,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5252,0.5,0.04,0.16,-0.5,artifact_fixed,,,dynanoise
