effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
hamp_train,none,task_average_precision,(high-low)_defense-(high-low)_none,-0.04622246392701901,0.0,-0.04622246392701901,-0.04622246392701901,1
l2,none,task_average_precision,(high-low)_defense-(high-low)_none,0.08974820946597273,0.0,0.08974820946597273,0.08974820946597273,1
lattice_round,none,task_average_precision,(high-low)_defense-(high-low)_none,-0.002454506489974917,0.0,-0.002454506489974917,-0.002454506489974917,1
logitguard_continuous,none,task_average_precision,(high-low)_defense-(high-low)_none,0.02783649189688414,0.0,0.02783649189688414,0.02783649189688414,1
logitguard_quantized,none,task_average_precision,(high-low)_defense-(high-low)_none,0.03846993437793961,0.0,0.03846993437793961,0.03846993437793961,1
measurementguard_continuous,none,task_average_precision,(high-low)_defense-(high-low)_none,0.08333966079407806,0.0,0.08333966079407806,0.08333966079407806,1
memgq_lattice,none,task_average_precision,(high-low)_defense-(high-low)_none,0.048359863504426004,0.0,0.048359863504426004,0.048359863504426004,1
memgq_lattice_sticky,none,task_average_precision,(high-low)_defense-(high-low)_none,0.05822421156814056,0.0,0.05822421156814056,0.05822421156814056,1
memguard,none,task_average_precision,(high-low)_defense-(high-low)_none,0.05133808731217393,0.0,0.05133808731217393,0.05133808731217393,1
dp_qml,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.26244343891402716,0.0,-0.26244343891402716,-0.26244343891402716,1
dynanoise,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.11312217194570137,0.0,-0.11312217194570137,-0.11312217194570137,1
hamp_full,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.009049773755656076,0.0,-0.009049773755656076,-0.009049773755656076,1
hamp_output,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_train,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.009049773755656076,0.0,-0.009049773755656076,-0.009049773755656076,1
l2,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.26244343891402716,0.0,-0.26244343891402716,-0.26244343891402716,1
lattice_round,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.013574660633484198,0.0,-0.013574660633484198,-0.013574660633484198,1
logitguard_continuous,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
logitguard_quantized,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
