target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__l2,pets_b01,eff_su2_r5_d6,high,l2,none,correctness,adaptive_defended_calibration,0.5,0.5,0.0,0.0,-inf,as_defined,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b01__l2,pets_b01,eff_su2_r5_d6,high,l2,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.5353,0.495,0.13,0.14,0.4977877250126726,,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,loss,adaptive_defended_calibration,0.5468,0.525,0.14,0.17,-0.1695739477872848,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,confidence,adaptive_defended_calibration,0.5468,0.525,0.14,0.17,0.8440249860286713,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,maximum_probability,adaptive_defended_calibration,0.5253000000000001,0.5,0.13,0.16,0.8459437787532806,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,entropy,adaptive_defended_calibration,0.5253000000000001,0.5,0.13,0.16,-0.4296787977218628,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,margin,adaptive_defended_calibration,0.5253000000000001,0.5,0.13,0.16,0.6918874979019165,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.533,0.52,0.14,0.17,0.5607697876287776,,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,loss,adaptive_defended_calibration,0.5571,0.5650000000000001,0.06,0.13,-0.6067602038383484,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,confidence,adaptive_defended_calibration,0.5571,0.5650000000000001,0.06,0.13,0.545114129781723,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,maximum_probability,adaptive_defended_calibration,0.5404,0.545,0.06,0.13,0.5383793115615845,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,entropy,adaptive_defended_calibration,0.5404,0.545,0.06,0.13,-0.6901983022689819,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,margin,adaptive_defended_calibration,0.5404,0.545,0.06,0.13,0.0767586082220077,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,dynanoise
