effective_defense,structural_role,attack,outcome,count,mean,std
dp_qml,high,confidence,auc,1,0.4875,
dp_qml,high,confidence,balanced_accuracy,1,0.485,
dp_qml,high,confidence,tpr_at_5_fpr,1,0.05,
dp_qml,high,confidence,tpr_at_10_fpr,1,0.11,
dp_qml,high,correctness,auc,1,0.5,
dp_qml,high,correctness,balanced_accuracy,1,0.5,
dp_qml,high,correctness,tpr_at_5_fpr,1,0.0,
dp_qml,high,correctness,tpr_at_10_fpr,1,0.0,
dp_qml,high,entropy,auc,1,0.5034,
dp_qml,high,entropy,balanced_accuracy,1,0.505,
dp_qml,high,entropy,tpr_at_5_fpr,1,0.05,
dp_qml,high,entropy,tpr_at_10_fpr,1,0.11,
dp_qml,high,label_only_hsj,auc,1,0.5,
dp_qml,high,label_only_hsj,balanced_accuracy,1,0.5,
dp_qml,high,label_only_hsj,tpr_at_5_fpr,1,0.0,
dp_qml,high,label_only_hsj,tpr_at_10_fpr,1,0.0,
dp_qml,high,learned_pv_stats_logistic,auc,1,0.521,
dp_qml,high,learned_pv_stats_logistic,balanced_accuracy,1,0.51,
dp_qml,high,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.04,
dp_qml,high,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.1,
dp_qml,high,loss,auc,1,0.4875,
dp_qml,high,loss,balanced_accuracy,1,0.485,
dp_qml,high,loss,tpr_at_5_fpr,1,0.05,
dp_qml,high,loss,tpr_at_10_fpr,1,0.11,
dp_qml,high,margin,auc,1,0.5034,
dp_qml,high,margin,balanced_accuracy,1,0.505,
dp_qml,high,margin,tpr_at_5_fpr,1,0.05,
dp_qml,high,margin,tpr_at_10_fpr,1,0.11,
dp_qml,high,maximum_probability,auc,1,0.5034,
dp_qml,high,maximum_probability,balanced_accuracy,1,0.505,
dp_qml,high,maximum_probability,tpr_at_5_fpr,1,0.05,
dp_qml,high,maximum_probability,tpr_at_10_fpr,1,0.11,
dp_qml,low,confidence,auc,1,0.514,
dp_qml,low,confidence,balanced_accuracy,1,0.525,
dp_qml,low,confidence,tpr_at_5_fpr,1,0.06,
dp_qml,low,confidence,tpr_at_10_fpr,1,0.12,
dp_qml,low,correctness,auc,1,0.5,
dp_qml,low,correctness,balanced_accuracy,1,0.5,
dp_qml,low,correctness,tpr_at_5_fpr,1,0.0,
dp_qml,low,correctness,tpr_at_10_fpr,1,0.0,
dp_qml,low,entropy,auc,1,0.5188999999999999,
dp_qml,low,entropy,balanced_accuracy,1,0.515,
dp_qml,low,entropy,tpr_at_5_fpr,1,0.07,
dp_qml,low,entropy,tpr_at_10_fpr,1,0.09,
dp_qml,low,label_only_hsj,auc,1,0.5,
dp_qml,low,label_only_hsj,balanced_accuracy,1,0.5,
dp_qml,low,label_only_hsj,tpr_at_5_fpr,1,0.0,
dp_qml,low,label_only_hsj,tpr_at_10_fpr,1,0.0,
dp_qml,low,learned_pv_stats_logistic,auc,1,0.5167999999999999,
dp_qml,low,learned_pv_stats_logistic,balanced_accuracy,1,0.52,
dp_qml,low,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.06,
dp_qml,low,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.09,
dp_qml,low,loss,auc,1,0.514,
dp_qml,low,loss,balanced_accuracy,1,0.525,
dp_qml,low,loss,tpr_at_5_fpr,1,0.06,
dp_qml,low,loss,tpr_at_10_fpr,1,0.12,
dp_qml,low,margin,auc,1,0.5188999999999999,
dp_qml,low,margin,balanced_accuracy,1,0.515,
dp_qml,low,margin,tpr_at_5_fpr,1,0.07,
dp_qml,low,margin,tpr_at_10_fpr,1,0.09,
dp_qml,low,maximum_probability,auc,1,0.5188999999999999,
dp_qml,low,maximum_probability,balanced_accuracy,1,0.515,
dp_qml,low,maximum_probability,tpr_at_5_fpr,1,0.07,
dp_qml,low,maximum_probability,tpr_at_10_fpr,1,0.09,
dynanoise,high,confidence,auc,1,0.5571,
dynanoise,high,confidence,balanced_accuracy,1,0.5650000000000001,
dynanoise,high,confidence,tpr_at_5_fpr,1,0.06,
dynanoise,high,confidence,tpr_at_10_fpr,1,0.13,
dynanoise,high,correctness,auc,1,0.51,
dynanoise,high,correctness,balanced_accuracy,1,0.51,
dynanoise,high,correctness,tpr_at_5_fpr,1,0.0,
dynanoise,high,correctness,tpr_at_10_fpr,1,0.0,
dynanoise,high,entropy,auc,1,0.5404,
dynanoise,high,entropy,balanced_accuracy,1,0.545,
dynanoise,high,entropy,tpr_at_5_fpr,1,0.06,
dynanoise,high,entropy,tpr_at_10_fpr,1,0.13,
dynanoise,high,global_true_class_log_odds,auc,1,0.5866000000000001,
dynanoise,high,global_true_class_log_odds,balanced_accuracy,1,0.56,
dynanoise,high,global_true_class_log_odds,tpr_at_5_fpr,1,0.16,
dynanoise,high,global_true_class_log_odds,tpr_at_10_fpr,1,0.18,
dynanoise,high,label_only_hsj,auc,1,0.51,
dynanoise,high,label_only_hsj,balanced_accuracy,1,0.525,
dynanoise,high,label_only_hsj,tpr_at_5_fpr,1,0.25,
dynanoise,high,label_only_hsj,tpr_at_10_fpr,1,0.25,
dynanoise,high,learned_pv_stats_logistic,auc,1,0.5578,
dynanoise,high,learned_pv_stats_logistic,balanced_accuracy,1,0.55,
dynanoise,high,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.06,
dynanoise,high,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.13,
dynanoise,high,lira_offline,auc,1,0.5193,
dynanoise,high,lira_offline,balanced_accuracy,1,0.495,
dynanoise,high,lira_offline,tpr_at_5_fpr,1,0.06,
dynanoise,high,lira_offline,tpr_at_10_fpr,1,0.12,
dynanoise,high,lira_offline_fixed_variance,auc,1,0.4611,
dynanoise,high,lira_offline_fixed_variance,balanced_accuracy,1,0.49,
dynanoise,high,lira_offline_fixed_variance,tpr_at_5_fpr,1,0.09,
dynanoise,high,lira_offline_fixed_variance,tpr_at_10_fpr,1,0.11,
dynanoise,high,lira_online,auc,1,0.5803,
dynanoise,high,lira_online,balanced_accuracy,1,0.5599999999999999,
dynanoise,high,lira_online,tpr_at_5_fpr,1,0.11,
dynanoise,high,lira_online,tpr_at_10_fpr,1,0.14,
dynanoise,high,lira_online_fixed_variance,auc,1,0.5941000000000001,
dynanoise,high,lira_online_fixed_variance,balanced_accuracy,1,0.5900000000000001,
dynanoise,high,lira_online_fixed_variance,tpr_at_5_fpr,1,0.12,
dynanoise,high,lira_online_fixed_variance,tpr_at_10_fpr,1,0.14,
dynanoise,high,loss,auc,1,0.5571,
dynanoise,high,loss,balanced_accuracy,1,0.5650000000000001,
dynanoise,high,loss,tpr_at_5_fpr,1,0.06,
dynanoise,high,loss,tpr_at_10_fpr,1,0.13,
dynanoise,high,margin,auc,1,0.5404,
dynanoise,high,margin,balanced_accuracy,1,0.545,
dynanoise,high,margin,tpr_at_5_fpr,1,0.06,
dynanoise,high,margin,tpr_at_10_fpr,1,0.13,
dynanoise,high,maximum_probability,auc,1,0.5404,
dynanoise,high,maximum_probability,balanced_accuracy,1,0.545,
dynanoise,high,maximum_probability,tpr_at_5_fpr,1,0.06,
dynanoise,high,maximum_probability,tpr_at_10_fpr,1,0.13,
dynanoise,low,confidence,auc,1,0.4748,
dynanoise,low,confidence,balanced_accuracy,1,0.485,
dynanoise,low,confidence,tpr_at_5_fpr,1,0.06,
dynanoise,low,confidence,tpr_at_10_fpr,1,0.13,
dynanoise,low,correctness,auc,1,0.495,
dynanoise,low,correctness,balanced_accuracy,1,0.495,
