effective_defense,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
dp_qml,accuracy,high-low,0.0,0.0,0.0,0.0,1
dynanoise,accuracy,high-low,0.0020000000000000018,0.0,0.0020000000000000018,0.0020000000000000018,1
hamp_full,accuracy,high-low,-0.01649999999999996,0.0,-0.01649999999999996,-0.01649999999999996,1
hamp_output,accuracy,high-low,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
hamp_train,accuracy,high-low,-0.01649999999999996,0.0,-0.01649999999999996,-0.01649999999999996,1
l2,accuracy,high-low,0.0,0.0,0.0,0.0,1
lattice_round,accuracy,high-low,-0.017000000000000015,0.0,-0.017000000000000015,-0.017000000000000015,1
logitguard_continuous,accuracy,high-low,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
logitguard_quantized,accuracy,high-low,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
measurementguard_continuous,accuracy,high-low,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
memgq_lattice,accuracy,high-low,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
memgq_lattice_sticky,accuracy,high-low,-0.01649999999999996,0.0,-0.01649999999999996,-0.01649999999999996,1
memguard,accuracy,high-low,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
none,accuracy,high-low,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
dp_qml,balanced_accuracy,high-low,0.0,0.0,0.0,0.0,1
dynanoise,balanced_accuracy,high-low,0.05476332924796257,0.0,0.05476332924796257,0.05476332924796257,1
hamp_full,balanced_accuracy,high-low,0.0801628146074268,0.0,0.0801628146074268,0.0801628146074268,1
hamp_output,balanced_accuracy,high-low,0.0843667772233807,0.0,0.0843667772233807,0.0843667772233807,1
hamp_train,balanced_accuracy,high-low,0.0801628146074268,0.0,0.0801628146074268,0.0801628146074268,1
l2,balanced_accuracy,high-low,0.0,0.0,0.0,0.0,1
lattice_round,balanced_accuracy,high-low,0.07822129543038692,0.0,0.07822129543038692,0.07822129543038692,1
logitguard_continuous,balanced_accuracy,high-low,0.0843667772233807,0.0,0.0843667772233807,0.0843667772233807,1
logitguard_quantized,balanced_accuracy,high-low,0.0843667772233807,0.0,0.0843667772233807,0.0843667772233807,1
measurementguard_continuous,balanced_accuracy,high-low,0.0843667772233807,0.0,0.0843667772233807,0.0843667772233807,1
memgq_lattice,balanced_accuracy,high-low,0.0843667772233807,0.0,0.0843667772233807,0.0843667772233807,1
memgq_lattice_sticky,balanced_accuracy,high-low,0.08178340952259244,0.0,0.08178340952259244,0.08178340952259244,1
memguard,balanced_accuracy,high-low,0.0843667772233807,0.0,0.0843667772233807,0.0843667772233807,1
none,balanced_accuracy,high-low,0.0843667772233807,0.0,0.0843667772233807,0.0843667772233807,1
dp_qml,task_roc_auc,high-low,-0.09483747582176938,0.0,-0.09483747582176938,-0.09483747582176938,1
dynanoise,task_roc_auc,high-low,0.03777757770433143,0.0,0.03777757770433143,0.03777757770433143,1
hamp_full,task_roc_auc,high-low,0.08939773697570264,0.0,0.08939773697570264,0.08939773697570264,1
hamp_output,task_roc_auc,high-low,0.08504347725068118,0.0,0.08504347725068118,0.08504347725068118,1
hamp_train,task_roc_auc,high-low,-0.030309190922345075,0.0,-0.030309190922345075,-0.030309190922345075,1
l2,task_roc_auc,high-low,0.024215986384679256,0.0,0.024215986384679256,0.024215986384679256,1
lattice_round,task_roc_auc,high-low,-0.0016147863312404587,0.0,-0.0016147863312404587,-0.0016147863312404587,1
logitguard_continuous,task_roc_auc,high-low,0.04375533663648146,0.0,0.04375533663648146,0.04375533663648146,1
logitguard_quantized,task_roc_auc,high-low,0.04059691912708596,0.0,0.04059691912708596,0.04059691912708596,1
measurementguard_continuous,task_roc_auc,high-low,0.09228024674864521,0.0,0.09228024674864521,0.09228024674864521,1
memgq_lattice,task_roc_auc,high-low,0.06286194738584683,0.0,0.06286194738584683,0.06286194738584683,1
memgq_lattice_sticky,task_roc_auc,high-low,0.07108835437008831,0.0,0.07108835437008831,0.07108835437008831,1
memguard,task_roc_auc,high-low,0.02169651310706966,0.0,0.02169651310706966,0.02169651310706966,1
none,task_roc_auc,high-low,-0.0014448852514244992,0.0,-0.0014448852514244992,-0.0014448852514244992,1
dp_qml,task_average_precision,high-low,-0.0751193563861523,0.0,-0.0751193563861523,-0.0751193563861523,1
dynanoise,task_average_precision,high-low,0.051685683522004255,0.0,0.051685683522004255,0.051685683522004255,1
hamp_full,task_average_precision,high-low,0.10162526924424564,0.0,0.10162526924424564,0.10162526924424564,1
hamp_output,task_average_precision,high-low,0.07399774648730817,0.0,0.07399774648730817,0.07399774648730817,1
hamp_train,task_average_precision,high-low,-0.06435522172440744,0.0,-0.06435522172440744,-0.06435522172440744,1
l2,task_average_precision,high-low,0.0716154516685843,0.0,0.0716154516685843,0.0716154516685843,1
lattice_round,task_average_precision,high-low,-0.02058726428736335,0.0,-0.02058726428736335,-0.02058726428736335,1
logitguard_continuous,task_average_precision,high-low,0.009703734099495709,0.0,0.009703734099495709,0.009703734099495709,1
logitguard_quantized,task_average_precision,high-low,0.020337176580551175,0.0,0.020337176580551175,0.020337176580551175,1
measurementguard_continuous,task_average_precision,high-low,0.06520690299668963,0.0,0.06520690299668963,0.06520690299668963,1
memgq_lattice,task_average_precision,high-low,0.03022710570703757,0.0,0.03022710570703757,0.03022710570703757,1
memgq_lattice_sticky,task_average_precision,high-low,0.04009145377075213,0.0,0.04009145377075213,0.04009145377075213,1
memguard,task_average_precision,high-low,0.0332053295147855,0.0,0.0332053295147855,0.0332053295147855,1
none,task_average_precision,high-low,-0.018132757797388432,0.0,-0.018132757797388432,-0.018132757797388432,1
dp_qml,minority_class_recall,high-low,0.0,0.0,0.0,0.0,1
dynanoise,minority_class_recall,high-low,0.1493212669683258,0.0,0.1493212669683258,0.1493212669683258,1
hamp_full,minority_class_recall,high-low,0.2533936651583711,0.0,0.2533936651583711,0.2533936651583711,1
hamp_output,minority_class_recall,high-low,0.26244343891402716,0.0,0.26244343891402716,0.26244343891402716,1
hamp_train,minority_class_recall,high-low,0.2533936651583711,0.0,0.2533936651583711,0.2533936651583711,1
l2,minority_class_recall,high-low,0.0,0.0,0.0,0.0,1
lattice_round,minority_class_recall,high-low,0.24886877828054296,0.0,0.24886877828054296,0.24886877828054296,1
logitguard_continuous,minority_class_recall,high-low,0.26244343891402716,0.0,0.26244343891402716,0.26244343891402716,1
logitguard_quantized,minority_class_recall,high-low,0.26244343891402716,0.0,0.26244343891402716,0.26244343891402716,1
measurementguard_continuous,minority_class_recall,high-low,0.26244343891402716,0.0,0.26244343891402716,0.26244343891402716,1
memgq_lattice,minority_class_recall,high-low,0.26244343891402716,0.0,0.26244343891402716,0.26244343891402716,1
memgq_lattice_sticky,minority_class_recall,high-low,0.2579185520361991,0.0,0.2579185520361991,0.2579185520361991,1
memguard,minority_class_recall,high-low,0.26244343891402716,0.0,0.26244343891402716,0.26244343891402716,1
none,minority_class_recall,high-low,0.26244343891402716,0.0,0.26244343891402716,0.26244343891402716,1
dp_qml,minimum_class_recall,high-low,0.0,0.0,0.0,0.0,1
dynanoise,minimum_class_recall,high-low,0.1493212669683258,0.0,0.1493212669683258,0.1493212669683258,1
hamp_full,minimum_class_recall,high-low,0.2533936651583711,0.0,0.2533936651583711,0.2533936651583711,1
