fm_kind,reps,gap,loss_gap,auc,class_similarity_gap,kernel_label_alignment,effective_rank,mmd2_train_test,within_class_similarity,between_class_similarity
eff_su2,1,0.0412461996078491,0.06165332198143007,0.5176101823708207,0.08184853792190548,0.46732951402664186,3.1277726173400877,0.0005951642990112,0.8056328773498536,0.723784339427948
eff_su2,5,0.05614362955093379,0.13480033278465273,0.5277032674772036,0.05425684750080104,0.19619959890842434,30.043076705932616,0.00507561862468716,0.29679117202758787,0.24253432452678675
z,1,0.02340046167373656,0.05975199081003664,0.5248860182370821,0.1795623123645782,0.4574545919895172,12.696283149719239,0.0017853260040282999,0.46655731201171874,0.2869949996471405
z,5,0.1150645852088928,0.24872562289237982,0.5641907294832826,0.019326838850975,0.07668667808175082,68.64569091796875,0.0015068113803863323,0.17180486321449273,0.1524780243635177
zz,1,0.03143997192382806,0.07152563817799093,0.5172036474164134,0.16642539799213404,0.4403595566749573,15.920467567443847,0.001816135644912687,0.4338345885276794,0.26740919053554535
zz,5,0.11439969539642329,0.3218746483325958,0.5194167933130699,0.03573559373617166,0.1357456654310226,87.34205017089843,0.0005169466137886,0.15778852999210352,0.1220529362559318
