target_id,structural_cell_id,fm_kind,reps,depth,model_seed,data_seed,mode,queries,shots,total_shots,aggregation,attack,feature_mode,calibration_timestamp,snapshot_manifest_sha256,n_simulator_replicates,mean_auc,sd_across_simulator_seeds
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.532375,
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5149675,0.04163805359217028
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.516095,0.02351224799026149
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.50575,
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5022675,0.02506127227527674
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5187975,0.031501034925679655
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,eff_su2,1,2,45,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.561125,
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,eff_su2,1,2,45,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5314075,0.026120078085003263
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,eff_su2,1,2,45,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.527605,0.03740454480704479
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.515075,
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5228900000000001,0.031978261279257236
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.50583,0.02787838120997861
MNIST_QNN_eff_su2_r1_d6_s44,eff_su2_r1_d6,eff_su2,1,6,44,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.516875,
MNIST_QNN_eff_su2_r1_d6_s44,eff_su2_r1_d6,eff_su2,1,6,44,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5111525,0.033955762581629655
MNIST_QNN_eff_su2_r1_d6_s44,eff_su2_r1_d6,eff_su2,1,6,44,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.53295,0.029651327963516237
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.511,
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5128775,0.03452816573707133
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.52774,0.022370833566151417
MNIST_QNN_eff_su2_r5_d2_s43,eff_su2_r5_d2,eff_su2,5,2,43,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.5289750000000001,
MNIST_QNN_eff_su2_r5_d2_s43,eff_su2_r5_d2,eff_su2,5,2,43,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.53332,0.028018681268039716
MNIST_QNN_eff_su2_r5_d2_s43,eff_su2_r5_d2,eff_su2,5,2,43,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5186875000000001,0.02475686282517323
MNIST_QNN_eff_su2_r5_d2_s44,eff_su2_r5_d2,eff_su2,5,2,44,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.56335,
MNIST_QNN_eff_su2_r5_d2_s44,eff_su2_r5_d2,eff_su2,5,2,44,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.527885,0.014841782237992839
MNIST_QNN_eff_su2_r5_d2_s44,eff_su2_r5_d2,eff_su2,5,2,44,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.546415,0.02706263876022933
MNIST_QNN_eff_su2_r5_d2_s45,eff_su2_r5_d2,eff_su2,5,2,45,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.5997000000000001,
MNIST_QNN_eff_su2_r5_d2_s45,eff_su2_r5_d2,eff_su2,5,2,45,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5613075000000001,0.019172749216009706
MNIST_QNN_eff_su2_r5_d2_s45,eff_su2_r5_d2,eff_su2,5,2,45,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5538875,0.022340661888384364
MNIST_QNN_eff_su2_r5_d6_s43,eff_su2_r5_d6,eff_su2,5,6,43,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.58975,
MNIST_QNN_eff_su2_r5_d6_s43,eff_su2_r5_d6,eff_su2,5,6,43,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.6004125,0.033256560025387766
MNIST_QNN_eff_su2_r5_d6_s43,eff_su2_r5_d6,eff_su2,5,6,43,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.580635,0.014802093508089432
MNIST_QNN_eff_su2_r5_d6_s44,eff_su2_r5_d6,eff_su2,5,6,44,43,exact,0,0,0,exact,learned_mlp_pv_plus_stats,pv+stats,,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,1,0.60025,
MNIST_QNN_eff_su2_r5_d6_s44,eff_su2_r5_d6,eff_su2,5,6,44,43,ideal_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.556855,0.024279809284442268
MNIST_QNN_eff_su2_r5_d6_s44,eff_su2_r5_d6,eff_su2,5,6,44,43,noisy_shot,1,512,512,mean_api_probabilities,learned_mlp_pv_plus_stats,pv+stats,2026-08-18T20:33:07+08:00,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,10,0.5542675,0.029320357096696097
