target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
CREDIT_QNN_eff_su2_r1_d6_b08,satml_credit_factorial,credit_default,QNN,-1,30268,20268,2026,"1=member,0=nonmember",6,6,0.78,0.779,0.0010000000000000009,0.9090909090909091,0.454125,0.0,0.0,0.0,0.025,0.025,0.025,0.1,optuna,0.56056640625,16,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d6_b08/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,2,0.825,0.7755,0.04949999999999999,0.9090909090909091,0.509375,0.0,0.0,0.0,0.0,0.05,0.175,0.25,optuna,0.5387500000000001,8,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b01/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,2,0.835,0.764,0.07099999999999995,0.9090909090909091,0.49168749999999994,0.0,0.0,0.0,0.025,0.025,0.05,0.1,optuna,0.5932031249999999,11,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b02/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b03,satml_credit_factorial,credit_default,QNN,-1,30263,20263,2026,"1=member,0=nonmember",6,2,0.815,0.768,0.04699999999999993,0.9090909090909091,0.5431874999999999,0.0,0.0,0.0,0.0,0.025,0.075,0.125,optuna,0.5836132812499999,9,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b03/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b04,satml_credit_factorial,credit_default,QNN,-1,30264,20264,2026,"1=member,0=nonmember",6,2,0.87,0.76,0.10999999999999999,0.9090909090909091,0.5905,0.0,0.0,0.0,0.05,0.05,0.1,0.15,optuna,0.6040625,87,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b04/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b05,satml_credit_factorial,credit_default,QNN,-1,30265,20265,2026,"1=member,0=nonmember",6,2,0.805,0.772,0.03300000000000003,0.9090909090909091,0.49928125,0.0,0.0,0.0,0.0,0.0,0.05,0.05,optuna,0.56513671875,2,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b05/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b06,satml_credit_factorial,credit_default,QNN,-1,30266,20266,2026,"1=member,0=nonmember",6,2,0.855,0.787,0.06799999999999995,0.9090909090909091,0.448125,0.0,0.0,0.0,0.0,0.0,0.025,0.05,optuna,0.6079687500000001,9,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b06/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b07,satml_credit_factorial,credit_default,QNN,-1,30267,20267,2026,"1=member,0=nonmember",6,2,0.835,0.7585,0.07650000000000001,0.9090909090909091,0.5461875,0.0,0.0,0.0,0.0,0.0,0.075,0.125,optuna,0.566015625,7,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b07/attack_results.json
CREDIT_QNN_eff_su2_r5_d2_b08,satml_credit_factorial,credit_default,QNN,-1,30268,20268,2026,"1=member,0=nonmember",6,2,0.8,0.7705,0.02950000000000008,0.9090909090909091,0.44843750000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.025,optuna,0.5346484375000001,2,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d2_b08/attack_results.json
CREDIT_QNN_eff_su2_r5_d6_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,6,0.83,0.7835,0.046499999999999986,0.9090909090909091,0.5865,0.0,0.0,0.0,0.0,0.075,0.15,0.175,optuna,0.5668554687499999,22,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b01/attack_results.json
CREDIT_QNN_eff_su2_r5_d6_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,6,0.85,0.761,0.08899999999999997,0.9090909090909091,0.5315625,0.0,0.0,0.0,0.025,0.1,0.125,0.125,optuna,0.59080078125,94,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b02/attack_results.json
CREDIT_QNN_eff_su2_r5_d6_b03,satml_credit_factorial,credit_default,QNN,-1,30263,20263,2026,"1=member,0=nonmember",6,6,0.83,0.7755,0.05449999999999999,0.9113636363636364,0.48187500000000005,0.04878048780487805,1.0,0.025,0.075,0.075,0.075,0.125,optuna,0.5916113281250001,11,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b03/attack_results.json
CREDIT_QNN_eff_su2_r5_d6_b04,satml_credit_factorial,credit_default,QNN,-1,30264,20264,2026,"1=member,0=nonmember",6,6,0.89,0.755,0.135,0.9090909090909091,0.5315624999999999,0.0,0.0,0.0,0.025,0.025,0.125,0.175,optuna,0.64830078125,78,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b04/attack_results.json
CREDIT_QNN_eff_su2_r5_d6_b05,satml_credit_factorial,credit_default,QNN,-1,30265,20265,2026,"1=member,0=nonmember",6,6,0.815,0.763,0.051999999999999935,0.9090909090909091,0.5095,0.0,0.0,0.0,0.025,0.025,0.05,0.125,optuna,0.58818359375,10,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b05/attack_results.json
CREDIT_QNN_eff_su2_r5_d6_b06,satml_credit_factorial,credit_default,QNN,-1,30266,20266,2026,"1=member,0=nonmember",6,6,0.855,0.792,0.06299999999999994,0.9090909090909091,0.448375,0.0,0.0,0.0,0.0,0.025,0.025,0.075,optuna,0.611103515625,11,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r5_d6_b06/attack_results.json
