target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,dataset,architecture,model_type,run_id,model_seed,data_seed,seed,attack_feature_mode,learning_rate,weight_decay,n_wires,depth,ql_ent,ql_op,fm_kind,reps,fm_ent,fm_op,pad_mode,vector_train,vector_valid,vector_test,feature_angle_scale,source_run_id,ql_rev,batch_size,epochs,extra_feats,credit_data_path,credit_pca_components,block_id,init_seed,split_seed,role,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p01,tpr_at_requested_fpr_0p01_record_ci95_low,tpr_at_requested_fpr_0p01_record_ci95_high,tpr_at_requested_fpr_0p01_valid_bootstrap_replicates,attained_fpr_0p01,expected_false_positives_0p01,resolvable_0p01,tpr_at_requested_fpr_0p05,tpr_at_requested_fpr_0p05_record_ci95_low,tpr_at_requested_fpr_0p05_record_ci95_high,tpr_at_requested_fpr_0p05_valid_bootstrap_replicates,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,tpr_at_requested_fpr_0p1_record_ci95_low,tpr_at_requested_fpr_0p1_record_ci95_high,tpr_at_requested_fpr_0p1_valid_bootstrap_replicates,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
CREDIT_QNN_eff_su2_r1_d2_b02,correctness,0.5185,0.48875,0.547,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30262,20262,30262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,20262,eff_su2_r1_d2,eff_su2_r1_d2,,0.5185000000000001,0.03700000000000003,0.805,0.768,1.0,5,0.0,0.0,0.0,10000,0.0,20.0,True,0.0,0.0,0.0,10000,0.0,100.0,True,0.0,0.0,0.0,10000,0.0,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b02,max_probability,0.528235,0.4872506875,0.5691925,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30262,20262,30262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,20262,eff_su2_r1_d2,eff_su2_r1_d2,,0.49575,-0.008500000000000063,0.615,0.6235,0.743951678276062,5,0.02,0.0,0.045,10000,0.0085,20.0,True,0.05,0.02,0.085,10000,0.0495,100.0,True,0.135,0.09,0.185,10000,0.0925,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b03,loss,0.5266974999999999,0.4850859375,0.5693809375,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,20263,eff_su2_r1_d2,eff_su2_r1_d2,,0.505,0.010000000000000009,0.37,0.36,-0.2919905185699463,5,0.02,0.005,0.04,10000,0.0025,20.0,True,0.06,0.025,0.105,10000,0.049,100.0,True,0.135,0.09,0.19,10000,0.089,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b03,entropy,0.523825,0.48292893750000004,0.564391,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,20263,eff_su2_r1_d2,eff_su2_r1_d2,,0.499,-0.0020000000000000018,0.55,0.552,-0.5990549325942993,5,0.02,0.005,0.04,10000,0.0025,20.0,True,0.045,0.02,0.095,10000,0.0465,100.0,True,0.14,0.09,0.19,10000,0.0955,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b03,confidence,0.523825,0.48273437500000005,0.565485875,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,20263,eff_su2_r1_d2,eff_su2_r1_d2,,0.499,-0.0020000000000000018,0.55,0.552,0.7134265899658203,5,0.02,0.005,0.04,10000,0.0025,20.0,True,0.045,0.02,0.095,10000,0.0465,100.0,True,0.14,0.09,0.19,10000,0.0955,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b03,margin,0.523825,0.4814266875,0.565193125,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,20263,eff_su2_r1_d2,eff_su2_r1_d2,,0.499,-0.0020000000000000018,0.55,0.552,0.42685315012931824,5,0.02,0.005,0.04,10000,0.0025,20.0,True,0.045,0.02,0.095,10000,0.0465,100.0,True,0.14,0.09,0.19,10000,0.0955,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b03,correctness,0.50075,0.4705,0.5305,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,20263,eff_su2_r1_d2,eff_su2_r1_d2,,0.487,-0.026000000000000023,0.6,0.626,1.0,5,0.0,0.0,0.0,10000,0.0,20.0,True,0.0,0.0,0.0,10000,0.0,100.0,True,0.0,0.0,0.0,10000,0.0,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b03,max_probability,0.523825,0.48101975,0.5658175,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,20263,eff_su2_r1_d2,eff_su2_r1_d2,,0.499,-0.0020000000000000018,0.55,0.552,0.7134265899658203,5,0.02,0.005,0.04,10000,0.0025,20.0,True,0.045,0.02,0.095,10000,0.0465,100.0,True,0.14,0.09,0.19,10000,0.0955,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b04,loss,0.49304499999999996,0.45383212500000003,0.53298225,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b04/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30264,20264,30264,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,20264,eff_su2_r1_d2,eff_su2_r1_d2,,0.53325,0.0665,0.93,0.8635,-1.3257482051849365,5,0.005,0.0,0.02,10000,0.0005,20.0,True,0.035,0.01,0.06,10000,0.048,100.0,True,0.06,0.03,0.1,10000,0.0845,200.0,True
CREDIT_QNN_eff_su2_r1_d2_b04,entropy,0.44541,0.40415,0.4869081875,10000,200,2000,0.0005,0=member,satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d2_b04/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_credit_factorial,credit_default,qnn,qnn,-1,30264,20264,30264,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,20264,eff_su2_r1_d2,eff_su2_r1_d2,,0.486,-0.027999999999999997,0.155,0.183,-0.021521344780921936,5,0.005,0.0,0.015,10000,0.0015,20.0,True,0.03,0.01,0.06,10000,0.0365,100.0,True,0.06,0.03,0.095,10000,0.0915,200.0,True
