experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,confidence,8,0.49043578125,0.02657979024608113,8,0.488,0.006701545663928146,8,-0.023999999999999983,0.013403091327856283,8,0.520625,0.20491178415531472,8,0.544625,0.20158457105074856,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,correctness,8,0.5052187499999999,0.009169473325738422,8,0.4973125,0.013675284013765244,8,-0.005375000000000008,0.027350568027530452,8,0.500625,0.253622856957784,8,0.506,0.23351950056228096,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,entropy,8,0.49043578125,0.02657979024608114,8,0.488,0.006701545663928146,8,-0.023999999999999983,0.013403091327856283,8,0.520625,0.20491178415531472,8,0.544625,0.20158457105074856,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,loss,8,0.5094537499999999,0.016586911094078297,8,0.504125,0.013920052339803087,8,0.008250000000000021,0.027840104679606154,8,0.6325000000000001,0.1702728902170194,8,0.62425,0.1605127943276085,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,margin,8,0.49043578125,0.02657979024608114,8,0.488,0.006701545663928146,8,-0.023999999999999983,0.013403091327856283,8,0.520625,0.20491178415531472,8,0.544625,0.20158457105074856,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,max_probability,8,0.49043578125,0.02657979024608113,8,0.488,0.006701545663928146,8,-0.023999999999999983,0.013403091327856283,8,0.520625,0.20491178415531472,8,0.544625,0.20158457105074856,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,confidence,8,0.49044453125,0.022141942291818935,8,0.48428125,0.009910706241952998,8,-0.03143749999999999,0.01982141248390594,8,0.54,0.24284033555286602,8,0.5714374999999999,0.23584808026415163,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,correctness,8,0.5064375,0.01139764230005486,8,0.5000312499999999,0.01452303435187409,8,6.249999999999312e-05,0.02904606870374812,8,0.5081249999999999,0.2771273237546752,8,0.5080625,0.2615573465527479,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,entropy,8,0.49044453125,0.02214194229181894,8,0.48428125,0.009910706241952998,8,-0.03143749999999999,0.01982141248390594,8,0.54,0.24284033555286602,8,0.5714374999999999,0.23584808026415163,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,loss,8,0.51209203125,0.014649216488334718,8,0.50184375,0.016315493020439206,8,0.00368750000000001,0.03263098604087841,8,0.63625,0.17880056727298954,8,0.6325625,0.16255755848753561,mean ± sample SD across independent target-model seeds; fixed data seed
satml_credit_factorial,credit_default,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,margin,8,0.49044468750000003,0.02214162939172576,8,0.48428125,0.009910706241952998,8,-0.03143749999999999,0.01982141248390594,8,0.54,0.24284033555286602,8,0.5714374999999999,0.23584808026415163,mean ± sample SD across independent target-model seeds; fixed data seed
