source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_weight_decay,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,meta_feature_angle_scale,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,learning_rate,weight_decay,credit_data_path,credit_pca_components,block_id,seed,model_seed,init_seed,data_seed,split_seed,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d6_b03/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r1_d6_b03,0.7799999713897705,0.4869326055049896,0.7799999713897705,0.5183925032615662,0.7789999842643738,0.5062732696533203,0.0009999871253967285,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r1_d6_b03,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,152,138,14,0,155,120,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d6_b04/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r1_d6_b04,0.7549999952316284,0.4363221824169159,0.7850000262260437,0.5340744853019714,0.7770000100135803,0.5250337719917297,-0.022000014781951904,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r1_d6_b04,satml_credit_factorial,credit_default,qnn,qnn,-1,30264,20264,30264,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,152,138,14,0,155,120,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d6_b05/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r1_d6_b05,0.7850000262260437,0.46959182620048523,0.7599999904632568,0.5247460007667542,0.7774999737739563,0.5172150731086731,0.007500052452087402,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r1_d6_b05,satml_credit_factorial,credit_default,qnn,qnn,-1,30265,20265,30265,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,152,138,14,0,155,120,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b05,30265,30265,30265,20265,20265,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d6_b06/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r1_d6_b06,0.8349999785423279,0.39980971813201904,0.824999988079071,0.5042147636413574,0.7904999852180481,0.49989622831344604,0.044499993324279785,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r1_d6_b06,satml_credit_factorial,credit_default,qnn,qnn,-1,30266,20266,30266,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,152,138,14,0,155,120,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b06,30266,30266,30266,20266,20266,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d6_b07/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r1_d6_b07,0.7900000214576721,0.4708000421524048,0.7749999761581421,0.5317949056625366,0.7799999713897705,0.5019004940986633,0.010000050067901611,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r1_d6_b07,satml_credit_factorial,credit_default,qnn,qnn,-1,30267,20267,30267,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,152,138,14,0,155,120,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b07,30267,30267,30267,20267,20267,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r1_d6_b08/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r1_d6_b08,0.7799999713897705,0.49121466279029846,0.7799999713897705,0.5385671257972717,0.7789999842643738,0.5170807242393494,0.0009999871253967285,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r1_d6_b08,satml_credit_factorial,credit_default,qnn,qnn,-1,30268,20268,30268,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,152,138,14,0,155,120,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b08,30268,30268,30268,20268,20268,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r5_d2_b01/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r5_d2_b01,0.824999988079071,0.40607959032058716,0.7799999713897705,0.4877226948738098,0.7754999995231628,0.5031078457832336,0.0494999885559082,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r5_d2_b01,satml_credit_factorial,credit_default,qnn,qnn,-1,30261,20261,30261,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,60,46,14,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b01,30261,30261,30261,20261,20261,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r5_d2_b02/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r5_d2_b02,0.8349999785423279,0.4153473377227783,0.7850000262260437,0.4554174840450287,0.7639999985694885,0.5180642008781433,0.07099997997283936,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r5_d2_b02,satml_credit_factorial,credit_default,qnn,qnn,-1,30262,20262,30262,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,60,46,14,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b02,30262,30262,30262,20262,20262,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r5_d2_b03,0.8149999976158142,0.43566131591796875,0.7799999713897705,0.5336062908172607,0.7680000066757202,0.5193592309951782,0.046999990940093994,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r5_d2_b03,satml_credit_factorial,credit_default,qnn,qnn,-1,30263,20263,30263,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,60,46,14,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b03,30263,30263,30263,20263,20263,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_credit_factorial/CREDIT_QNN_eff_su2_r5_d2_b04/target_attack_data.pt,ok,,CREDIT_QNN_eff_su2_r5_d2_b04,0.8700000047683716,0.32204344868659973,0.7850000262260437,0.6505352258682251,0.7599999904632568,0.6282455921173096,0.11000001430511475,0=member,200,2000,0.0005,CREDIT_QNN_eff_su2_r5_d2_b04,satml_credit_factorial,credit_default,qnn,qnn,-1,30264,20264,30264,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,60,46,14,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_credit_factorial,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,credit_b04,30264,30264,30264,20264,20264,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
