outcome,attack,term,coefficient,cluster_se,ci95_low,ci95_high,n_targets,n_blocks,model,uncertainty
train_acc,target_model,intercept,0.8839166661103588,0.005754229939831164,0.867940362559732,0.8998929696609856,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_acc,target_model,reps_5_minus_1,-0.09349999427795218,0.005252423450067476,-0.10808305965631816,-0.0789169288995862,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_acc,target_model,depth_6_minus_2,0.13849999904632737,0.007559910418952807,0.11751032276789201,0.15948967532476274,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_acc,target_model,fm_z_minus_eff,-0.05925000607967347,0.005745150097504222,-0.07520109994651572,-0.04329891221283122,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_acc,target_model,fm_zz_minus_eff,-0.11249999999999957,0.006613912671787032,-0.13086316546378837,-0.09413683453621077,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,intercept,0.9040833329161039,0.004101059287236243,0.8926969669319308,0.915469698900277,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,reps_5_minus_1,-0.21216666599114525,0.005764343903002632,-0.22817105040531369,-0.19616228157697682,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,depth_6_minus_2,0.018166668216389237,0.005643218253734433,0.0024985825182454006,0.03383475391453307,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,fm_z_minus_eff,-0.12574999928474395,0.010262097134417558,-0.15424214864266195,-0.09725784992682597,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,fm_zz_minus_eff,-0.29049999266862814,0.012551898475397519,-0.3253496497515853,-0.25565033558567096,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_acc,target_model,intercept,0.9025166700283719,0.0046699646046176315,0.8895507696604343,0.9154825703963094,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_acc,target_model,reps_5_minus_1,-0.2093166669209777,0.007194909970304378,-0.22929293949036814,-0.18934039435158725,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_acc,target_model,depth_6_minus_2,0.021316657463711364,0.002625514914627377,0.014027059430370366,0.02860625549705236,60,5,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
