target_id,structural_cell_id,fm_kind,reps,depth,model_seed,data_seed,mode,queries,shots,attack,attack_family,mean_auc_over_simulator_seeds
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,exact,0,0,confidence,scalar_threshold,0.516075
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,exact,0,0,correctness,scalar_threshold,0.5175000000000001
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,exact,0,0,entropy,scalar_threshold,0.520825
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,exact,0,0,learned_mlp_pv_plus_stats,learned_cross_fitted,0.532375
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,exact,0,0,loss,scalar_threshold,0.539175
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,exact,0,0,margin,scalar_threshold,0.520575
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,ideal_shot,1,512,confidence,scalar_threshold,0.5136900000000001
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,ideal_shot,1,512,correctness,scalar_threshold,0.5149999999999999
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,ideal_shot,1,512,entropy,scalar_threshold,0.5127675
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,ideal_shot,1,512,learned_mlp_pv_plus_stats,learned_cross_fitted,0.5149675
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,ideal_shot,1,512,loss,scalar_threshold,0.53944
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,ideal_shot,1,512,margin,scalar_threshold,0.5177824999999999
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,noisy_shot,1,512,confidence,scalar_threshold,0.5166675
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,noisy_shot,1,512,correctness,scalar_threshold,0.516
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,noisy_shot,1,512,entropy,scalar_threshold,0.51586
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,noisy_shot,1,512,learned_mlp_pv_plus_stats,learned_cross_fitted,0.516095
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,noisy_shot,1,512,loss,scalar_threshold,0.539385
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,eff_su2,1,2,43,43,noisy_shot,1,512,margin,scalar_threshold,0.51994
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,exact,0,0,confidence,scalar_threshold,0.4856749999999999
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,exact,0,0,correctness,scalar_threshold,0.5225
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,exact,0,0,entropy,scalar_threshold,0.48515
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,exact,0,0,learned_mlp_pv_plus_stats,learned_cross_fitted,0.50575
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,exact,0,0,loss,scalar_threshold,0.531825
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,exact,0,0,margin,scalar_threshold,0.49115
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,ideal_shot,1,512,confidence,scalar_threshold,0.498055
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,ideal_shot,1,512,correctness,scalar_threshold,0.5305
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,ideal_shot,1,512,entropy,scalar_threshold,0.48919499999999994
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,ideal_shot,1,512,learned_mlp_pv_plus_stats,learned_cross_fitted,0.5022675
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,ideal_shot,1,512,loss,scalar_threshold,0.53612
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,ideal_shot,1,512,margin,scalar_threshold,0.5050074999999999
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,noisy_shot,1,512,confidence,scalar_threshold,0.4986775
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,noisy_shot,1,512,correctness,scalar_threshold,0.5359999999999999
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,noisy_shot,1,512,entropy,scalar_threshold,0.48832249999999994
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,noisy_shot,1,512,learned_mlp_pv_plus_stats,learned_cross_fitted,0.5187975
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,noisy_shot,1,512,loss,scalar_threshold,0.5323775
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,eff_su2,1,2,44,43,noisy_shot,1,512,margin,scalar_threshold,0.50571
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,eff_su2,1,2,45,43,exact,0,0,confidence,scalar_threshold,0.495475
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,eff_su2,1,2,45,43,exact,0,0,correctness,scalar_threshold,0.495
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,eff_su2,1,2,45,43,exact,0,0,entropy,scalar_threshold,0.49635
