attack,mode,queries,shots,fm_kind,model_seed,effect,effect_auc,effect_scope
confidence,exact,0,0,z,44,depth_6_minus_2_at_repetition1,0.06645000000000012,encoder_specific
confidence,exact,0,0,z,44,depth_6_minus_2_at_repetition5,0.00924999999999998,encoder_specific
confidence,exact,0,0,z,44,depth_main_6_minus_2,0.03785000000000005,encoder_specific
confidence,exact,0,0,z,44,repetition_by_depth_interaction,-0.05720000000000014,encoder_specific
confidence,exact,0,0,z,45,repetition_5_minus_1_at_depth2,0.019224999999999937,encoder_specific
confidence,exact,0,0,z,45,repetition_5_minus_1_at_depth6,-0.045724999999999905,encoder_specific
confidence,exact,0,0,z,45,repetition_main_5_minus_1,-0.013249999999999984,encoder_specific
confidence,exact,0,0,z,45,depth_6_minus_2_at_repetition1,0.06647499999999995,encoder_specific
confidence,exact,0,0,z,45,depth_6_minus_2_at_repetition5,0.0015250000000001096,encoder_specific
confidence,exact,0,0,z,45,depth_main_6_minus_2,0.03400000000000003,encoder_specific
confidence,exact,0,0,z,45,repetition_by_depth_interaction,-0.06494999999999984,encoder_specific
confidence,exact,0,0,zz,43,repetition_5_minus_1_at_depth2,0.0025249999999999995,encoder_specific
confidence,exact,0,0,zz,43,repetition_5_minus_1_at_depth6,-0.044749999999999956,encoder_specific
confidence,exact,0,0,zz,43,repetition_main_5_minus_1,-0.02111250000000009,encoder_specific
confidence,exact,0,0,zz,43,depth_6_minus_2_at_repetition1,0.042074999999999974,encoder_specific
confidence,exact,0,0,zz,43,depth_6_minus_2_at_repetition5,-0.005199999999999982,encoder_specific
confidence,exact,0,0,zz,43,depth_main_6_minus_2,0.018437500000000107,encoder_specific
confidence,exact,0,0,zz,43,repetition_by_depth_interaction,-0.047274999999999956,encoder_specific
confidence,exact,0,0,zz,44,repetition_5_minus_1_at_depth2,-0.022125000000000006,encoder_specific
confidence,exact,0,0,zz,44,repetition_5_minus_1_at_depth6,0.005099999999999993,encoder_specific
confidence,exact,0,0,zz,44,repetition_main_5_minus_1,-0.008512499999999978,encoder_specific
confidence,exact,0,0,zz,44,depth_6_minus_2_at_repetition1,0.02482500000000004,encoder_specific
confidence,exact,0,0,zz,44,depth_6_minus_2_at_repetition5,0.05205000000000004,encoder_specific
confidence,exact,0,0,zz,44,depth_main_6_minus_2,0.03843750000000001,encoder_specific
confidence,exact,0,0,zz,44,repetition_by_depth_interaction,0.027225,encoder_specific
confidence,exact,0,0,zz,45,repetition_5_minus_1_at_depth2,0.05172500000000002,encoder_specific
confidence,exact,0,0,zz,45,repetition_5_minus_1_at_depth6,-0.009174999999999933,encoder_specific
confidence,exact,0,0,zz,45,repetition_main_5_minus_1,0.021275000000000044,encoder_specific
confidence,exact,0,0,zz,45,depth_6_minus_2_at_repetition1,0.042874999999999996,encoder_specific
confidence,exact,0,0,zz,45,depth_6_minus_2_at_repetition5,-0.018024999999999958,encoder_specific
confidence,exact,0,0,zz,45,depth_main_6_minus_2,0.01242500000000002,encoder_specific
confidence,exact,0,0,zz,45,repetition_by_depth_interaction,-0.060899999999999954,encoder_specific
confidence,ideal_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth2,-0.000660000000000105,encoder_specific
confidence,ideal_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth6,0.04927499999999996,encoder_specific
confidence,ideal_shot,1,512,eff_su2,43,repetition_main_5_minus_1,0.024307499999999926,encoder_specific
confidence,ideal_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition1,-0.0026000000000000467,encoder_specific
confidence,ideal_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition5,0.047335000000000016,encoder_specific
confidence,ideal_shot,1,512,eff_su2,43,depth_main_6_minus_2,0.022367499999999985,encoder_specific
confidence,ideal_shot,1,512,eff_su2,43,repetition_by_depth_interaction,0.04993500000000006,encoder_specific
confidence,ideal_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth2,0.03046749999999998,encoder_specific
confidence,ideal_shot,1,512,eff_su2,44,repetition_5_minus_1_at_depth6,0.02774500000000002,encoder_specific
confidence,ideal_shot,1,512,eff_su2,44,repetition_main_5_minus_1,0.02910625,encoder_specific
confidence,ideal_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition1,0.012643750000000065,encoder_specific
confidence,ideal_shot,1,512,eff_su2,44,depth_6_minus_2_at_repetition5,0.009921250000000104,encoder_specific
confidence,ideal_shot,1,512,eff_su2,44,depth_main_6_minus_2,0.011282500000000084,encoder_specific
confidence,ideal_shot,1,512,eff_su2,44,repetition_by_depth_interaction,-0.002722499999999961,encoder_specific
confidence,ideal_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth2,0.005859999999999976,encoder_specific
confidence,ideal_shot,1,512,eff_su2,45,repetition_5_minus_1_at_depth6,0.04810749999999997,encoder_specific
confidence,ideal_shot,1,512,eff_su2,45,repetition_main_5_minus_1,0.026983749999999862,encoder_specific
confidence,ideal_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition1,0.006184999999999996,encoder_specific
confidence,ideal_shot,1,512,eff_su2,45,depth_6_minus_2_at_repetition5,0.04843249999999999,encoder_specific
confidence,ideal_shot,1,512,eff_su2,45,depth_main_6_minus_2,0.027308749999999993,encoder_specific
confidence,ideal_shot,1,512,eff_su2,45,repetition_by_depth_interaction,0.04224749999999999,encoder_specific
confidence,ideal_shot,1,512,z,43,repetition_5_minus_1_at_depth2,0.04235374999999997,encoder_specific
confidence,ideal_shot,1,512,z,43,repetition_5_minus_1_at_depth6,-0.001911250000000031,encoder_specific
confidence,ideal_shot,1,512,z,43,repetition_main_5_minus_1,0.02022125000000008,encoder_specific
confidence,ideal_shot,1,512,z,43,depth_6_minus_2_at_repetition1,0.03773750000000009,encoder_specific
confidence,ideal_shot,1,512,z,43,depth_6_minus_2_at_repetition5,-0.006527499999999908,encoder_specific
confidence,ideal_shot,1,512,z,43,depth_main_6_minus_2,0.015605000000000091,encoder_specific
confidence,ideal_shot,1,512,z,43,repetition_by_depth_interaction,-0.044265,encoder_specific
confidence,ideal_shot,1,512,z,44,repetition_5_minus_1_at_depth2,0.03302749999999999,encoder_specific
confidence,ideal_shot,1,512,z,44,repetition_5_minus_1_at_depth6,-0.01798500000000014,encoder_specific
confidence,ideal_shot,1,512,z,44,repetition_main_5_minus_1,0.007521249999999924,encoder_specific
confidence,ideal_shot,1,512,z,44,depth_6_minus_2_at_repetition1,0.06129000000000007,encoder_specific
confidence,ideal_shot,1,512,z,44,depth_6_minus_2_at_repetition5,0.01027749999999994,encoder_specific
confidence,ideal_shot,1,512,z,44,depth_main_6_minus_2,0.03578375,encoder_specific
confidence,ideal_shot,1,512,z,44,repetition_by_depth_interaction,-0.05101250000000013,encoder_specific
confidence,ideal_shot,1,512,z,45,repetition_5_minus_1_at_depth2,0.017052500000000026,encoder_specific
confidence,ideal_shot,1,512,z,45,repetition_5_minus_1_at_depth6,-0.04033000000000009,encoder_specific
confidence,ideal_shot,1,512,z,45,repetition_main_5_minus_1,-0.011638750000000031,encoder_specific
confidence,ideal_shot,1,512,z,45,depth_6_minus_2_at_repetition1,0.05676250000000005,encoder_specific
confidence,ideal_shot,1,512,z,45,depth_6_minus_2_at_repetition5,-0.0006200000000000649,encoder_specific
confidence,ideal_shot,1,512,z,45,depth_main_6_minus_2,0.028071249999999992,encoder_specific
confidence,ideal_shot,1,512,z,45,repetition_by_depth_interaction,-0.057382500000000114,encoder_specific
confidence,ideal_shot,1,512,zz,43,repetition_5_minus_1_at_depth2,-0.0011574999999999225,encoder_specific
confidence,ideal_shot,1,512,zz,43,repetition_5_minus_1_at_depth6,-0.04803499999999994,encoder_specific
confidence,ideal_shot,1,512,zz,43,repetition_main_5_minus_1,-0.024596249999999875,encoder_specific
confidence,ideal_shot,1,512,zz,43,depth_6_minus_2_at_repetition1,0.04185749999999999,encoder_specific
confidence,ideal_shot,1,512,zz,43,depth_6_minus_2_at_repetition5,-0.0050200000000000244,encoder_specific
confidence,ideal_shot,1,512,zz,43,depth_main_6_minus_2,0.01841875000000004,encoder_specific
confidence,ideal_shot,1,512,zz,43,repetition_by_depth_interaction,-0.046877500000000016,encoder_specific
confidence,ideal_shot,1,512,zz,44,repetition_5_minus_1_at_depth2,-0.022055000000000047,encoder_specific
confidence,ideal_shot,1,512,zz,44,repetition_5_minus_1_at_depth6,-0.0022699999999999942,encoder_specific
confidence,ideal_shot,1,512,zz,44,repetition_main_5_minus_1,-0.012162500000000076,encoder_specific
confidence,ideal_shot,1,512,zz,44,depth_6_minus_2_at_repetition1,0.02035999999999999,encoder_specific
confidence,ideal_shot,1,512,zz,44,depth_6_minus_2_at_repetition5,0.04014500000000004,encoder_specific
confidence,ideal_shot,1,512,zz,44,depth_main_6_minus_2,0.030252500000000015,encoder_specific
confidence,ideal_shot,1,512,zz,44,repetition_by_depth_interaction,0.019785000000000053,encoder_specific
confidence,ideal_shot,1,512,zz,45,repetition_5_minus_1_at_depth2,0.06001999999999996,encoder_specific
confidence,ideal_shot,1,512,zz,45,repetition_5_minus_1_at_depth6,-0.013527500000000026,encoder_specific
confidence,ideal_shot,1,512,zz,45,repetition_main_5_minus_1,0.023246249999999913,encoder_specific
confidence,ideal_shot,1,512,zz,45,depth_6_minus_2_at_repetition1,0.042392500000000055,encoder_specific
confidence,ideal_shot,1,512,zz,45,depth_6_minus_2_at_repetition5,-0.031154999999999933,encoder_specific
confidence,ideal_shot,1,512,zz,45,depth_main_6_minus_2,0.005618750000000117,encoder_specific
confidence,ideal_shot,1,512,zz,45,repetition_by_depth_interaction,-0.07354749999999999,encoder_specific
confidence,noisy_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth2,0.0014325000000000587,encoder_specific
confidence,noisy_shot,1,512,eff_su2,43,repetition_5_minus_1_at_depth6,0.03246749999999998,encoder_specific
confidence,noisy_shot,1,512,eff_su2,43,repetition_main_5_minus_1,0.01695000000000002,encoder_specific
confidence,noisy_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition1,0.0010725000000001428,encoder_specific
confidence,noisy_shot,1,512,eff_su2,43,depth_6_minus_2_at_repetition5,0.03210750000000007,encoder_specific
confidence,noisy_shot,1,512,eff_su2,43,depth_main_6_minus_2,0.016590000000000105,encoder_specific
confidence,noisy_shot,1,512,eff_su2,43,repetition_by_depth_interaction,0.031034999999999924,encoder_specific
