fm_kind,reps,depth,mode,queries,shots,attack,n_trained_checkpoints,mean_auc,sd_across_trained_checkpoints
eff_su2,1,2,exact,0,0,confidence,3,0.49907499999999994,0.015516442891333082
eff_su2,1,2,exact,0,0,correctness,3,0.5116666666666667,0.014648663192705807
eff_su2,1,2,exact,0,0,entropy,3,0.500775,0.018244502596672773
eff_su2,1,2,exact,0,0,learned_mlp_pv_plus_stats,3,0.5330833333333334,0.027694294689219513
eff_su2,1,2,exact,0,0,loss,3,0.5298916666666666,0.01038584774264157
eff_su2,1,2,exact,0,0,margin,3,0.5029333333333333,0.015562702475255829
eff_su2,1,2,ideal_shot,1,512,confidence,3,0.5056050000000001,0.007831217976790107
eff_su2,1,2,ideal_shot,1,512,correctness,3,0.5217499999999999,0.00794119008713433
eff_su2,1,2,ideal_shot,1,512,entropy,3,0.5031091666666666,0.012349080009593186
eff_su2,1,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.5162141666666668,0.01460994638365708
eff_su2,1,2,ideal_shot,1,512,loss,3,0.5334741666666667,0.007640432061299514
eff_su2,1,2,ideal_shot,1,512,margin,3,0.5090633333333333,0.00755712674125115
eff_su2,1,2,noisy_shot,1,512,confidence,3,0.5085308333333333,0.009117029852607313
eff_su2,1,2,noisy_shot,1,512,correctness,3,0.5201666666666666,0.014215601757693295
eff_su2,1,2,noisy_shot,1,512,entropy,3,0.5044483333333333,0.014361267426078187
eff_su2,1,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.5208325,0.006018799195022197
eff_su2,1,2,noisy_shot,1,512,loss,3,0.5312283333333333,0.008787784964559182
eff_su2,1,2,noisy_shot,1,512,margin,3,0.5123758333333334,0.0071574071480762546
eff_su2,1,6,exact,0,0,confidence,3,0.5082583333333334,0.004768407316215092
eff_su2,1,6,exact,0,0,correctness,3,0.5191666666666666,0.00946484724300049
eff_su2,1,6,exact,0,0,entropy,3,0.5116916666666667,0.007701352695035694
eff_su2,1,6,exact,0,0,learned_mlp_pv_plus_stats,3,0.5143166666666666,0.003010017995516504
eff_su2,1,6,exact,0,0,loss,3,0.5364416666666667,0.005660462289719229
eff_su2,1,6,exact,0,0,margin,3,0.5093083333333334,0.0025251650111098346
eff_su2,1,6,ideal_shot,1,512,confidence,3,0.5110145833333334,0.00028569086585558874
eff_su2,1,6,ideal_shot,1,512,correctness,3,0.5215833333333334,0.009631761694172724
eff_su2,1,6,ideal_shot,1,512,entropy,3,0.5112141666666666,0.0023106361858443894
eff_su2,1,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.51564,0.00633764792726766
eff_su2,1,6,ideal_shot,1,512,loss,3,0.5372904166666667,0.0022220332515139633
eff_su2,1,6,ideal_shot,1,512,margin,3,0.5136183333333333,0.0013386241381856626
eff_su2,1,6,noisy_shot,1,512,confidence,3,0.5113150000000001,0.0060577630978770275
eff_su2,1,6,noisy_shot,1,512,correctness,3,0.52625,0.00195256241897666
eff_su2,1,6,noisy_shot,1,512,entropy,3,0.5105166666666666,0.006983686496638666
eff_su2,1,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.5221733333333334,0.014391470853715177
eff_su2,1,6,noisy_shot,1,512,loss,3,0.5397258333333333,0.003792108856999358
eff_su2,1,6,noisy_shot,1,512,margin,3,0.5150475,0.005969756590515207
eff_su2,5,2,exact,0,0,confidence,3,0.5262083333333334,0.009364071407957794
eff_su2,5,2,exact,0,0,correctness,3,0.5616666666666666,0.018085445345175602
eff_su2,5,2,exact,0,0,entropy,3,0.5210750000000001,0.007888599368709306
eff_su2,5,2,exact,0,0,learned_mlp_pv_plus_stats,3,0.5640083333333333,0.035367095701136275
eff_su2,5,2,exact,0,0,loss,3,0.5708583333333334,0.005956001874859764
eff_su2,5,2,exact,0,0,margin,3,0.5294,0.01063370231857186
eff_su2,5,2,ideal_shot,1,512,confidence,3,0.5174941666666667,0.009608361050841781
eff_su2,5,2,ideal_shot,1,512,correctness,3,0.5551666666666667,0.010254064234894106
eff_su2,5,2,ideal_shot,1,512,entropy,3,0.5145858333333333,0.010609590394229802
eff_su2,5,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.5408375,0.01793461684146053
eff_su2,5,2,ideal_shot,1,512,loss,3,0.5659833333333333,0.00401084805039207
eff_su2,5,2,ideal_shot,1,512,margin,3,0.51867125,0.009890297407687008
eff_su2,5,2,noisy_shot,1,512,confidence,3,0.5168170833333333,0.008548135792138123
eff_su2,5,2,noisy_shot,1,512,correctness,3,0.5523333333333333,0.008375310939501484
eff_su2,5,2,noisy_shot,1,512,entropy,3,0.51162125,0.00903804052671269
eff_su2,5,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.5396633333333334,0.018545855388289074
eff_su2,5,2,noisy_shot,1,512,loss,3,0.5647133333333333,0.0033908925201682418
eff_su2,5,2,noisy_shot,1,512,margin,3,0.5199825,0.009008147353923563
eff_su2,5,6,exact,0,0,confidence,3,0.55925,0.011308376320232724
eff_su2,5,6,exact,0,0,correctness,3,0.5908333333333333,0.014215601757693352
eff_su2,5,6,exact,0,0,entropy,3,0.5563916666666667,0.010472861754713172
eff_su2,5,6,exact,0,0,learned_mlp_pv_plus_stats,3,0.5914083333333333,0.008140190927326763
eff_su2,5,6,exact,0,0,loss,3,0.6026666666666666,0.01692524618235529
eff_su2,5,6,exact,0,0,margin,3,0.559,0.012730597982812905
eff_su2,5,6,ideal_shot,1,512,confidence,3,0.5527237500000001,0.012376996871717233
eff_su2,5,6,ideal_shot,1,512,correctness,3,0.58425,0.010037429949942361
eff_su2,5,6,ideal_shot,1,512,entropy,3,0.5507525,0.010807110795675253
eff_su2,5,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.5774566666666666,0.02187396916618781
eff_su2,5,6,ideal_shot,1,512,loss,3,0.5985920833333332,0.016855730031530323
eff_su2,5,6,ideal_shot,1,512,margin,3,0.5535391666666667,0.013529170355969088
eff_su2,5,6,noisy_shot,1,512,confidence,3,0.5478041666666668,0.014062381184683252
eff_su2,5,6,noisy_shot,1,512,correctness,3,0.5637500000000001,0.016368796534870823
eff_su2,5,6,noisy_shot,1,512,entropy,3,0.5431737500000001,0.01094215950749665
eff_su2,5,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.56589,0.013458223090363718
eff_su2,5,6,noisy_shot,1,512,loss,3,0.5891541666666668,0.018475477215307193
eff_su2,5,6,noisy_shot,1,512,margin,3,0.5488983333333334,0.014568466874840749
z,1,2,exact,0,0,confidence,3,0.4869833333333333,0.0148578542641033
z,1,2,exact,0,0,correctness,3,0.5299999999999999,0.0204633819296811
z,1,2,exact,0,0,entropy,3,0.48927499999999996,0.011609290460661267
z,1,2,exact,0,0,learned_mlp_pv_plus_stats,3,0.4985083333333333,0.014217602059888054
z,1,2,exact,0,0,loss,3,0.5412333333333333,0.01660792983286399
z,1,2,exact,0,0,margin,3,0.48807500000000004,0.0160307711916801
z,1,2,ideal_shot,1,512,confidence,3,0.4894870833333333,0.014413005429848181
z,1,2,ideal_shot,1,512,correctness,3,0.5305,0.018377975949489093
z,1,2,ideal_shot,1,512,entropy,3,0.4902225,0.012077494307595457
z,1,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.5057608333333333,0.017818087076993866
z,1,2,ideal_shot,1,512,loss,3,0.5418420833333334,0.014968627730885453
z,1,2,ideal_shot,1,512,margin,3,0.49043666666666663,0.014755921975035453
z,1,2,noisy_shot,1,512,confidence,3,0.4877925,0.01631820091952546
z,1,2,noisy_shot,1,512,correctness,3,0.5295833333333334,0.011457348442520764
z,1,2,noisy_shot,1,512,entropy,3,0.4897758333333333,0.012829954289993955
z,1,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.5042141666666667,0.0047385785931366555
z,1,2,noisy_shot,1,512,loss,3,0.5408341666666666,0.013906934945678509
z,1,2,noisy_shot,1,512,margin,3,0.48894624999999997,0.017217420366085652
z,1,6,exact,0,0,confidence,3,0.5447000000000001,0.022825328584710387
z,1,6,exact,0,0,correctness,3,0.5833333333333334,0.008036375634160764
z,1,6,exact,0,0,entropy,3,0.5433333333333333,0.022523672731890997
z,1,6,exact,0,0,learned_mlp_pv_plus_stats,3,0.5629916666666667,0.013837005034809106
z,1,6,exact,0,0,loss,3,0.5985666666666667,0.014552863406674794
z,1,6,exact,0,0,margin,3,0.546,0.02261571632736849
z,1,6,ideal_shot,1,512,confidence,3,0.5414170833333334,0.020015528437836265
z,1,6,ideal_shot,1,512,correctness,3,0.5810833333333334,0.007371114795832031
z,1,6,ideal_shot,1,512,entropy,3,0.5400116666666667,0.02033723499110275
z,1,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.5584325,0.00443752957736623
z,1,6,ideal_shot,1,512,loss,3,0.5961845833333334,0.01144177217570914
z,1,6,ideal_shot,1,512,margin,3,0.5430379166666667,0.0197280242585474
z,1,6,noisy_shot,1,512,confidence,3,0.5334616666666667,0.021184445994250893
z,1,6,noisy_shot,1,512,correctness,3,0.5805833333333333,0.011248147995707286
z,1,6,noisy_shot,1,512,entropy,3,0.5301925,0.02041776937498318
z,1,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.5578616666666667,0.011648071013405347
z,1,6,noisy_shot,1,512,loss,3,0.5879033333333333,0.01714421810941907
z,1,6,noisy_shot,1,512,margin,3,0.5356275,0.020407247027710546
z,5,2,exact,0,0,confidence,3,0.5223333333333334,0.008738003681238239
z,5,2,exact,0,0,correctness,3,0.6058333333333333,0.014648663192705748
z,5,2,exact,0,0,entropy,3,0.5344749999999999,0.007297559523566759
z,5,2,exact,0,0,learned_mlp_pv_plus_stats,3,0.5946916666666667,0.035457160184275006
z,5,2,exact,0,0,loss,3,0.6455083333333334,0.01243694931779238
z,5,2,exact,0,0,margin,3,0.5133583333333332,0.017361493551343237
z,5,2,ideal_shot,1,512,confidence,3,0.5202983333333333,0.008346236552083386
z,5,2,ideal_shot,1,512,correctness,3,0.6043333333333333,0.01028449480204717
z,5,2,ideal_shot,1,512,entropy,3,0.5335225,0.005106306762230502
z,5,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.6050400000000001,0.014715979197797184
z,5,2,ideal_shot,1,512,loss,3,0.6446016666666666,0.013497716087669562
z,5,2,ideal_shot,1,512,margin,3,0.51022,0.015560618761797382
z,5,2,noisy_shot,1,512,confidence,3,0.5196200000000001,0.008606595944390547
z,5,2,noisy_shot,1,512,correctness,3,0.6003333333333334,0.012073559265325709
z,5,2,noisy_shot,1,512,entropy,3,0.5376875,0.005531281497085457
z,5,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.6031858333333333,0.01324056841994827
z,5,2,noisy_shot,1,512,loss,3,0.645165,0.01280623066128358
z,5,2,noisy_shot,1,512,margin,3,0.5052191666666667,0.018372845168436316
z,5,6,exact,0,0,confidence,3,0.5241333333333333,0.0014631586835792442
z,5,6,exact,0,0,correctness,3,0.6491666666666668,0.0014433756729740417
z,5,6,exact,0,0,entropy,3,0.5312166666666667,0.015189579761577789
z,5,6,exact,0,0,learned_mlp_pv_plus_stats,3,0.6595583333333334,0.021047302875507212
z,5,6,exact,0,0,loss,3,0.684425,0.01194960773414761
z,5,6,exact,0,0,margin,3,0.51975,0.010881836931327294
z,5,6,ideal_shot,1,512,confidence,3,0.5213416666666667,0.000721388995849864
z,5,6,ideal_shot,1,512,correctness,3,0.6394166666666666,0.006429100507328652
z,5,6,ideal_shot,1,512,entropy,3,0.5277483333333334,0.016054259040308726
z,5,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.6547091666666667,0.004298285510913989
z,5,6,ideal_shot,1,512,loss,3,0.6787116666666666,0.009708792836049902
z,5,6,ideal_shot,1,512,margin,3,0.5176850000000001,0.00863995044835329
z,5,6,noisy_shot,1,512,confidence,3,0.5082049999999999,0.013073592419453814
z,5,6,noisy_shot,1,512,correctness,3,0.6109166666666667,0.005928392137277541
z,5,6,noisy_shot,1,512,entropy,3,0.5242379166666667,0.0230621872042925
z,5,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.62976,0.007933055448564576
z,5,6,noisy_shot,1,512,loss,3,0.6643591666666667,0.0029302520511610606
z,5,6,noisy_shot,1,512,margin,3,0.49793916666666665,0.006453890461057823
zz,1,2,exact,0,0,confidence,3,0.501675,0.006409026837203921
zz,1,2,exact,0,0,correctness,3,0.5583333333333333,0.012583057392117986
zz,1,2,exact,0,0,entropy,3,0.49770000000000003,0.010038332779899259
zz,1,2,exact,0,0,learned_mlp_pv_plus_stats,3,0.5600833333333334,0.02914516826737036
zz,1,2,exact,0,0,loss,3,0.5619583333333333,0.01174947693871233
zz,1,2,exact,0,0,margin,3,0.5022333333333333,0.007618412454923551
zz,1,2,ideal_shot,1,512,confidence,3,0.5003075,0.003721824989168597
zz,1,2,ideal_shot,1,512,correctness,3,0.5559166666666667,0.018395538408356917
zz,1,2,ideal_shot,1,512,entropy,3,0.49523333333333336,0.007791895763120358
zz,1,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.5544533333333334,0.033191509299568364
zz,1,2,ideal_shot,1,512,loss,3,0.5578483333333334,0.014071079456933429
zz,1,2,ideal_shot,1,512,margin,3,0.5026525,0.0032442227497506727
zz,1,2,noisy_shot,1,512,confidence,3,0.5013041666666667,0.010919420867579646
zz,1,2,noisy_shot,1,512,correctness,3,0.5504166666666667,0.017571876204131788
zz,1,2,noisy_shot,1,512,entropy,3,0.49157583333333327,0.019090563168312605
zz,1,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.5509716666666667,0.01991816842315908
zz,1,2,noisy_shot,1,512,loss,3,0.5529175,0.019313527804365578
zz,1,2,noisy_shot,1,512,margin,3,0.5055775,0.008220138380830317
zz,1,6,exact,0,0,confidence,3,0.5382666666666667,0.016544114008714163
zz,1,6,exact,0,0,correctness,3,0.6025,0.008660254037844393
zz,1,6,exact,0,0,entropy,3,0.5290666666666667,0.015674667726409186
zz,1,6,exact,0,0,learned_mlp_pv_plus_stats,3,0.6299666666666667,0.014873998565729876
zz,1,6,exact,0,0,loss,3,0.6043416666666667,0.011277364866551643
zz,1,6,exact,0,0,margin,3,0.5424583333333334,0.01665439756740941
zz,1,6,ideal_shot,1,512,confidence,3,0.5351775,0.01623400135518045
zz,1,6,ideal_shot,1,512,correctness,3,0.6031666666666667,0.007247125867082277
zz,1,6,ideal_shot,1,512,entropy,3,0.5270066666666667,0.015137406963655734
zz,1,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,3,0.6053075,0.015418827168432833
zz,1,6,ideal_shot,1,512,loss,3,0.6025675,0.011050195982424904
zz,1,6,ideal_shot,1,512,margin,3,0.5391825,0.016366076385316043
zz,1,6,noisy_shot,1,512,confidence,3,0.5263295833333334,0.015200886093278711
zz,1,6,noisy_shot,1,512,correctness,3,0.5831666666666667,0.006084474778757253
zz,1,6,noisy_shot,1,512,entropy,3,0.5149983333333333,0.009995347772005446
zz,1,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,3,0.5802716666666666,0.014217334123643986
zz,1,6,noisy_shot,1,512,loss,3,0.5913820833333333,0.009005381232676017
zz,1,6,noisy_shot,1,512,margin,3,0.5316358333333334,0.016356128884407056
zz,5,2,exact,0,0,confidence,3,0.5123833333333333,0.04334573460368776
zz,5,2,exact,0,0,correctness,3,0.5916666666666667,0.01258305739211796
zz,5,2,exact,0,0,entropy,3,0.5137916666666666,0.0279808453827495
zz,5,2,exact,0,0,learned_mlp_pv_plus_stats,3,0.5722833333333334,0.044712423702292566
