attack,mode,queries,shots,fm_kind,model_seed,effect,effect_auc,effect_scope,exact_effect_auc,change_vs_exact
confidence,ideal_shot,1,512,z,45,depth_6_minus_2_at_repetition1,0.05676250000000005,encoder_specific,0.06647499999999995,-0.009712499999999902
confidence,ideal_shot,1,512,z,45,depth_6_minus_2_at_repetition5,-0.0006200000000000649,encoder_specific,0.0015250000000001096,-0.0021450000000001745
confidence,ideal_shot,1,512,z,45,depth_main_6_minus_2,0.028071249999999992,encoder_specific,0.03400000000000003,-0.005928750000000038
confidence,ideal_shot,1,512,z,45,repetition_by_depth_interaction,-0.057382500000000114,encoder_specific,-0.06494999999999984,0.007567499999999727
confidence,ideal_shot,1,512,zz,43,repetition_5_minus_1_at_depth2,-0.0011574999999999225,encoder_specific,0.0025249999999999995,-0.003682499999999922
confidence,ideal_shot,1,512,zz,43,repetition_5_minus_1_at_depth6,-0.04803499999999994,encoder_specific,-0.044749999999999956,-0.0032849999999999824
confidence,ideal_shot,1,512,zz,43,repetition_main_5_minus_1,-0.024596249999999875,encoder_specific,-0.02111250000000009,-0.0034837499999997856
confidence,ideal_shot,1,512,zz,43,depth_6_minus_2_at_repetition1,0.04185749999999999,encoder_specific,0.042074999999999974,-0.0002174999999999816
confidence,ideal_shot,1,512,zz,43,depth_6_minus_2_at_repetition5,-0.0050200000000000244,encoder_specific,-0.005199999999999982,0.00017999999999995797
confidence,ideal_shot,1,512,zz,43,depth_main_6_minus_2,0.01841875000000004,encoder_specific,0.018437500000000107,-1.8750000000067324e-05
confidence,ideal_shot,1,512,zz,43,repetition_by_depth_interaction,-0.046877500000000016,encoder_specific,-0.047274999999999956,0.00039749999999993957
confidence,ideal_shot,1,512,zz,44,repetition_5_minus_1_at_depth2,-0.022055000000000047,encoder_specific,-0.022125000000000006,6.999999999995898e-05
confidence,ideal_shot,1,512,zz,44,repetition_5_minus_1_at_depth6,-0.0022699999999999942,encoder_specific,0.005099999999999993,-0.007369999999999988
confidence,ideal_shot,1,512,zz,44,repetition_main_5_minus_1,-0.012162500000000076,encoder_specific,-0.008512499999999978,-0.0036500000000000976
confidence,ideal_shot,1,512,zz,44,depth_6_minus_2_at_repetition1,0.02035999999999999,encoder_specific,0.02482500000000004,-0.004465000000000052
confidence,ideal_shot,1,512,zz,44,depth_6_minus_2_at_repetition5,0.04014500000000004,encoder_specific,0.05205000000000004,-0.011904999999999999
confidence,ideal_shot,1,512,zz,44,depth_main_6_minus_2,0.030252500000000015,encoder_specific,0.03843750000000001,-0.008184999999999998
