attack,mode,queries,shots,effect,fm_kind,scope,n_paired_units,n_model_seed_blocks,mean,sd,ci95_low,ci95_high,ci_method,bootstrap_replicates
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,-0.0037737500000000015,0.003479853400288515,-0.0061149999999999816,0.0002249999999999197,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,-0.005786666666666625,0.0036530384043058153,-0.009712499999999902,-0.0024874999999999203,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,-0.0017216666666666585,0.002379488302836048,-0.004465000000000052,-0.0002174999999999816,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,0.002187916666666697,0.0015248331534411087,0.0004462500000000924,0.003282499999999966,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,-0.0007566666666667018,0.0016228684738244991,-0.0021450000000001745,0.001027499999999959,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,-0.008285000000000006,0.007356447852054653,-0.013129999999999975,0.00017999999999995797,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,-0.0007929166666666246,0.0020824348479203158,-0.0024924999999998976,0.0015299999999999203,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_main_6_minus_2,z,encoder_specific,3,3,-0.0032716666666666727,0.002304393335746629,-0.005928750000000038,-0.0018199999999999328,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_main_6_minus_2,zz,encoder_specific,3,3,-0.005003333333333322,0.004371474710647748,-0.008184999999999998,-1.8750000000067324e-05,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,8.70833333332192e-05,0.0022080078278185894,-0.001387499999999986,0.0026256249999998538,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.0016002083333334822,0.003649690929408694,-0.004157500000000036,0.0025793749999998283,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,-0.0016872916666667015,0.0014451662876494048,-0.00277000000000005,-4.625000000002544e-05,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,encoder_specific,3,3,-0.01524416666666678,0.007064122527485835,-0.020682500000000104,-0.007260000000000155,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,z,encoder_specific,3,3,-0.004538750000000018,0.0024007118085060362,-0.006972500000000048,-0.0021724999999999106,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,zz,encoder_specific,3,3,0.0015608333333333262,0.006126341859815904,-0.003682499999999922,0.008294999999999941,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,encoder_specific,3,3,-0.009282500000000082,0.00513566755641368,-0.014805000000000068,-0.004650000000000043,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,z,encoder_specific,3,3,0.0004912499999999061,0.004406491482744449,-0.0031362500000000626,0.005394999999999817,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,-0.005002500000000021,0.002118650808887567,-0.007369999999999988,-0.0032849999999999824,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.005961666666666698,0.003394532675248947,0.0026100000000001122,0.009397499999999948,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,z,encoder_specific,3,3,0.005029999999999923,0.003273510157308086,0.0013350000000000306,0.007567499999999727,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,zz,encoder_specific,3,3,-0.006563333333333347,0.006566537488154093,-0.012647500000000034,0.00039749999999993957,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_main_5_minus_1,eff_su2,encoder_specific,3,3,-0.01226333333333344,0.0059378229298147275,-0.017743750000000058,-0.005955000000000044,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_main_5_minus_1,z,encoder_specific,3,3,-0.0020237500000000277,0.0031482256907661333,-0.003878750000000042,0.001611249999999953,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_main_5_minus_1,zz,encoder_specific,3,3,-0.001720833333333338,0.0031985182930276733,-0.0036500000000000976,0.001971249999999869,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,-0.006399166666666604,0.00893132210724336,-0.012049999999999894,0.003897500000000109,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,-0.012047499999999989,0.007824593839299312,-0.01846250000000005,-0.003329999999999944,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,-0.011566249999999981,0.0009734193918861237,-0.012409999999999977,-0.010501250000000018,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,-0.002054583333333304,0.010040771752999491,-0.012392499999999917,0.00766,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,-0.013215000000000069,0.01450056744579327,-0.024767499999999998,0.0030574999999999353,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,-0.013283333333333388,0.05425387090644621,-0.07299500000000003,0.03298499999999993,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,-0.004226874999999926,0.002021641408453858,-0.006238124999999983,-0.002194999999999836,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_main_6_minus_2,z,encoder_specific,3,3,-0.012631250000000002,0.004394926584995491,-0.01614250000000006,-0.007702500000000001,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,depth_main_6_minus_2,zz,encoder_specific,3,3,-0.012424791666666732,0.02757314458805806,-0.04270249999999998,0.011241874999999957,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.005186562500000047,0.002269602650554976,-0.007316250000000024,-0.00279906250000006,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,0.0061245833333332484,0.027286865108590765,-0.025194062500000114,0.024772187499999876,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,0.011311145833333295,0.025333195082330794,-0.01787781250000009,0.027571249999999936,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,encoder_specific,3,3,-0.018847083333333348,0.011857866082092248,-0.026197499999999985,-0.0051674999999999915,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,z,encoder_specific,3,3,-0.003522499999999947,0.0005378603443274046,-0.0039049999999999363,-0.002907499999999952,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,zz,encoder_specific,3,3,0.021253333333333364,0.05174574573898162,-0.028687499999999977,0.07463250000000005,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,encoder_specific,3,3,-0.014502500000000048,0.007541082481978263,-0.021457500000000018,-0.00648750000000009,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,z,encoder_specific,3,3,-0.0046900000000000275,0.02146059805201154,-0.025192500000000007,0.017615000000000047,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,0.01953624999999996,0.008864154552888803,0.01404749999999999,0.029762499999999914,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.0043445833333333,0.018569412699943756,-0.016290000000000027,0.019709999999999894,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_by_depth_interaction,z,encoder_specific,3,3,-0.001167500000000099,0.021580545202797872,-0.02143750000000011,0.021519999999999984,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_by_depth_interaction,zz,encoder_specific,3,3,-0.0017170833333334061,0.05336428484853735,-0.060585000000000055,0.04348624999999995,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_main_5_minus_1,eff_su2,encoder_specific,3,3,-0.01667479166666667,0.0035401531753878356,-0.020369375000000023,-0.01331249999999995,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_main_5_minus_1,z,encoder_specific,3,3,-0.004106249999999978,0.01067676441800137,-0.014473749999999952,0.0068550000000000555,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,noisy_shot,1,512,repetition_main_5_minus_1,zz,encoder_specific,3,3,0.020394791666666634,0.025810094820853745,-0.006944375000000114,0.04433999999999999,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,-0.007666666666666526,0.012250850310624794,-0.019999999999999907,0.0045000000000002816,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,-0.0027499999999999933,0.010111874208078277,-0.010249999999999981,0.008749999999999925,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,0.0030833333333333637,0.008129165598838122,-0.005749999999999922,0.010250000000000092,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,-8.333333333336117e-05,0.00789118706744014,-0.00825000000000009,0.007500000000000062,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,-0.00824999999999998,0.0047499999999999765,-0.0129999999999999,-0.0034999999999999476,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,-0.001500000000000094,0.011456439237389525,-0.014000000000000012,0.008499999999999841,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,-0.003874999999999925,0.005173550521643726,-0.009749999999999925,1.1102230246251565e-16,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_main_6_minus_2,z,encoder_specific,3,3,-0.005500000000000023,0.0059463749461330815,-0.011624999999999996,0.00024999999999986144,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,depth_main_6_minus_2,zz,encoder_specific,3,3,0.000791666666666635,0.005149838185160222,-0.004625000000000101,0.005625000000000102,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.0031041666666666488,0.0022606806681469897,-0.004562500000000136,-0.0004999999999999449,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.005999999999999932,0.00047186465220445446,-0.006437499999999874,-0.005499999999999838,percentile cluster bootstrap over trained model-seed blocks,10000
correctness,ideal_shot,1,512,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,-0.002895833333333283,0.0018544007342894302,-0.004999999999999893,-0.0014999999999999458,percentile cluster bootstrap over trained model-seed blocks,10000
