outcome,attack,factor,contrast,block_id,block_effect,within_block_pairs
gap,target_model,repetitions,5 - 1,wdbc_b05,0.048321962356567404,3
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b01,0.058672130107879694,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b02,0.056316494941711454,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b03,0.03579026460647586,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b04,-0.025446474552154548,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b05,-0.022644370794296296,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,0.06815162301063535,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,0.040710449218749944,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,0.009545952081680301,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,0.006506443023681599,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,-0.003789871931076043,2
gap,target_model,feature_map,ZZ - Z,wdbc_b01,0.009479492902755658,2
gap,target_model,feature_map,ZZ - Z,wdbc_b02,-0.015606045722961495,2
gap,target_model,feature_map,ZZ - Z,wdbc_b03,-0.026244312524795553,2
gap,target_model,feature_map,ZZ - Z,wdbc_b04,0.03195291757583615,2
gap,target_model,feature_map,ZZ - Z,wdbc_b05,0.018854498863220253,2
train_loss,target_model,repetitions,5 - 1,wdbc_b01,0.1227373940249284,3
train_loss,target_model,repetitions,5 - 1,wdbc_b02,0.19155102657775083,3
train_loss,target_model,repetitions,5 - 1,wdbc_b03,0.15705974586308002,3
train_loss,target_model,repetitions,5 - 1,wdbc_b04,0.16888572027285895,3
train_loss,target_model,repetitions,5 - 1,wdbc_b05,0.17106365785002708,3
train_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b01,-0.010560948401689543,2
train_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b02,-0.05279883090406659,2
train_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b03,0.018905835226178155,2
train_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b04,0.11068560369312765,2
train_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b05,0.026531822979450198,2
train_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.11129600368440155,2
train_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.12788231112062934,2
train_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.10255216527730224,2
train_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.08305865339934826,2
train_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,-0.09313992597162726,2
train_loss,target_model,feature_map,ZZ - Z,wdbc_b01,-0.10073505528271201,2
train_loss,target_model,feature_map,ZZ - Z,wdbc_b02,-0.07508348021656275,2
train_loss,target_model,feature_map,ZZ - Z,wdbc_b03,-0.12145800050348039,2
train_loss,target_model,feature_map,ZZ - Z,wdbc_b04,-0.1937442570924759,2
train_loss,target_model,feature_map,ZZ - Z,wdbc_b05,-0.11967174895107746,2
valid_loss,target_model,repetitions,5 - 1,wdbc_b01,0.34208061794439953,3
valid_loss,target_model,repetitions,5 - 1,wdbc_b02,0.36834878971179325,3
valid_loss,target_model,repetitions,5 - 1,wdbc_b03,0.317461517949899,3
valid_loss,target_model,repetitions,5 - 1,wdbc_b04,0.27229412396748864,3
valid_loss,target_model,repetitions,5 - 1,wdbc_b05,0.22732738653818765,3
valid_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b01,0.11369878053665161,2
valid_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b02,0.015617193654179573,2
valid_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b03,0.10451927408576013,2
valid_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b04,0.133977010846138,2
valid_loss,target_model,feature_map,Z - EfficientSU2,wdbc_b05,0.016291968524455996,2
valid_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,0.07948579639196399,2
valid_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.11405371688306334,2
valid_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,0.06338653713464738,2
valid_loss,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,0.051835261285304995,2
