experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,confidence,5,0.503491641337386,0.011141173963279228,5,0.4986759118541033,0.019687316715643503,5,-0.002648176291793314,0.03937463343128706,5,0.45875000000000005,0.22196741033313877,5,0.4613981762917933,0.1963652870254254,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,correctness,5,0.5206231003039513,0.0067639364083603645,5,0.5206231003039514,0.006763936408360389,5,0.04124620060790272,0.013527872816720757,5,0.93,0.025541020927128184,5,0.8887537993920972,0.030817730955955216,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,entropy,5,0.503491641337386,0.011141173963279228,5,0.4986759118541033,0.019687316715643503,5,-0.002648176291793314,0.03937463343128706,5,0.45875000000000005,0.22196741033313877,5,0.4613981762917933,0.1963652870254254,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,loss,5,0.5176101823708207,0.013913454786376176,5,0.5030433130699088,0.02366856286207746,5,0.006086626139817586,0.04733712572415489,5,0.6224999999999999,0.13084759741775923,5,0.6164133738601824,0.11056479070530975,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,margin,5,0.503491641337386,0.011141173963279228,5,0.4986759118541033,0.019687316715643503,5,-0.002648176291793314,0.03937463343128706,5,0.45875000000000005,0.22196741033313877,5,0.4613981762917933,0.1963652870254254,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,max_probability,5,0.503491641337386,0.011141173963279228,5,0.4986759118541033,0.019687316715643503,5,-0.002648176291793314,0.03937463343128706,5,0.45875000000000005,0.22196741033313877,5,0.4613981762917933,0.1963652870254254,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,confidence,5,0.5059213525835866,0.037105180339051094,5,0.5175626899696049,0.03604529333039277,5,0.03512537993920971,0.0720905866607855,5,0.50625,0.19314421425453052,5,0.47112462006079026,0.2446950098793767,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,correctness,5,0.5280718085106384,0.0177346668704953,5,0.5280718085106383,0.017734666870495366,5,0.05614361702127664,0.035469333740990754,5,0.9412499999999999,0.027810744326608735,5,0.8851063829787235,0.02077124566962902,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,entropy,5,0.5059194528875379,0.0371050361510112,5,0.5175626899696049,0.03604529333039277,5,0.03512537993920971,0.0720905866607855,5,0.50625,0.19314421425453052,5,0.47112462006079026,0.2446950098793767,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,loss,5,0.5277032674772036,0.03562482834518688,5,0.5300075987841945,0.030539776102038625,5,0.060015197568389064,0.06107955220407722,5,0.705,0.2077314221537031,5,0.6449848024316109,0.2422799384087616,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,margin,5,0.5059213525835866,0.037105180339051094,5,0.5175626899696049,0.03604529333039277,5,0.03512537993920971,0.0720905866607855,5,0.50625,0.19314421425453052,5,0.47112462006079026,0.2446950098793767,mean ± sample SD across independent target-model seeds; fixed data seed
