target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,dataset,architecture,model_type,run_id,model_seed,data_seed,seed,attack_feature_mode,learning_rate,weight_decay,n_wires,depth,ql_ent,ql_op,fm_kind,reps,fm_ent,fm_op,pad_mode,vector_train,vector_valid,vector_test,feature_angle_scale,source_run_id,ql_rev,batch_size,epochs,extra_feats,init_seed,split_seed,block_id,wdbc_data_path,wdbc_pca_components,role,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p01,tpr_at_requested_fpr_0p01_record_ci95_low,tpr_at_requested_fpr_0p01_record_ci95_high,tpr_at_requested_fpr_0p01_valid_bootstrap_replicates,attained_fpr_0p01,expected_false_positives_0p01,resolvable_0p01,tpr_at_requested_fpr_0p05,tpr_at_requested_fpr_0p05_record_ci95_low,tpr_at_requested_fpr_0p05_record_ci95_high,tpr_at_requested_fpr_0p05_valid_bootstrap_replicates,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,tpr_at_requested_fpr_0p1_record_ci95_low,tpr_at_requested_fpr_0p1_record_ci95_high,tpr_at_requested_fpr_0p1_valid_bootstrap_replicates,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
WDBC_QNN_eff_su2_r5_d2_b02,correctness,0.5123955167173253,0.4828362462006079,0.5401785714285714,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90262,80262,90262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90262,80262,wdbc_b02,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5123955167173252,0.0247910334346505,0.90625,0.8814589665653495,1.0,5,0.0,0.0,0.0,10000,0.0,3.29,True,0.0,0.0,0.0,10000,0.0,16.45,True,0.0,0.0,0.0,10000,0.0,32.9,True
WDBC_QNN_eff_su2_r5_d2_b02,max_probability,0.5460676291793313,0.4887333776595745,0.6020516717325228,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90262,80262,90262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90262,80262,wdbc_b02,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5757218844984803,0.1514437689969605,0.425,0.2735562310030395,0.9168891906738281,5,0.025,0.0,0.05625,10000,0.00911854103343465,3.29,True,0.075,0.025,0.15625,10000,0.0486322188449848,16.45,True,0.14375,0.0875,0.2125,10000,0.08814589665653495,32.9,True
WDBC_QNN_eff_su2_r5_d2_b03,loss,0.5503229483282674,0.4977179901215805,0.6018427051671732,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90263,80263,wdbc_b03,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5072853343465046,0.014570668693009159,0.64375,0.6291793313069909,-0.13417109847068787,5,0.025,0.0,0.05,10000,0.00911854103343465,3.29,True,0.0625,0.01875,0.10625,10000,0.04559270516717325,16.45,True,0.0875,0.04375,0.1375,10000,0.0911854103343465,32.9,True
WDBC_QNN_eff_su2_r5_d2_b03,entropy,0.514038753799392,0.4603310220364742,0.5675531914893617,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90263,80263,wdbc_b03,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5046542553191489,0.009308510638297851,0.5625,0.5531914893617021,-0.377580851316452,5,0.0125,0.0,0.05,10000,0.0060790273556231,3.29,True,0.0625,0.01875,0.10625,10000,0.0486322188449848,16.45,True,0.0875,0.04375,0.1375,10000,0.09422492401215805,32.9,True
WDBC_QNN_eff_su2_r5_d2_b03,confidence,0.514038753799392,0.4597064969604863,0.5679141337386018,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90263,80263,wdbc_b03,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5046542553191489,0.009308510638297851,0.5625,0.5531914893617021,0.8745829463005066,5,0.0125,0.0,0.05,10000,0.0060790273556231,3.29,True,0.0625,0.01875,0.10625,10000,0.0486322188449848,16.45,True,0.0875,0.04375,0.1375,10000,0.09422492401215805,32.9,True
WDBC_QNN_eff_su2_r5_d2_b03,margin,0.514038753799392,0.4614285714285714,0.5681245250759879,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90263,80263,wdbc_b03,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5046542553191489,0.009308510638297851,0.5625,0.5531914893617021,0.749165952205658,5,0.0125,0.0,0.05,10000,0.0060790273556231,3.29,True,0.0625,0.01875,0.10625,10000,0.0486322188449848,16.45,True,0.0875,0.04375,0.1375,10000,0.09422492401215805,32.9,True
WDBC_QNN_eff_su2_r5_d2_b03,correctness,0.5541983282674772,0.5297112462006079,0.5786854103343465,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90263,80263,wdbc_b03,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5541983282674772,0.10839665653495445,0.9625,0.8541033434650456,1.0,5,0.0,0.0,0.0,10000,0.0,3.29,True,0.0,0.0,0.0,10000,0.0,16.45,True,0.0,0.0,0.0,10000,0.0,32.9,True
WDBC_QNN_eff_su2_r5_d2_b03,max_probability,0.514038753799392,0.4601814209726444,0.5681834156534954,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90263,80263,wdbc_b03,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5046542553191489,0.009308510638297851,0.5625,0.5531914893617021,0.8745829463005066,5,0.0125,0.0,0.05,10000,0.0060790273556231,3.29,True,0.0625,0.01875,0.10625,10000,0.0486322188449848,16.45,True,0.0875,0.04375,0.1375,10000,0.09422492401215805,32.9,True
WDBC_QNN_eff_su2_r5_d2_b04,loss,0.5282769756838906,0.4734230148176292,0.5812898936170212,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b04/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90264,80264,90264,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90264,80264,wdbc_b04,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5372245440729483,0.07444908814589668,0.94375,0.8693009118541033,-0.4749809205532074,5,0.00625,0.0,0.03125,10000,0.00911854103343465,3.29,True,0.04375,0.012343750000000143,0.125,10000,0.0486322188449848,16.45,True,0.11875,0.0625,0.2125,10000,0.0911854103343465,32.9,True
WDBC_QNN_eff_su2_r5_d2_b04,entropy,0.5081686930091186,0.4523741451367781,0.5628428951367781,10000,160,329,0.00303951367781155,0=member,satml_runs/satml_wdbc_targeted/WDBC_QNN_eff_su2_r5_d2_b04/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90264,80264,90264,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,160,80,329,1.0,-1,False,16,100,False,90264,80264,wdbc_b04,data/wdbc/wdbc.csv.gz,6,eff_su2_r5_d2,eff_su2_r5_d2,,0.5272226443768997,0.05444528875379939,0.2125,0.1580547112462006,-0.026393519714474678,5,0.00625,0.0,0.03125,10000,0.00911854103343465,3.29,True,0.04375,0.0125,0.125,10000,0.0486322188449848,16.45,True,0.11875,0.0625,0.20625,10000,0.0911854103343465,32.9,True
