target_id,structural_cell_id,model_seed,attack,auc,mode,shots
MNIST_QNN_eff_su2_r1_d6_s44,eff_su2_r1_d6,44,lira_offline_fixed_variance,0.51901,noisy_shot,512
MNIST_QNN_eff_su2_r1_d6_s44,eff_su2_r1_d6,44,lira_online,0.5329200000000001,noisy_shot,512
MNIST_QNN_eff_su2_r1_d6_s44,eff_su2_r1_d6,44,lira_online_fixed_variance,0.53735,noisy_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,global_true_class_log_odds,0.53547,ideal_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_offline,0.515675,ideal_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_offline_fixed_variance,0.522455,ideal_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_online,0.53449,ideal_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_online_fixed_variance,0.53596,ideal_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,global_true_class_log_odds,0.53589,noisy_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_offline,0.5080600000000001,noisy_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_offline_fixed_variance,0.497675,noisy_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_online,0.5271250000000001,noisy_shot,512
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,45,lira_online_fixed_variance,0.52085,noisy_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,global_true_class_log_odds,0.64959,ideal_shot,512
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,43,lira_offline,0.5131349999999999,ideal_shot,512
