tuning_family,tuning_value,roles,eligible,minimum_task_roc_auc,minimum_task_average_precision,minimum_minority_class_recall,minimum_calibrated_balanced_accuracy,collapsed_targets,default_threshold_collapsed_targets
dp_qml,1.0,2,False,0.4127521651496581,0.18548273597525564,0.3552036199095023,0.41878147526414533,0,2
dp_qml,4.0,2,False,0.5945848024210177,0.2698406495255227,0.4638009049773756,0.553787487148508,0,2
dp_qml,8.0,2,False,0.5264159875463961,0.22653911416606815,0.2895927601809955,0.5151429782933219,0,2
l2,0.0001,2,True,0.6933416202464001,0.39917559516077383,0.667420814479638,0.634095516354068,0,0
l2,0.001,2,True,0.6930105309626566,0.40209192724135073,0.5158371040723982,0.6340417869527588,0,1
