outcome,attack,term,coefficient,cluster_se,ci95_low,ci95_high,n_targets,n_blocks,model,uncertainty
test_loss,target_model,reps_5_minus_1,0.33308272659778637,0.02908841109423731,0.25232034999720987,0.4138451031983629,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_loss,target_model,fm_z_minus_eff,0.07456467598676707,0.015159970843989234,0.032473849142031816,0.11665550283150232,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_loss,target_model,fm_zz_minus_eff,-0.005112496018409102,0.017202933209051183,-0.05287549572172392,0.042650503684905715,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,intercept,0.03164706043899091,0.03020110872409532,-0.05220466004957008,0.11549878092755189,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,reps_5_minus_1,0.1708232176800571,0.03735067973249154,0.06712110576097034,0.27452532959914383,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,fm_z_minus_eff,0.05601197946816687,0.031997241201441415,-0.03282660424540848,0.14485056318174222,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,fm_zz_minus_eff,0.09847331587225228,0.017067652652597947,0.05108591520773048,0.14586071653677407,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,intercept,0.5244949974670706,0.005149470380719792,0.5101977756341601,0.5387922192999811,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,reps_5_minus_1,-0.025400202634246027,0.008460352821297697,-0.048889907813184405,-0.0019104974553076498,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,fm_z_minus_eff,0.0027023176291789963,0.009197761686332306,-0.022834762783614185,0.028239398041972178,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,fm_zz_minus_eff,-0.014378799392097099,0.00948362860289001,-0.0407095736061049,0.011951974821910707,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,intercept,0.5112525329280636,0.009965239973283772,0.48358459118211844,0.5389204746740088,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,reps_5_minus_1,0.03158687943262345,0.009896251889269653,0.004110479314856252,0.059063279550390646,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,fm_z_minus_eff,0.010268806990881126,0.010698359390189675,-0.019434600571657905,0.039972214553420156,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,fm_zz_minus_eff,0.012112462006079266,0.007610981317993651,-0.009019009820016095,0.033243933832174624,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,intercept,0.5244921479229976,0.005149847536553579,0.5101938789376185,0.5387904169083767,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
