experiment,dataset,architecture,structural_cell_id,role,fm_kind,reps,depth,n_wires,train_acc_count,train_acc_mean,train_acc_std,valid_acc_count,valid_acc_mean,valid_acc_std,test_acc_count,test_acc_mean,test_acc_std,train_loss_count,train_loss_mean,train_loss_std,valid_loss_count,valid_loss_mean,valid_loss_std,test_loss_count,test_loss_mean,test_loss_std,gap_count,gap_mean,gap_std,error_bar_type
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,1,2,6,5,0.9299999952316285,0.025541028657455372,5,0.9075000047683716,0.0472691829382662,5,0.8887537956237793,0.030817724972698773,5,0.230894011259079,0.048356816850162125,5,0.30047522485256195,0.08212869842679958,5,0.292547333240509,0.05777462717561331,5,0.04124619960784912,0.013527864013410749,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,5,2,6,5,0.9412500023841858,0.027810745264274673,5,0.8900000095367432,0.04275656641757218,5,0.885106372833252,0.02077125901791613,5,0.19014135003089905,0.05352137065355537,5,0.2933145225048065,0.08347641867069196,5,0.32494168281555175,0.044471560434963704,5,0.05614362955093384,0.03546933151411383,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r1_d2,z_r1_d2,z,1,2,6,5,0.9887499928474426,0.016770520493651426,5,0.9549999952316284,0.01425220013249125,5,0.965349531173706,0.010659986518725944,5,0.037592213973402976,0.022451556247403297,5,0.0926503948867321,0.036069081127294296,5,0.09734420478343964,0.01842336012977129,5,0.02340046167373657,0.02618280115474522,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,z_r5_d2,z_r5_d2,z,5,2,6,5,0.80625,0.04881405207966968,5,0.6700000047683716,0.02738612624291992,5,0.6911854147911072,0.028642492127014942,5,0.42054854035377504,0.05687207089932827,5,0.6547810435295105,0.02884905912954572,5,0.6692741632461547,0.078069472592981,5,0.11506458520889282,0.07176623647141987,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r1_d2,zz_r1_d2,zz,1,2,6,5,0.99375,0.008838836872178043,5,0.9600000023841858,0.024044233485664642,5,0.9623100280761718,0.011084848010927085,5,0.034644437953829765,0.019963861012618992,5,0.0992508240044117,0.04145337368765451,5,0.10617007613182068,0.01592459549392623,5,0.03143997192382812,0.019772921210192165,mean ± sample SD across independent target-model seeds; fixed data seed
satml_wdbc_targeted,breast_cancer_wdbc,qnn,zz_r5_d2,zz_r5_d2,zz,5,2,6,5,0.9375,0.02538762515027387,5,0.8100000023841858,0.04275657687291852,5,0.8231003046035766,0.04606643823202195,5,0.17921929955482482,0.05462732616931407,5,0.4607883393764496,0.10939618944012315,5,0.5010939478874207,0.11318416748213511,5,0.11439969539642333,0.03740141433973041,mean ± sample SD across independent target-model seeds; fixed data seed
