source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_weight_decay,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,meta_feature_angle_scale,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,batch_size,epochs,extra_feats,learning_rate,weight_decay,seed,model_seed,init_seed,data_seed,split_seed,block_id,vector_train,vector_valid,vector_test,wdbc_data_path,wdbc_pca_components,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r1_d2_b03/target_attack_data.pt,ok,,WDBC_QNN_z_r1_d2_b03,1.0,0.021241147071123123,0.949999988079071,0.09153499454259872,0.954407274723053,0.1173262894153595,0.04559272527694702,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r1_d2_b03,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,160,80,329,1.0,60,46,14,0,58,48,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r1_d2,z_r1_d2,z,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r1_d2_b04/target_attack_data.pt,ok,,WDBC_QNN_z_r1_d2_b04,1.0,0.018299836665391922,0.949999988079071,0.12838570773601532,0.9665653705596924,0.09816808253526688,0.03343462944030762,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r1_d2_b04,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90264,80264,90264,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,160,80,329,1.0,60,46,14,0,58,48,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r1_d2,z_r1_d2,z,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r1_d2_b05/target_attack_data.pt,ok,,WDBC_QNN_z_r1_d2_b05,0.981249988079071,0.057043254375457764,0.9375,0.12644143402576447,0.975683867931366,0.07862502336502075,0.005566120147705078,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r1_d2_b05,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90265,80265,90265,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,160,80,329,1.0,60,46,14,0,58,48,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r1_d2,z_r1_d2,z,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r5_d2_b01/target_attack_data.pt,ok,,WDBC_QNN_z_r5_d2_b01,0.8374999761581421,0.37447768449783325,0.6875,0.6487260460853577,0.6534954309463501,0.747596025466919,0.184004545211792,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r5_d2_b01,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90261,80261,90261,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,5,none,none,wrap,160,80,329,1.0,60,46,14,0,106,96,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90261,90261,90261,80261,80261,wdbc_b01,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r5_d2,z_r5_d2,z,,5,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r5_d2_b02/target_attack_data.pt,ok,,WDBC_QNN_z_r5_d2_b02,0.8500000238418579,0.36523133516311646,0.6875,0.6520928144454956,0.6990881562232971,0.7182374596595764,0.1509118676185608,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r5_d2_b02,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90262,80262,90262,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,5,none,none,wrap,160,80,329,1.0,60,46,14,0,106,96,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90262,90262,90262,80262,80262,wdbc_b02,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r5_d2,z_r5_d2,z,,5,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r5_d2_b03/target_attack_data.pt,ok,,WDBC_QNN_z_r5_d2_b03,0.8374999761581421,0.40072059631347656,0.6875,0.6569443941116333,0.6747720241546631,0.7067499756813049,0.162727952003479,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r5_d2_b03,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,5,none,none,wrap,160,80,329,1.0,60,46,14,0,106,96,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r5_d2,z_r5_d2,z,,5,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r5_d2_b04/target_attack_data.pt,ok,,WDBC_QNN_z_r5_d2_b04,0.75,0.48393192887306213,0.6625000238418579,0.6177048087120056,0.7294833064079285,0.5660355091094971,0.020516693592071533,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r5_d2_b04,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90264,80264,90264,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,5,none,none,wrap,160,80,329,1.0,60,46,14,0,106,96,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r5_d2,z_r5_d2,z,,5,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_z_r5_d2_b05/target_attack_data.pt,ok,,WDBC_QNN_z_r5_d2_b05,0.7562500238418579,0.4783811569213867,0.625,0.6984371542930603,0.6990881562232971,0.6077518463134766,0.05716186761856079,0=member,160,329,0.00303951367781155,WDBC_QNN_z_r5_d2_b05,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90265,80265,90265,0=member,pv+stats,0.05,0.0,6,2,linear,crz,z,5,none,none,wrap,160,80,329,1.0,60,46,14,0,106,96,10,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,z_r5_d2,z_r5_d2,z,,5,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r1_d2_b01/target_attack_data.pt,ok,,WDBC_QNN_zz_r1_d2_b01,0.987500011920929,0.054779816418886185,0.987500011920929,0.06693349778652191,0.9726443886756897,0.097457155585289,0.014855623245239258,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r1_d2_b01,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90261,80261,90261,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,1,linear,none,wrap,160,80,329,1.0,60,46,14,0,73,53,20,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90261,90261,90261,80261,80261,wdbc_b01,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r1_d2,zz_r1_d2,zz,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r1_d2_b02/target_attack_data.pt,ok,,WDBC_QNN_zz_r1_d2_b02,1.0,0.02262168750166893,0.9750000238418579,0.04586781933903694,0.9513677954673767,0.1118161529302597,0.04863220453262329,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r1_d2_b02,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90262,80262,90262,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,1,linear,none,wrap,160,80,329,1.0,60,46,14,0,73,53,20,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90262,90262,90262,80262,80262,wdbc_b02,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r1_d2,zz_r1_d2,zz,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r1_d2_b03/target_attack_data.pt,ok,,WDBC_QNN_zz_r1_d2_b03,1.0,0.021996980533003807,0.949999988079071,0.10941366851329803,0.954407274723053,0.12339963763952255,0.04559272527694702,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r1_d2_b03,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,1,linear,none,wrap,160,80,329,1.0,60,46,14,0,73,53,20,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r1_d2,zz_r1_d2,zz,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r1_d2_b04/target_attack_data.pt,ok,,WDBC_QNN_zz_r1_d2_b04,1.0,0.016007278114557266,0.9624999761581421,0.14042064547538757,0.957446813583374,0.11504849046468735,0.04255318641662598,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r1_d2_b04,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90264,80264,90264,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,1,linear,none,wrap,160,80,329,1.0,60,46,14,0,73,53,20,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90264,90264,90264,80264,80264,wdbc_b04,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r1_d2,zz_r1_d2,zz,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r1_d2_b05/target_attack_data.pt,ok,,WDBC_QNN_zz_r1_d2_b05,0.981249988079071,0.05781642720103264,0.925000011920929,0.13361848890781403,0.975683867931366,0.08312894403934479,0.005566120147705078,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r1_d2_b05,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90265,80265,90265,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,1,linear,none,wrap,160,80,329,1.0,60,46,14,0,73,53,20,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90265,90265,90265,80265,80265,wdbc_b05,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r1_d2,zz_r1_d2,zz,,1,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r5_d2_b01/target_attack_data.pt,ok,,WDBC_QNN_zz_r5_d2_b01,0.949999988079071,0.18474039435386658,0.75,0.5867077112197876,0.7750759720802307,0.5796744227409363,0.17492401599884033,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r5_d2_b01,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90261,80261,90261,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,5,linear,none,wrap,160,80,329,1.0,60,46,14,0,181,121,60,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90261,90261,90261,80261,80261,wdbc_b01,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r5_d2,zz_r5_d2,zz,,5,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r5_d2_b02/target_attack_data.pt,ok,,WDBC_QNN_zz_r5_d2_b02,0.9312499761581421,0.21730688214302063,0.824999988079071,0.39043188095092773,0.8145896792411804,0.4661240577697754,0.11666029691696167,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r5_d2_b02,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90262,80262,90262,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,5,linear,none,wrap,160,80,329,1.0,60,46,14,0,181,121,60,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90262,90262,90262,80262,80262,wdbc_b02,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r5_d2,zz_r5_d2,zz,,5,2,1.0
satml_runs/satml_wdbc_targeted/WDBC_QNN_zz_r5_d2_b03/target_attack_data.pt,ok,,WDBC_QNN_zz_r5_d2_b03,0.918749988079071,0.157048761844635,0.824999988079071,0.5568002462387085,0.8085106611251831,0.6298794150352478,0.11023932695388794,0=member,160,329,0.00303951367781155,WDBC_QNN_zz_r5_d2_b03,satml_wdbc_targeted,breast_cancer_wdbc,qnn,qnn,-1,90263,80263,90263,0=member,pv+stats,0.05,0.0,6,2,linear,crz,zz,5,linear,none,wrap,160,80,329,1.0,60,46,14,0,181,121,60,fixed encoder plus downstream variational circuit,,satml_wdbc_targeted,breast_cancer_wdbc,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,90263,90263,90263,80263,80263,wdbc_b03,160,80,329,data/wdbc/wdbc.csv.gz,6,zz_r5_d2,zz_r5_d2,zz,,5,2,1.0
