dataset,fm_kind,data_seed,status,operation_count_r1,operation_count_r5,operation_count_ratio_r5_over_r1,operation_signature_equal,state_signature_equal,integrity_pass
credit_default,eff_su2,20261,pass,17.0,85.0,5.0,False,False,True
credit_default,eff_su2,20262,pass,17.0,85.0,5.0,False,False,True
credit_default,eff_su2,20263,pass,17.0,85.0,5.0,False,False,True
credit_default,eff_su2,20264,pass,17.0,85.0,5.0,False,False,True
credit_default,eff_su2,20265,pass,17.0,85.0,5.0,False,False,True
credit_default,eff_su2,20266,pass,17.0,85.0,5.0,False,False,True
credit_default,eff_su2,20267,pass,17.0,85.0,5.0,False,False,True
credit_default,eff_su2,20268,pass,17.0,85.0,5.0,False,False,True
credit_default,z,20261,pass,12.0,60.0,5.0,False,False,True
credit_default,z,20262,pass,12.0,60.0,5.0,False,False,True
credit_default,z,20263,pass,12.0,60.0,5.0,False,False,True
credit_default,z,20264,pass,12.0,60.0,5.0,False,False,True
credit_default,z,20265,pass,12.0,60.0,5.0,False,False,True
credit_default,z,20266,pass,12.0,60.0,5.0,False,False,True
credit_default,z,20267,pass,12.0,60.0,5.0,False,False,True
credit_default,z,20268,pass,12.0,60.0,5.0,False,False,True
credit_default,zz,20261,pass,27.0,135.0,5.0,False,False,True
credit_default,zz,20262,pass,27.0,135.0,5.0,False,False,True
credit_default,zz,20263,pass,27.0,135.0,5.0,False,False,True
credit_default,zz,20264,pass,27.0,135.0,5.0,False,False,True
credit_default,zz,20265,pass,27.0,135.0,5.0,False,False,True
credit_default,zz,20266,pass,27.0,135.0,5.0,False,False,True
credit_default,zz,20267,pass,27.0,135.0,5.0,False,False,True
credit_default,zz,20268,pass,27.0,135.0,5.0,False,False,True
