experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,learning_rate,weight_decay,credit_data_path,credit_pca_components,block_id,seed,model_seed,init_seed,data_seed,split_seed,target_id,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale,defense_structural_role,source_target_id,training_defense,tuning_family,tuning_value,dp_target_epsilon,dp_noise_multiplier,dp_optimizer,dp_batch_size,dp_epochs,dp_learning_rate,dp_max_grad_norm,dp_delta,dp_scheduler,dp_loss,dp_protocol
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.001,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p001,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b01,l2,l2,0.001,,,,,,,,,,,
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0001,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p0001,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b01,l2,l2,0.0001,,,,,,,,,,,
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps1,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b01,dp_qml,dp_qml,1.0,1.0,,rmsprop,32.0,30.0,0.05,1.0,1e-05,none,unweighted_nll,watkins_faithful_core_v2
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps4,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b01,dp_qml,dp_qml,4.0,4.0,,rmsprop,32.0,30.0,0.05,1.0,1e-05,none,unweighted_nll,watkins_faithful_core_v2
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps8,low,eff_su2_r1_d6,eff_su2,cx,1,6,1.0,low,PETS_CREDIT_low_eff_su2_r1_d6_b01,dp_qml,dp_qml,8.0,8.0,,rmsprop,32.0,30.0,0.05,1.0,1e-05,none,unweighted_nll,watkins_faithful_core_v2
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.001,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p001,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high,PETS_CREDIT_high_eff_su2_r5_d6_b01,l2,l2,0.001,,,,,,,,,,,
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0001,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high,PETS_CREDIT_high_eff_su2_r5_d6_b01,l2,l2,0.0001,,,,,,,,,,,
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps1,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high,PETS_CREDIT_high_eff_su2_r5_d6_b01,dp_qml,dp_qml,1.0,1.0,,rmsprop,32.0,30.0,0.05,1.0,1e-05,none,unweighted_nll,watkins_faithful_core_v2
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps4,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high,PETS_CREDIT_high_eff_su2_r5_d6_b01,dp_qml,dp_qml,4.0,4.0,,rmsprop,32.0,30.0,0.05,1.0,1e-05,none,unweighted_nll,watkins_faithful_core_v2
pets_credit_defense_tuning,credit_default,qnn,-1,6,wrap,linear,linear,crz,False,200,200,2000,16,100,False,0.05,0.0,data/credit_default/credit_default.csv.gz,6,pets_b01,80261,80261,80261,70261,70261,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps8,high,eff_su2_r5_d6,eff_su2,cx,5,6,1.0,high,PETS_CREDIT_high_eff_su2_r5_d6_b01,dp_qml,dp_qml,8.0,8.0,,rmsprop,32.0,30.0,0.05,1.0,1e-05,none,unweighted_nll,watkins_faithful_core_v2
