outcome,attack,term,coefficient,cluster_se,ci95_low,ci95_high,n_targets,n_blocks,model,uncertainty
train_loss,target_model,intercept,0.47137577800701147,0.005238564614702849,0.4589885410755493,0.4837630149384736,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_loss,target_model,reps_5_minus_1,-0.05670608580112456,0.006121896167681017,-0.07118206994495602,-0.0422301016572931,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_loss,target_model,depth_6_minus_2,-0.03199163327614435,0.00414983725863715,-0.04180443909808107,-0.022178827454207628,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_loss,target_model,fm_z_minus_eff,-0.01227779220789676,0.0055931337682246195,-0.02550345195864323,0.0009478675428497112,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_loss,target_model,fm_zz_minus_eff,-0.027363114058971467,0.004025149503556962,-0.03688108019136892,-0.017845147926574018,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_loss,target_model,intercept,0.474737096267443,0.013946899255458575,0.44175792005346426,0.5077162724814217,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_loss,target_model,reps_5_minus_1,0.029805500681201594,0.009183610977976164,0.00808971144548543,0.05152128991691776,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_loss,target_model,depth_6_minus_2,0.0014826860278845944,0.005224852955985247,-0.010872127982844367,0.013837500038613556,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_loss,target_model,fm_z_minus_eff,0.01598669961094826,0.013769846653722473,-0.01657381372715765,0.048547212949054175,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_loss,target_model,fm_zz_minus_eff,0.012343936599791005,0.015481633866043516,-0.024264310294135654,0.04895218349371766,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_loss,target_model,intercept,0.4796960661187779,0.006971178051498607,0.463211849436033,0.4961802828015228,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_loss,target_model,reps_5_minus_1,0.03804956749081609,0.009520982143683542,0.015536022214880131,0.060563112766752046,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_loss,target_model,depth_6_minus_2,0.0042967237532138824,0.002761694490095896,-0.0022336460135570424,0.010827093519984808,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_loss,target_model,fm_z_minus_eff,0.015313550829887092,0.0048004201468656,0.003962360932774097,0.026664740727000084,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_loss,target_model,fm_zz_minus_eff,0.022968680597841757,0.0053129303176148055,0.010405596721787234,0.03553176447389628,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,intercept,0.008320288111766438,0.011766607517064017,-0.019503317382057093,0.03614389360558997,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,reps_5_minus_1,0.09475565329194069,0.014924582242489534,0.05946462417645891,0.13004668240742245,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,depth_6_minus_2,0.03628835702935852,0.006725854626598764,0.020384238066615552,0.05219247599210149,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,fm_z_minus_eff,0.027591343037783857,0.010141251770554806,0.003611093159621697,0.05157159291594601,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
loss_gap,target_model,fm_zz_minus_eff,0.0503317946568132,0.008954817196086984,0.02915701674636582,0.07150657256726058,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,intercept,0.49384299479166777,0.006464094503258341,0.4785578401646755,0.50912814941866,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,reps_5_minus_1,0.017493906249999962,0.005405375170008457,0.004712225034040493,0.03027558746595943,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,depth_6_minus_2,0.005412708333333405,0.002462737582514646,-0.0004107406795897132,0.011236157346256524,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,fm_z_minus_eff,0.008102109374999817,0.003310297477062214,0.0002744996807520963,0.01592971906924754,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,confidence,fm_zz_minus_eff,0.00803242187500002,0.0059257354376648814,-0.005979715849425141,0.02204455959942518,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,intercept,0.5009609375000008,0.004262815121994218,0.49088098148247683,0.5110408935175248,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,reps_5_minus_1,0.02477083333333331,0.0052118992894639405,0.012446649876607676,0.03709501679005894,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,depth_6_minus_2,0.005697916666666969,0.0017744292991659447,0.0015020581131223879,0.009893775220211551,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,fm_z_minus_eff,0.006882812499999797,0.0021673201249780907,0.001757914771511499,0.012007710228488094,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,correctness,fm_zz_minus_eff,0.011156250000000024,0.002456432394432696,0.005347710387726339,0.01696478961227371,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,intercept,0.49384315104166765,0.00646405144520592,0.4785580982307903,0.509128203852545,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,reps_5_minus_1,0.017493776041666652,0.005405355924749013,0.004712140333514393,0.03027541174981891,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,depth_6_minus_2,0.005412682291666693,0.0024626906527482925,-0.00041065574999278424,0.01123602033332617,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,fm_z_minus_eff,0.008101992187499832,0.0033102837169029556,0.00027441503085839924,0.015929569344141265,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,entropy,fm_zz_minus_eff,0.008032304687500004,0.005925707165961496,-0.0059797661849696985,0.022044375559969707,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,intercept,0.5029832291666677,0.005638266504753905,0.48965084745258336,0.5163156108807521,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,reps_5_minus_1,0.03512463541666663,0.005148300049792176,0.022950840264451714,0.047298430568881555,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,depth_6_minus_2,0.012595989583333633,0.0025192598989412025,0.006638886530232079,0.01855309263643519,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,fm_z_minus_eff,0.013932343749999765,0.003250876297296358,0.006245242818484643,0.021619444681514888,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,loss,fm_zz_minus_eff,0.017088593750000033,0.0045924964478948884,0.0062290652739540615,0.027948122226046007,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,intercept,0.49384304687500097,0.006464065625186786,0.478557960533797,0.5091281332162049,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,reps_5_minus_1,0.01749382812499997,0.005405343610545941,0.004712221535310937,0.030275434714689006,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,depth_6_minus_2,0.005412734375000172,0.002462741000949544,-0.00041072272123700813,0.011236191471237352,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,fm_z_minus_eff,0.008102070312499808,0.0033102969868431184,0.0002744617774360497,0.015929678847563567,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,margin,fm_zz_minus_eff,0.008032382812500008,0.005925710333124872,-0.005979695549121023,0.02204446117412104,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,intercept,0.49384299479166777,0.006464094503258341,0.4785578401646755,0.50912814941866,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,reps_5_minus_1,0.017493906249999962,0.005405375170008457,0.004712225034040493,0.03027558746595943,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,depth_6_minus_2,0.005412708333333405,0.002462737582514646,-0.0004107406795897132,0.011236157346256524,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,fm_z_minus_eff,0.008102109374999817,0.003310297477062214,0.0002744996807520963,0.01592971906924754,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
auc,max_probability,fm_zz_minus_eff,0.00803242187500002,0.0059257354376648814,-0.005979715849425141,0.02204455959942518,96,8,outcome ~ block fixed effects + reps_5_minus_1 + depth_6_minus_2 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
