outcome,attack,fm_kind,reps,contrast,block_id,block_effect
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b03,-0.0004999637603760002
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b04,0.0265000462532042
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b05,0.0024999976158143
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b01,0.0264999866485595
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b02,0.017499983310699498
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b03,0.030500054359435997
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b04,0.041999995708465396
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b05,0.0160000920295716
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b01,-0.0359999537467957
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b02,-0.0379999876022339
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b03,-0.0369999408721923
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b04,-0.0945000052452087
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b05,-0.027999997138977
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b01,0.0379999876022338
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b02,-0.010499954223632799
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b03,0.032500028610229506
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b04,-0.0005000233650207103
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b05,0.052999973297119196
gap,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b01,-0.0304999947547912
gap,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b02,-0.002000033855438302
gap,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b03,-0.0075000524520874
gap,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b04,0.0109999775886535
gap,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b05,-0.0149999856948853
gap,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b01,0.027999997138977096
gap,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b02,0.0399999618530273
gap,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b03,0.0219999551773071
gap,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b04,0.0620000362396239
gap,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b05,0.0130000114440918
gap,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b01,0.013999998569488498
gap,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b02,-0.004000008106231703
gap,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b03,-0.050000011920929
gap,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b04,-0.055499970912933405
gap,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b05,-0.0454999804496765
gap,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b01,0.0274999737739563
gap,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b02,0.03149998188018799
gap,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b03,0.010499954223632799
gap,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b04,-0.0324999690055847
gap,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b05,-0.0005000233650206964
gap,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b01,-0.0229999423027038
gap,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b02,-0.007499992847442599
gap,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b03,-0.0044999718666076
gap,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b04,-0.0404999852180481
gap,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b05,-0.0259999632835388
gap,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b01,0.009500026702880898
gap,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b02,0.0500000715255738
gap,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b03,0.0360000729560853
gap,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b04,0.038500010967254694
gap,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b05,-0.013999998569488501
gap,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b01,-0.0214999914169312
gap,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b02,-0.0009999871253967008
gap,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b03,-0.0984999537467956
gap,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b04,-0.007499992847442599
gap,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b05,-0.0494999885559082
gap,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b01,-0.025499999523162904
gap,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b02,0.018500089645385798
gap,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b03,-0.015500009059906006
gap,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b04,0.0514999628067017
gap,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b05,0.045000076293945396
test_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b01,-0.008000016212463379
test_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b02,0.0065000057220458984
test_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b03,0.0004999637603759766
test_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b04,0.0034999847412109375
test_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b05,-0.002499997615814209
test_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b01,-0.016499996185302734
test_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b02,0.002499997615814209
test_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b03,-0.010500013828277588
test_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b04,0.008000016212463379
test_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b05,-0.01100003719329834
test_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b01,0.010999977588653564
test_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b02,0.003000020980834961
test_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b03,0.006999969482421875
test_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b04,0.019500017166137695
test_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b05,0.0029999613761901855
test_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b01,-0.02799999713897705
test_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b02,-0.00950002670288086
test_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b03,-0.002499997615814209
test_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b04,-0.03450000286102295
test_acc,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b05,-0.02799999713897705
test_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b01,-0.004500031471252441
test_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b02,0.0020000338554382324
test_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b03,0.002499997615814209
test_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b04,-0.010999977588653564
test_acc,target_model,z,1,alpha 0.5 - alpha 1.0,credit_b05,0.004999995231628418
test_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b01,-0.013000011444091797
test_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b02,-0.014999985694885254
test_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b03,-0.01699995994567871
test_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b04,-0.012000024318695068
test_acc,target_model,z,1,alpha 2.0 - alpha 1.0,credit_b05,-0.008000016212463379
test_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b01,0.0059999823570251465
test_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b02,0.009000003337860107
test_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b03,0.01500004529953003
test_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b04,0.040499985218048096
test_acc,target_model,z,5,alpha 0.5 - alpha 1.0,credit_b05,0.020500004291534424
test_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b01,-0.017499983310699463
test_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b02,-0.02649998664855957
test_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b03,-0.010499954223632812
test_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b04,0.02249997854232788
test_acc,target_model,z,5,alpha 2.0 - alpha 1.0,credit_b05,-0.004499971866607666
test_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b01,0.0029999613761901855
test_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b02,0.002499997615814209
test_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b03,0.009499967098236084
test_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b04,-0.00950002670288086
test_acc,target_model,zz,1,alpha 0.5 - alpha 1.0,credit_b05,0.0009999871253967285
test_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b01,-0.004500031471252441
test_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b02,-0.010000050067901611
test_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b03,-0.006000041961669922
test_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b04,-0.008499979972839355
test_acc,target_model,zz,1,alpha 2.0 - alpha 1.0,credit_b05,-0.0059999823570251465
test_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b01,0.011500000953674316
test_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b02,0.0009999871253967285
test_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b03,0.03849995136260986
test_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b04,0.02249997854232788
test_acc,target_model,zz,5,alpha 0.5 - alpha 1.0,credit_b05,0.02950000762939453
test_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b01,-0.02950000762939453
test_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b02,-0.003500044345855713
test_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b03,-0.00950002670288086
test_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b04,-0.036499977111816406
test_acc,target_model,zz,5,alpha 2.0 - alpha 1.0,credit_b05,-0.01500004529953003
valid_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b01,-0.010000050067901611
valid_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b02,-0.020000040531158447
valid_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b03,0.004999995231628418
valid_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b04,-0.004999995231628418
valid_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b05,0.0
