fm_kind,reps,depth,n_targets,trainable_parameters_mean,trainable_parameters_unique,quantum_gate_count_mean,quantum_gate_count_unique
eff_su2,1,2,5,74.0,1,63.0,1
eff_su2,1,6,5,166.0,1,155.0,1
eff_su2,5,2,5,74.0,1,131.0,1
eff_su2,5,6,5,166.0,1,223.0,1
z,1,2,5,74.0,1,82.0,1
z,1,6,5,166.0,1,174.0,1
z,5,2,5,74.0,1,226.0,1
z,5,6,5,166.0,1,318.0,1
zz,1,2,5,74.0,1,127.0,1
zz,1,6,5,166.0,1,219.0,1
zz,5,2,5,74.0,1,451.0,1
zz,5,6,5,166.0,1,543.0,1
