experiment,dataset,architecture,structural_cell_id,role,fm_kind,reps,depth,n_wires,train_acc_count,train_acc_mean,train_acc_std,valid_acc_count,valid_acc_mean,valid_acc_std,test_acc_count,test_acc_mean,test_acc_std,train_loss_count,train_loss_mean,train_loss_std,valid_loss_count,valid_loss_mean,valid_loss_std,test_loss_count,test_loss_mean,test_loss_std,gap_count,gap_mean,gap_std,error_bar_type
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,1,2,6,5,0.8850000023841857,0.027613397794183706,5,0.8479999780654908,0.020796641021032614,5,0.8389999985694885,0.01055342242993306,5,0.31979904472827914,0.05049054627818061,5,0.45023720860481264,0.07770884007185623,5,0.4712329387664795,0.032056114965884744,5,0.046000003814697266,0.0249774674773001,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,1,6,6,5,0.9220000028610229,0.0201866262264644,5,0.8679999947547913,0.025149551210517575,5,0.8536999821662903,0.008386002262751902,5,0.22476301491260528,0.028610598090672942,5,0.44434438943862914,0.11557347988589801,5,0.44277905821800234,0.04236946327786925,5,0.06830002069473266,0.02210939473236755,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,5,2,6,5,0.8690000057220459,0.010839731356756152,5,0.7510000109672547,0.03267260741367224,5,0.7362000107765198,0.013755009741647152,5,0.3848907172679901,0.03084691931942803,5,0.7780392289161682,0.11692889345953973,5,0.7793990135192871,0.025369403026112493,5,0.13279999494552613,0.011065718605033652,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,5,6,6,5,0.9759999990463257,0.01850676766535277,5,0.7830000042915344,0.047513162821960775,5,0.7815999984741211,0.004839928351205442,5,0.12488880008459091,0.04136465393970433,5,0.6766022324562073,0.12025267896163976,5,0.6961091995239258,0.03178635348877499,5,0.19440000057220458,0.017462113379174804,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,z_r1_d2,z_r1_d2,z,1,2,6,5,0.8939999938011169,0.03748331415569001,5,0.8139999985694886,0.041140003658928136,5,0.7991000056266785,0.010853571693307596,5,0.31920185983181,0.10344728487999838,5,0.6352170467376709,0.18808314232585527,5,0.693118441104889,0.08506863025105031,5,0.09489998817443848,0.04145837959953705,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,z_r1_d6,z_r1_d6,z,1,6,6,5,0.9519999861717224,0.01717554765742338,5,0.8300000071525574,0.023717084964424488,5,0.8126000046730042,0.007577930610002743,5,0.15568287968635558,0.03775351516845569,5,0.603808319568634,0.13016387800757237,5,0.6603154182434082,0.057841229858239335,5,0.13939998149871827,0.014068566016874093,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,z_r5_d2,z_r5_d2,z,5,2,6,5,0.6920000076293945,0.046448901436425286,5,0.546999990940094,0.04724934528038732,5,0.5425000071525574,0.021227946674720777,5,0.7903615355491638,0.10739885677409815,5,1.221634531021118,0.15415841479450335,5,1.2440101861953736,0.03412355865099323,5,0.14950000047683715,0.041162776839349415,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,z_r5_d6,z_r5_d6,z,5,6,6,5,0.8769999980926514,0.0216794627135123,5,0.5559999942779541,0.053197741478381376,5,0.5527999877929688,0.027918631640980962,5,0.3773788928985596,0.0417096802957737,5,1.4251474380493163,0.13590739564346438,5,1.5006550550460815,0.0801753195731424,5,0.3242000102996826,0.03776173134660648,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,zz_r1_d2,zz_r1_d2,zz,1,2,6,5,0.7859999895095825,0.010839756100992288,5,0.6320000171661377,0.057183911664356026,5,0.6371000051498413,0.013630841759723676,5,0.5574227571487427,0.01660569090083373,5,1.0172373294830321,0.16062209443077677,5,1.0418743252754212,0.06886602431908125,5,0.14889998435974122,0.01853510012398854,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,zz_r1_d6,zz_r1_d6,zz,1,6,6,5,0.9760000109672546,0.008944281706102866,5,0.6870000004768372,0.018907652369429394,5,0.6786000013351441,0.026190188437428496,5,0.17170602083206177,0.03305952715209158,5,1.0880077958106995,0.12670432238645013,5,1.1094371557235718,0.13859417862274218,5,0.2974000096321106,0.027971897450268495,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,zz_r5_d2,zz_r5_d2,zz,5,2,6,5,0.5930000066757202,0.014404878621409,5,0.3959999978542328,0.038794325518561504,5,0.37429999709129336,0.031154052812626825,5,0.9541575908660889,0.03882628593946869,5,1.4250442504882812,0.05934019119395584,5,1.5203988313674928,0.06125061386700637,5,0.21870000958442687,0.04167224966023557,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,zz_r5_d6,zz_r5_d6,zz,5,6,6,5,0.847000002861023,0.01440487138024732,5,0.3730000019073486,0.02018663028638834,5,0.37679999470710757,0.011568279352514265,5,0.46873925924301146,0.022267936857916854,5,1.8622103691101075,0.10759407557067259,5,1.9013672351837159,0.013698885159814302,5,0.4702000081539154,0.01484335940963115,mean ± sample SD across independent target-model seeds; fixed data seed
