source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_weight_decay,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,meta_feature_angle_scale,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,batch_size,epochs,extra_feats,learning_rate,weight_decay,seed,model_seed,init_seed,data_seed,split_seed,block_id,vector_train,vector_valid,vector_test,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d2_b01/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d2_b01,0.8650000095367432,0.3747943639755249,0.7250000238418579,0.7915346026420593,0.7505000233650208,0.7598437666893005,0.11449998617172241,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d2_b01,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d2_b02/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d2_b02,0.8799999952316284,0.3744122385978699,0.7749999761581421,0.7424330115318298,0.7384999990463257,0.8121885061264038,0.14149999618530273,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d2_b02,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d2_b03/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d2_b03,0.8550000190734863,0.3957442343235016,0.7400000095367432,0.7668218016624451,0.7204999923706055,0.7788942456245422,0.13450002670288086,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d2_b03,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70263,60263,70263,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d2_b04/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d2_b04,0.8799999952316284,0.34834277629852295,0.7200000286102295,0.9568118453025818,0.7480000257492065,0.7957894206047058,0.13199996948242188,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d2_b04,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70264,60264,70264,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70264,70264,70264,60264,60264,fashion_b04,200,200,2000,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d2_b05/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d2_b05,0.8650000095367432,0.43115997314453125,0.7950000166893005,0.632594883441925,0.7235000133514404,0.7502791285514832,0.14149999618530273,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d2_b05,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70265,60265,70265,0=member,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,74,46,28,0,131,96,35,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70265,70265,70265,60265,60265,fashion_b05,200,200,2000,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d6_b01/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d6_b01,0.9649999737739563,0.15434212982654572,0.7950000166893005,0.6563249230384827,0.7879999876022339,0.7110764384269714,0.1769999861717224,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d6_b01,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,cx,5,6,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d6_b02/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d6_b02,0.949999988079071,0.17321565747261047,0.8050000071525574,0.6604502201080322,0.7745000123977661,0.7250990271568298,0.17549997568130493,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d6_b02,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,cx,5,6,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d6_b03/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d6_b03,0.9900000095367432,0.1031099483370781,0.7950000166893005,0.6263746023178101,0.7829999923706055,0.6784884929656982,0.2070000171661377,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d6_b03,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70263,60263,70263,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,cx,5,6,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d6_b04/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d6_b04,0.9950000047683716,0.06861481070518494,0.699999988079071,0.8794506788253784,0.781000018119812,0.7169981002807617,0.21399998664855957,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d6_b04,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70264,60264,70264,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70264,70264,70264,60264,60264,fashion_b04,200,200,2000,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,cx,5,6,1.0
satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r5_d6_b05/target_attack_data.pt,ok,,FASHION_QNN_eff_su2_r5_d6_b05,0.9800000190734863,0.12516145408153534,0.8199999928474426,0.560410737991333,0.781499981880188,0.6488839387893677,0.19850003719329834,0=member,200,2000,0.0005,FASHION_QNN_eff_su2_r5_d6_b05,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70265,60265,70265,0=member,pv+stats,0.05,0.0,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,2000,1.0,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70265,70265,70265,60265,60265,fashion_b05,200,200,2000,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,cx,5,6,1.0
