timestamp_utc	stage	status	detail
2026-08-23T06:00:32Z	preflight	running	checking environment and immutable inputs
2026-08-23T06:00:53Z	preflight	complete	credit=96/96; imported_mnist=36; snapshot=/home/najeeb/qurift_satML/satml_results/backend_snapshots/unattended_20260818T134940Z
2026-08-23T06:00:53Z	prepare	skipped	completion marker exists
2026-08-23T06:00:53Z	credit_factorial_analysis	skipped	completion marker exists
2026-08-23T06:00:53Z	credit_geometry	skipped	completion marker exists
2026-08-23T06:00:53Z	credit_mechanism	skipped	completion marker exists
2026-08-23T06:00:53Z	fashion_factorial	skipped	completion marker exists
2026-08-23T06:00:53Z	fashion_analysis	skipped	completion marker exists
2026-08-23T06:00:53Z	wdbc_targeted	skipped	completion marker exists
2026-08-23T06:00:53Z	wdbc_analysis	skipped	completion marker exists
2026-08-23T06:00:53Z	added_geometry	skipped	completion marker exists
2026-08-23T06:00:53Z	added_mechanisms	skipped	completion marker exists
2026-08-23T06:00:53Z	credit_attacks	skipped	completion marker exists
2026-08-23T06:00:53Z	added_attacks	skipped	completion marker exists
2026-08-23T06:00:53Z	encoding_scale	running	bash commands/satml_run_encoding_scale.sh
2026-08-23T06:00:56Z	encoding_scale	complete	bash commands/satml_run_encoding_scale.sh
2026-08-23T06:00:56Z	selector_freeze	running	bash commands/satml_build_selector.sh
2026-08-23T06:00:56Z	selector_freeze	complete	bash commands/satml_build_selector.sh
2026-08-23T06:00:56Z	selector_fresh	running	bash commands/satml_run_fresh_selector.sh
2026-08-23T06:16:30Z	selector_fresh	failed	exit_code=2; command=bash commands/satml_run_fresh_selector.sh
2026-08-23T06:16:30Z	pipeline	failed	stage=selector_fresh; exit_code=2
