target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,dataset,architecture,model_type,run_id,model_seed,data_seed,seed,attack_feature_mode,learning_rate,weight_decay,n_wires,depth,ql_ent,ql_op,fm_kind,reps,fm_ent,fm_op,pad_mode,vector_train,vector_valid,vector_test,feature_angle_scale,source_run_id,ql_rev,batch_size,epochs,extra_feats,init_seed,split_seed,block_id,role,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p01,tpr_at_requested_fpr_0p01_record_ci95_low,tpr_at_requested_fpr_0p01_record_ci95_high,tpr_at_requested_fpr_0p01_valid_bootstrap_replicates,attained_fpr_0p01,expected_false_positives_0p01,resolvable_0p01,tpr_at_requested_fpr_0p05,tpr_at_requested_fpr_0p05_record_ci95_low,tpr_at_requested_fpr_0p05_record_ci95_high,tpr_at_requested_fpr_0p05_valid_bootstrap_replicates,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,tpr_at_requested_fpr_0p1_record_ci95_low,tpr_at_requested_fpr_0p1_record_ci95_high,tpr_at_requested_fpr_0p1_valid_bootstrap_replicates,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
FASHION_QNN_z_r1_d2_b01,entropy,0.5076200000000001,0.465441,0.5488976875,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,z_r1_d2,z_r1_d2,,0.499,-0.0020000000000000018,0.47,0.472,-0.1259351670742035,5,0.005,0.0,0.02,10000,0.0005,20.0,True,0.045,0.02,0.075,10000,0.036,100.0,True,0.085,0.045,0.135,10000,0.095,200.0,True
FASHION_QNN_z_r1_d2_b01,confidence,0.5062937500000001,0.464402375,0.5478379375,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,z_r1_d2,z_r1_d2,,0.49175,-0.01649999999999996,0.495,0.5115,0.9736773371696472,5,0.005,0.0,0.02,10000,0.0005,20.0,True,0.045,0.02,0.08,10000,0.0365,100.0,True,0.085,0.045,0.135,10000,0.096,200.0,True
FASHION_QNN_z_r1_d2_b01,margin,0.5058925000000001,0.4639975,0.5484515624999999,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,z_r1_d2,z_r1_d2,,0.48875,-0.022499999999999964,0.385,0.4075,0.9548248052597046,5,0.005,0.0,0.02,10000,0.0005,20.0,True,0.045,0.02,0.075,10000,0.038,100.0,True,0.095,0.045,0.14,10000,0.099,200.0,True
FASHION_QNN_z_r1_d2_b01,correctness,0.54925,0.52625,0.5705,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,z_r1_d2,z_r1_d2,,0.54925,0.09850000000000003,0.905,0.8065,1.0,5,0.0,0.0,0.0,10000,0.0,20.0,True,0.0,0.0,0.0,10000,0.0,100.0,True,0.0,0.0,0.0,10000,0.0,200.0,True
FASHION_QNN_z_r1_d2_b01,max_probability,0.5062937500000001,0.46399237499999996,0.5481850312500001,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,z_r1_d2,z_r1_d2,,0.49175,-0.01649999999999996,0.495,0.5115,0.9736773371696472,5,0.005,0.0,0.02,10000,0.0005,20.0,True,0.045,0.02,0.08,10000,0.0365,100.0,True,0.085,0.045,0.135,10000,0.096,200.0,True
FASHION_QNN_z_r1_d2_b02,loss,0.54403375,0.5058689375000001,0.5818547187499999,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,z_r1_d2,z_r1_d2,,0.54575,0.09150000000000003,0.86,0.7685,-0.7709333896636963,5,0.005,0.0,0.02,10000,0.01,20.0,True,0.05,0.02,0.08,10000,0.0495,100.0,True,0.105,0.06,0.15,10000,0.099,200.0,True
FASHION_QNN_z_r1_d2_b02,entropy,0.491125,0.44996175,0.533025625,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,z_r1_d2,z_r1_d2,,0.49325,-0.013499999999999956,0.675,0.6885,-0.9307830333709717,5,0.005,0.0,0.015,10000,0.0065,20.0,True,0.05,0.015,0.08,10000,0.049,100.0,True,0.09,0.05,0.135,10000,0.098,200.0,True
FASHION_QNN_z_r1_d2_b02,confidence,0.49249625,0.45031356250000004,0.5334388124999999,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,z_r1_d2,z_r1_d2,,0.47775,-0.044499999999999984,0.55,0.5945,0.6882179975509644,5,0.005,0.0,0.015,10000,0.01,20.0,True,0.05,0.015,0.08,10000,0.049,100.0,True,0.09,0.05,0.135,10000,0.097,200.0,True
FASHION_QNN_z_r1_d2_b02,margin,0.49229874999999995,0.4509143125,0.5338300625,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,z_r1_d2,z_r1_d2,,0.47000000000000003,-0.06,0.395,0.455,0.9660623669624329,5,0.005,0.0,0.015,10000,0.007,20.0,True,0.05,0.015,0.075,10000,0.05,100.0,True,0.09,0.05,0.135,10000,0.0955,200.0,True
FASHION_QNN_z_r1_d2_b02,correctness,0.55625,0.53325,0.578,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_z_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,z,1,none,none,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,z_r1_d2,z_r1_d2,,0.55625,0.11250000000000004,0.905,0.7925,1.0,5,0.0,0.0,0.0,10000,0.0,20.0,True,0.0,0.0,0.0,10000,0.0,100.0,True,0.0,0.0,0.0,10000,0.0,200.0,True
