experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,confidence,5,0.4968545,0.015065273230180682,5,0.4904,0.011209092291528345,5,-0.019199999999999995,0.02241818458305667,5,0.488,0.2079843744130794,5,0.5072,0.20267541784834192,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,correctness,5,0.523,0.01248874493293861,5,0.52165,0.014971431127317135,5,0.043300000000000026,0.029942862254634238,5,0.849,0.10194361186459897,5,0.8057000000000001,0.07520521923377392,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,entropy,5,0.494777,0.013828399039657508,5,0.48694999999999994,0.013111779055490541,5,-0.0261,0.026223558110981055,5,0.506,0.2724059470716453,5,0.5321,0.25543330832136985,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,loss,5,0.5156850000000001,0.01435705869511577,5,0.5118,0.01433897660225443,5,0.0236,0.02867795320450886,5,0.796,0.12274974541725125,5,0.7724,0.09833069205492251,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,margin,5,0.49736575,0.014892076059938707,5,0.48860000000000003,0.01622555854200404,5,-0.022800000000000008,0.03245111708400807,5,0.501,0.13357582116535913,5,0.5238,0.14336082100769373,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,max_probability,5,0.4968545,0.015065273230180682,5,0.4904,0.011209092291528345,5,-0.019199999999999995,0.02241818458305667,5,0.488,0.2079843744130794,5,0.5072,0.20267541784834192,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,confidence,5,0.5093572500000001,0.00972359880651194,5,0.4986,0.015228057985179894,5,-0.0027999999999999805,0.030456115970359722,5,0.399,0.09574706261812944,5,0.4018,0.11401019691238148,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,correctness,5,0.53415,0.011054693573319882,5,0.53415,0.011054693573319875,5,0.0683,0.022109387146639757,5,0.922,0.020186629238186333,5,0.8537000000000001,0.008386000238492742,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,entropy,5,0.5085029999999999,0.009080622122134592,5,0.49195,0.01612393407329615,5,-0.016099999999999993,0.03224786814659227,5,0.46799999999999997,0.10721473779289858,5,0.48410000000000003,0.13432395542121295,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,loss,5,0.5293227500000001,0.008455464505277047,5,0.5266,0.01868371617211093,5,0.053200000000000025,0.037367432344221914,5,0.791,0.13016335889949981,5,0.7378,0.1004331867462145,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,margin,5,0.5096725,0.010185262177528867,5,0.49824999999999997,0.019341503302484027,5,-0.003499999999999981,0.03868300660496802,5,0.361,0.1958762364351531,5,0.3645,0.2018604096894683,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,max_probability,5,0.5093572500000001,0.00972359880651194,5,0.4986,0.015228057985179894,5,-0.0027999999999999805,0.030456115970359722,5,0.399,0.09574706261812944,5,0.4018,0.11401019691238148,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,confidence,5,0.507483,0.010749946860333743,5,0.49175,0.006848813765901358,5,-0.016500000000000004,0.013697627531802727,5,0.556,0.16864904387514326,5,0.5725,0.1802328355211669,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,correctness,5,0.5664,0.005532856405149089,5,0.5664,0.005532856405149089,5,0.13279999999999997,0.01106571281029827,5,0.869,0.01083974169433941,5,0.7362,0.013754999091239457,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,entropy,5,0.5061205,0.008718813601918571,5,0.49870000000000003,0.012163469899662691,5,-0.00259999999999998,0.02432693979932537,5,0.525,0.2357435046825256,5,0.5276,0.24841105047883844,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,loss,5,0.5602885000000001,0.0097211166089601,5,0.5613,0.0112824531906851,5,0.12260000000000001,0.022564906381370164,5,0.8460000000000001,0.04144273157020419,5,0.7234,0.03347648428374761,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,margin,5,0.5080210000000001,0.010884802277717334,5,0.49169999999999997,0.012182723422946112,5,-0.016599999999999983,0.024365446845892216,5,0.493,0.12848151618034404,5,0.5096,0.14875878125341038,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,max_probability,5,0.507483,0.010749946860333743,5,0.49175,0.006848813765901358,5,-0.016500000000000004,0.013697627531802727,5,0.556,0.16864904387514326,5,0.5725,0.1802328355211669,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,confidence,5,0.559567,0.02912254138764333,5,0.5521499999999999,0.02079032226782449,5,0.10430000000000002,0.041580644535649046,5,0.8009999999999999,0.030700162866017486,5,0.6967,0.061722767274321064,mean ± sample SD across independent target-model seeds; fixed data seed
satml_fashion_factorial,fashion_mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,correctness,5,0.5972,0.008731050910400199,5,0.5972,0.008731050910400162,5,0.19439999999999996,0.017462101820800383,5,0.976,0.01850675552332171,5,0.7816,0.004839938016132049,mean ± sample SD across independent target-model seeds; fixed data seed
