target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memguard,entropy,adaptive_defended_calibration,0.4221,0.46,0.05,0.07,0.5579150319099426,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memguard,margin,adaptive_defended_calibration,0.4221,0.46,0.05,0.07,-0.5079694390296936,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memguard,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,memguard,learned_pv_stats_logistic,adaptive_defended_calibration,0.4293,0.45999999999999996,0.05,0.08,0.5895982849373038,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_continuous,loss,adaptive_defended_calibration,0.4729,0.52,0.08,0.08,0.25942352414131165,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_continuous,confidence,adaptive_defended_calibration,0.4729,0.52,0.08,0.08,-0.7714962065219879,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_continuous,maximum_probability,adaptive_defended_calibration,0.5315,0.55,0.12,0.15,0.7646016180515289,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_continuous,entropy,adaptive_defended_calibration,0.5315,0.55,0.12,0.15,-0.5457172989845276,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_continuous,margin,adaptive_defended_calibration,0.5315,0.55,0.12,0.15,0.5292032361030579,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,logitguard_continuous,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
