dataset,fm_kind,data_seed,status,operation_count_r1,operation_count_r5,operation_count_ratio_r5_over_r1,operation_signature_equal,state_signature_equal,integrity_pass
breast_cancer_wdbc,eff_su2,80261,pass,17.0,85.0,5.0,False,False,True
breast_cancer_wdbc,eff_su2,80262,pass,17.0,85.0,5.0,False,False,True
breast_cancer_wdbc,eff_su2,80263,pass,17.0,85.0,5.0,False,False,True
breast_cancer_wdbc,eff_su2,80264,pass,17.0,85.0,5.0,False,False,True
breast_cancer_wdbc,eff_su2,80265,pass,17.0,85.0,5.0,False,False,True
breast_cancer_wdbc,z,80261,pass,12.0,60.0,5.0,False,False,True
breast_cancer_wdbc,z,80262,pass,12.0,60.0,5.0,False,False,True
breast_cancer_wdbc,z,80263,pass,12.0,60.0,5.0,False,False,True
breast_cancer_wdbc,z,80264,pass,12.0,60.0,5.0,False,False,True
breast_cancer_wdbc,z,80265,pass,12.0,60.0,5.0,False,False,True
breast_cancer_wdbc,zz,80261,pass,27.0,135.0,5.0,False,False,True
breast_cancer_wdbc,zz,80262,pass,27.0,135.0,5.0,False,False,True
breast_cancer_wdbc,zz,80263,pass,27.0,135.0,5.0,False,False,True
breast_cancer_wdbc,zz,80264,pass,27.0,135.0,5.0,False,False,True
breast_cancer_wdbc,zz,80265,pass,27.0,135.0,5.0,False,False,True
