target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__l2,pets_b01,eff_su2_r5_d6,high,l2,none,margin,adaptive_defended_calibration,0.4116999999999999,0.44,0.03,0.05,-0.5292627215385437,inverted_from_calibration,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b01__l2,pets_b01,eff_su2_r5_d6,high,l2,none,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b01__l2,pets_b01,eff_su2_r5_d6,high,l2,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.4478999999999999,0.4649999999999999,0.03,0.04,0.5062884085276624,,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,loss,adaptive_defended_calibration,0.6076999999999999,0.545,0.11,0.19,-0.0869666635990142,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,confidence,adaptive_defended_calibration,0.6076999999999999,0.545,0.11,0.19,0.9167077839374542,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,maximum_probability,adaptive_defended_calibration,0.6020000000000001,0.54,0.11,0.19,0.9167077839374542,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,entropy,adaptive_defended_calibration,0.6020000000000001,0.54,0.11,0.19,-0.2867355644702911,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,margin,adaptive_defended_calibration,0.6020000000000001,0.54,0.11,0.19,0.8334155976772308,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.6114999999999999,0.545,0.11,0.19,0.6236959061032652,,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,loss,adaptive_defended_calibration,0.5745,0.58,0.09,0.18,-0.6555904150009155,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,confidence,adaptive_defended_calibration,0.5745,0.58,0.09,0.18,0.5191354751586914,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,maximum_probability,adaptive_defended_calibration,0.6028,0.575,0.09,0.2,0.5191354751586914,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,entropy,adaptive_defended_calibration,0.6028,0.575,0.09,0.2,-0.6924146413803101,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,margin,adaptive_defended_calibration,0.6028,0.575,0.09,0.2,0.0382709503173828,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,correctness,adaptive_defended_calibration,0.515,0.515,0.0,0.0,0.5,as_defined,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,learned_pv_stats_logistic,adaptive_defended_calibration,0.5856,0.59,0.09,0.16,0.415622077691999,,,,dynanoise
