effective_defense,structural_role,attack,outcome,count,mean,std
dynanoise,high,lira_offline,tpr_at_10_fpr,1,0.11,
dynanoise,high,lira_offline_fixed_variance,auc,1,0.4924,
dynanoise,high,lira_offline_fixed_variance,balanced_accuracy,1,0.5,
dynanoise,high,lira_offline_fixed_variance,tpr_at_5_fpr,1,0.06,
dynanoise,high,lira_offline_fixed_variance,tpr_at_10_fpr,1,0.14,
dynanoise,high,lira_online,auc,1,0.5257000000000001,
dynanoise,high,lira_online,balanced_accuracy,1,0.5,
dynanoise,high,lira_online,tpr_at_5_fpr,1,0.09,
dynanoise,high,lira_online,tpr_at_10_fpr,1,0.15,
dynanoise,high,lira_online_fixed_variance,auc,1,0.5404,
dynanoise,high,lira_online_fixed_variance,balanced_accuracy,1,0.52,
dynanoise,high,lira_online_fixed_variance,tpr_at_5_fpr,1,0.12,
dynanoise,high,lira_online_fixed_variance,tpr_at_10_fpr,1,0.17,
dynanoise,high,loss,auc,1,0.5745,
dynanoise,high,loss,balanced_accuracy,1,0.58,
dynanoise,high,loss,tpr_at_5_fpr,1,0.09,
dynanoise,high,loss,tpr_at_10_fpr,1,0.18,
dynanoise,high,margin,auc,1,0.6028,
dynanoise,high,margin,balanced_accuracy,1,0.575,
dynanoise,high,margin,tpr_at_5_fpr,1,0.09,
dynanoise,high,margin,tpr_at_10_fpr,1,0.2,
dynanoise,high,maximum_probability,auc,1,0.6028,
dynanoise,high,maximum_probability,balanced_accuracy,1,0.575,
dynanoise,high,maximum_probability,tpr_at_5_fpr,1,0.09,
dynanoise,high,maximum_probability,tpr_at_10_fpr,1,0.2,
dynanoise,low,confidence,auc,1,0.5177,
dynanoise,low,confidence,balanced_accuracy,1,0.53,
dynanoise,low,confidence,tpr_at_5_fpr,1,0.11,
dynanoise,low,confidence,tpr_at_10_fpr,1,0.15,
dynanoise,low,correctness,auc,1,0.49,
dynanoise,low,correctness,balanced_accuracy,1,0.49,
dynanoise,low,correctness,tpr_at_5_fpr,1,0.0,
dynanoise,low,correctness,tpr_at_10_fpr,1,0.0,
dynanoise,low,entropy,auc,1,0.5739,
dynanoise,low,entropy,balanced_accuracy,1,0.56,
dynanoise,low,entropy,tpr_at_5_fpr,1,0.15,
dynanoise,low,entropy,tpr_at_10_fpr,1,0.2,
dynanoise,low,global_true_class_log_odds,auc,1,0.5267999999999999,
dynanoise,low,global_true_class_log_odds,balanced_accuracy,1,0.53,
dynanoise,low,global_true_class_log_odds,tpr_at_5_fpr,1,0.03,
dynanoise,low,global_true_class_log_odds,tpr_at_10_fpr,1,0.1,
dynanoise,low,label_only_hsj,auc,1,0.33,
dynanoise,low,label_only_hsj,balanced_accuracy,1,0.42500000000000004,
dynanoise,low,label_only_hsj,tpr_at_5_fpr,1,0.0,
dynanoise,low,label_only_hsj,tpr_at_10_fpr,1,0.0,
dynanoise,low,learned_pv_stats_logistic,auc,1,0.5448,
dynanoise,low,learned_pv_stats_logistic,balanced_accuracy,1,0.535,
dynanoise,low,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.08,
