effective_defense,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
dp_qml,accuracy,high-low,0.0,0.0,0.0,0.0,1
dynanoise,accuracy,high-low,0.0350000262260437,0.0,0.0350000262260437,0.0350000262260437,1
hamp_full,accuracy,high-low,0.06999999284744263,0.0,0.06999999284744263,0.06999999284744263,1
hamp_output,accuracy,high-low,0.06499999761581421,0.0,0.06499999761581421,0.06499999761581421,1
hamp_train,accuracy,high-low,0.06999999284744263,0.0,0.06999999284744263,0.06999999284744263,1
l2,accuracy,high-low,0.0,0.0,0.0,0.0,1
lattice_round,accuracy,high-low,0.06000000238418579,0.0,0.06000000238418579,0.06000000238418579,1
logitguard_continuous,accuracy,high-low,0.06499999761581421,0.0,0.06499999761581421,0.06499999761581421,1
logitguard_quantized,accuracy,high-low,0.06499999761581421,0.0,0.06499999761581421,0.06499999761581421,1
measurementguard_continuous,accuracy,high-low,0.06499999761581421,0.0,0.06499999761581421,0.06499999761581421,1
memgq_lattice,accuracy,high-low,0.06499999761581421,0.0,0.06499999761581421,0.06499999761581421,1
memgq_lattice_sticky,accuracy,high-low,0.06999999284744263,0.0,0.06999999284744263,0.06999999284744263,1
memguard,accuracy,high-low,0.06499999761581421,0.0,0.06499999761581421,0.06499999761581421,1
none,accuracy,high-low,0.06499999761581421,0.0,0.06499999761581421,0.06499999761581421,1
