attack,effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
global_true_class_log_odds,l2+dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.03599999999999981,0.0,-0.03599999999999981,-0.03599999999999981,1
global_true_class_log_odds,l2+memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.08069999999999977,0.0,-0.08069999999999977,-0.08069999999999977,1
global_true_class_log_odds,l2+memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.1207999999999998,0.0,-0.1207999999999998,-0.1207999999999998,1
global_true_class_log_odds,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,0.014800000000000146,0.0,0.014800000000000146,0.014800000000000146,1
global_true_class_log_odds,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,-0.005049999999999888,0.0,-0.005049999999999888,-0.005049999999999888,1
label_only_hsj,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.2599999999999999,0.0,-0.2599999999999999,-0.2599999999999999,1
label_only_hsj,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.02875000000000011,0.0,0.02875000000000011,0.02875000000000011,1
label_only_hsj,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.01749999999999985,0.0,-0.01749999999999985,-0.01749999999999985,1
label_only_hsj,l2,none,auc,(high-low)_defense-(high-low)_none,-0.2599999999999999,0.0,-0.2599999999999999,-0.2599999999999999,1
label_only_hsj,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.022500000000000075,0.0,0.022500000000000075,0.022500000000000075,1
label_only_hsj,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
label_only_hsj,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.0375000000000002,0.0,0.0375000000000002,0.0375000000000002,1
learned_pv_stats_logistic,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.1107999999999999,0.0,-0.1107999999999999,-0.1107999999999999,1
learned_pv_stats_logistic,dynanoise,none,auc,(high-low)_defense-(high-low)_none,-0.06399999999999983,0.0,-0.06399999999999983,-0.06399999999999983,1
learned_pv_stats_logistic,hamp_full,none,auc,(high-low)_defense-(high-low)_none,0.036900000000000044,0.0,0.036900000000000044,0.036900000000000044,1
