target_id,mode,aggregation,attack,simulator_seed,contrast,treatment_queries,treatment_shots,baseline_queries,baseline_shots,auc_difference
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,5,equal_total_5x512_minus_1x2560,5,512,1,2560,0.0019000000000000128
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,5,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.00462499999999999
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,6,single_shot_512_minus_128,1,512,1,128,0.013974999999999849
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,6,single_shot_2560_minus_128,1,2560,1,128,0.009749999999999925
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,6,repeat_5x128_minus_1x128,5,128,1,128,-0.013825000000000087
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,6,repeat_20x128_minus_1x128,20,128,1,128,0.00024999999999986144
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,6,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.008425000000000016
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,6,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.009500000000000064
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,7,single_shot_512_minus_128,1,512,1,128,-0.0010499999999998844
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,7,single_shot_2560_minus_128,1,2560,1,128,0.007650000000000046
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,7,repeat_5x128_minus_1x128,5,128,1,128,0.006450000000000067
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,7,repeat_20x128_minus_1x128,20,128,1,128,0.008775000000000088
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,7,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.01597499999999996
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,7,equal_total_20x128_minus_1x2560,20,128,1,2560,0.0011250000000000426
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,8,single_shot_512_minus_128,1,512,1,128,0.010099999999999998
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,8,single_shot_2560_minus_128,1,2560,1,128,0.04337500000000005
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,8,repeat_5x128_minus_1x128,5,128,1,128,0.05257500000000004
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,8,repeat_20x128_minus_1x128,20,128,1,128,0.04432500000000006
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,8,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.0038000000000000256
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,8,equal_total_20x128_minus_1x2560,20,128,1,2560,0.0009500000000000064
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,9,single_shot_512_minus_128,1,512,1,128,-0.010249999999999981
