target_id,structural_cell_id,fm_kind,reps,depth,model_seed,mode,queries,shots,total_shots,aggregation,attack,n_simulator_seeds,mean_auc,sd_simulator
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,128,640,pooled_counts_before_head,confidence,10,0.5167525,0.013183535870757738
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,128,640,pooled_counts_before_head,correctness,10,0.52875,0.011740835669671143
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,128,640,pooled_counts_before_head,entropy,10,0.516645,0.012094533889323755
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,128,640,pooled_counts_before_head,loss,10,0.5455125000000001,0.009852609989800209
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,128,640,pooled_counts_before_head,margin,10,0.51803,0.014526263570971469
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,mean_api_probabilities,confidence,10,0.515745,0.006348302485266835
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,mean_api_probabilities,correctness,10,0.52225,0.009238356034610408
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,mean_api_probabilities,entropy,10,0.518235,0.0048636149107428445
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,mean_api_probabilities,learned_mlp_pv,10,0.5293575,0.018192535289996776
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,mean_api_probabilities,learned_mlp_pv_mean_std,10,0.5399550000000001,0.0321980843978161
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,mean_api_probabilities,loss,10,0.5454225,0.005623764679168836
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,mean_api_probabilities,margin,10,0.5165325000000001,0.008373818739247777
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,pooled_counts_before_head,confidence,10,0.5117175,0.006263441656859971
MNIST_QNN_eff_su2_r1_d6_s43,eff_su2_r1_d6,eff_su2,1,6,43,ideal_shot,5,512,2560,pooled_counts_before_head,correctness,10,0.52125,0.009372684899335007
