dataset,fm_kind,data_seed,status,operation_count_r1,operation_count_r5,operation_count_ratio_r5_over_r1,operation_signature_equal,state_signature_equal,integrity_pass
fashion_mnist,eff_su2,60261,pass,17.0,85.0,5.0,False,False,True
fashion_mnist,eff_su2,60262,pass,17.0,85.0,5.0,False,False,True
fashion_mnist,eff_su2,60263,pass,17.0,85.0,5.0,False,False,True
fashion_mnist,eff_su2,60264,pass,17.0,85.0,5.0,False,False,True
fashion_mnist,eff_su2,60265,pass,17.0,85.0,5.0,False,False,True
fashion_mnist,z,60261,pass,36.0,180.0,5.0,False,False,True
fashion_mnist,z,60262,pass,36.0,180.0,5.0,False,False,True
fashion_mnist,z,60263,pass,36.0,180.0,5.0,False,False,True
fashion_mnist,z,60264,pass,36.0,180.0,5.0,False,False,True
fashion_mnist,z,60265,pass,36.0,180.0,5.0,False,False,True
fashion_mnist,zz,60261,pass,81.0,405.0,5.0,False,False,True
fashion_mnist,zz,60262,pass,81.0,405.0,5.0,False,False,True
fashion_mnist,zz,60263,pass,81.0,405.0,5.0,False,False,True
fashion_mnist,zz,60264,pass,81.0,405.0,5.0,False,False,True
fashion_mnist,zz,60265,pass,81.0,405.0,5.0,False,False,True
