target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,margin,adaptive_defended_calibration,0.4501,0.525,0.08,0.14,-0.6766266226768494,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memguard,learned_pv_stats_logistic,adaptive_defended_calibration,0.5732999999999999,0.6,0.04,0.08,0.5463262635132365,
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,loss,adaptive_defended_calibration,0.5551,0.555,0.07,0.1,-0.24469048529863358,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,confidence,adaptive_defended_calibration,0.5551,0.555,0.07,0.1,0.7829492390155792,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,maximum_probability,adaptive_defended_calibration,0.4592,0.465,0.05,0.06,-0.798163890838623,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,entropy,adaptive_defended_calibration,0.4592,0.465,0.05,0.06,0.5029372870922089,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,margin,adaptive_defended_calibration,0.4592,0.465,0.05,0.06,-0.5963277816772461,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_continuous,learned_pv_stats_logistic,adaptive_defended_calibration,0.5669,0.545,0.07,0.09,0.43764898011430897,
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,loss,adaptive_defended_calibration,0.5584,0.555,0.07,0.07,-0.2431669682264328,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,confidence,adaptive_defended_calibration,0.5584,0.555,0.07,0.07,0.784142404794693,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,maximum_probability,adaptive_defended_calibration,0.45415,0.46499999999999997,0.03,0.05,-0.797375351190567,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,entropy,adaptive_defended_calibration,0.45415,0.46499999999999997,0.03,0.05,0.5040114521980286,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,margin,adaptive_defended_calibration,0.45415,0.46499999999999997,0.03,0.05,-0.5947506725788116,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,logitguard_quantized,learned_pv_stats_logistic,adaptive_defended_calibration,0.5696000000000001,0.54,0.07,0.07,0.4383025392385755,
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,loss,adaptive_defended_calibration,0.5423,0.55,0.03,0.1,-1.2793055772781372,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,confidence,adaptive_defended_calibration,0.5423,0.55,0.03,0.1,0.27824607491493225,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,maximum_probability,adaptive_defended_calibration,0.5193,0.53,0.09,0.16,-0.7841795384883881,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,measurementguard_continuous,entropy,adaptive_defended_calibration,0.5193,0.53,0.09,0.16,0.521551251411438,inverted_from_calibration
